"Id","Name","Jigsaw","TYPE","SHIPPINGSTREET","WEBSITE","INDUSTRY","NUMBEROFEMPLOYEES","DESCRIPTION"
"0019000000oGELaAAO","UNIFOODS SA DE CV","AUTO_SAMPLE_DATA","Prospect","620 SW 5th Avenue Suite 400Portland, Oregon 97204United States","www.UNIFOODS SA DE CV.com","Media","234","World's third largest oil and gas company."
"0019000000oGELbAAO","ORGANIZACION EMPRESARIAL POSTES Y CONSTRUCCIONES S","AUTO_SAMPLE_DATA","Customer - Channel","2 Place Jussieu","www.ORGANIZACION EMPRESARIAL POSTES Y CONSTRUCCIONES S.com","Media","234234","World's third largest oil and gas company."
"0019000000oGELcAAO","MAS Active Trading Pvt Ltd","AUTO_SAMPLE_DATA","Customer - Direct","CES081007NE0","www.MAS Active Trading Pvt Ltd.com","Media","234","World's third largest oil and gas company."
"0019000000oGELdAAO","JERSEY COUNTY GRAIN","AUTO_SAMPLE_DATA","Other","620 SW 5th Avenue Suite 400Portland, Oregon 97204United States","www.JERSEY COUNTY GRAIN.com","Media","234","World's third largest oil and gas company."
"0019000000oGELeAAO","AGRICULTURA DINAMICA INTEGRAL SA DE","AUTO_SAMPLE_DATA","Prospect","2 Place Jussieu","www.AGRICULTURA DINAMICA INTEGRAL SA DE.com","Media","234","World's third largest oil and gas company."
"0019000000oGELfAAO","BRONDO MENCHACA CLAUDIA","AUTO_SAMPLE_DATA","Installation Partner","1301 Hoch Drive","www.BRONDO MENCHACA CLAUDIA.com","Media","456","World's third largest oil and gas company."
"0019000000oGELgAAO","D NOVO SA DE CV","AUTO_SAMPLE_DATA","Channel Partner / Reseller","2334 N. Michigan Avenue, Suite 1500Chicago, IL 60601, USA","www.D NOVO SA DE CV.com","Media","564","World's third largest oil and gas company."
"0019000000oGELhAAO","FABPSA DEL NORTE SA DE CV","AUTO_SAMPLE_DATA","Customer - Direct","CES081007NE0","www.FABPSA DEL NORTE SA DE CV.com","Media",,"World's third largest oil and gas company."
"0019000000oGELiAAO","MEXICAN COMMODITIES SA DE CV","AUTO_SAMPLE_DATA","Channel Partner / Reseller","620 SW 5th Avenue Suite 400Portland, Oregon 97204United States","www.MEXICAN COMMODITIES SA DE CV.com","Media",,"World's third largest oil and gas company."
"0019000000oGELjAAO","RENDON RIOS ALBERTO ANTONIO","AUTO_SAMPLE_DATA","Customer - Channel","Kings Park, 17th Avenue, Team Valley Trading Estate,Gateshead, Tyne and Wear NE26 3HSUnited Kingdom","www.RENDON RIOS ALBERTO ANTONIO.com","Media",,"World's third largest oil and gas company."
"0019000000oGELkAAO","SUMINISTRO DE ESPECIALIDADES","AUTO_SAMPLE_DATA","Customer - Direct","Test acc 2157","www.SUMINISTRO DE ESPECIALIDADES.com","Media",,"World's third largest oil and gas company."
"0019000000oGELlAAO","SUPEREXPRESS DEL NORESTE SA DE CV","AUTO_SAMPLE_DATA","Other","345 Shoreline ParkMountain View, CA 94043USA","www.SUPEREXPRESS DEL NORESTE SA DE CV.com","Media",,"World's third largest oil and gas company."
"0019000000oGELmAAO","CRISA LIBBEY COMERCIAL S DE RL DE CV","AUTO_SAMPLE_DATA","Installation Partner","CES081007NE0","www.CRISA LIBBEY COMERCIAL S DE RL DE CV.com","Media",,"World's third largest oil and gas company."
"0019000000oGELnAAO","GOSOFT SOLUCIONES INTELIGENT","AUTO_SAMPLE_DATA","Installation Partner","Kings Park, 17th Avenue, Team Valley Trading Estate,Gateshead, Tyne and Wear NE26 3HSUnited Kingdom","www.GOSOFT SOLUCIONES INTELIGENT.com","Media",,"World's third largest oil and gas company."
"0019000000nFzmuAAC","OKeeffes Inc","AUTO_SAMPLE_DATA","Customer - Direct","2 Place Jussieu","www.Perfect Equipment Inc.com","Media",,"World's third largest oil and gas company."
"0019000000oGELoAAO","Perfect Equipment Inc","AUTO_SAMPLE_DATA","Customer - Direct","2 Place Jussieu","www.Perfect Equipment Inc.com","Media",,"World's third largest oil and gas company."
"0019000000oGELpAAO","INDUSTRIAS VULGARI SA DE CV","AUTO_SAMPLE_DATA","Other","1301 Hoch Drive","www.INDUSTRIAS VULGARI SA DE CV.com","Media",,"World's third largest oil and gas company."
"0019000000oGELqAAO","Parsons Brinckerhoff Australia Pty Ltd","AUTO_SAMPLE_DATA","Prospect","Kings Park, 17th Avenue, Team Valley Trading Estate,Gateshead, Tyne and Wear NE26 3HSUnited Kingdom","www.Parsons Brinckerhoff Australia Pty Ltd.com","Media",,"World's third largest oil and gas company."
"0019000000oGELrAAO","EUROELECTRICA SA DE CV","AUTO_SAMPLE_DATA","Technology Partner","2334 N. Michigan Avenue, Suite 1500Chicago, IL 60601, USA","www.EUROELECTRICA SA DE CV.com","Manufacturing","52345234","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine."
"0019000000oGELsAAO","TST Logistics","AUTO_SAMPLE_DATA","Customer - Direct","1301 Hoch Drive","www.TST Logistics.com","Manufacturing","52345234","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine."
"0019000000nFznXAAS","Harkavy Information Service","AUTO_SAMPLE_DATA","Other","Kings Park, 17th Avenue, Team Valley Trading Estate,Gateshead, Tyne and Wear NE26 3HSUnited Kingdom","www.Refresco Benelux BV.com","Manufacturing","52345234","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine."
"0019000000oGELtAAO","Refresco Benelux BV","AUTO_SAMPLE_DATA","Other","Kings Park, 17th Avenue, Team Valley Trading Estate,Gateshead, Tyne and Wear NE26 3HSUnited Kingdom","www.Refresco Benelux BV.com","Manufacturing","52345234","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine."
"0019000000oGELuAAO","ABASTECEDORA DE VALVULAS INTRUMENT","AUTO_SAMPLE_DATA","Other","Test acc 2157","www.ABASTECEDORA DE VALVULAS INTRUMENT.com","Manufacturing","52345234","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine."
"0019000000oGELvAAO","DELL COMPUTER DE MEXICO  SA","AUTO_SAMPLE_DATA","Other","DHE010828K6A","www.DELL COMPUTER DE MEXICO  SA.com","Manufacturing","52345234","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine."
