"Id","Name","Data_ExternalId__c"
,"Cadbury Beverages Div Cadbury","Cadbury Beverages Div Cadbury"
,"Lafferty RF & Co Inc","Lafferty RF & Co Inc"
,"O-Cel-O Div General Mills Inc.","O-Cel-O Div General Mills Inc."
,"Fedder RP Corp","Fedder RP Corp"
,"Ferrara Foods & Confections","Ferrara Foods & Confections"
,"Halcyon Assoc","Halcyon Assoc"
,"Fell David H & Company Inc","Fell David H & Company Inc"
,"Hardy James G & Co","Hardy James G & Co"
,"R-F Industries Inc","R-F Industries Inc"
,"Raleigh Co.","Raleigh Co."
,"Westend Dealers","Westend Dealers"
,"Hambro International Venture F","Hambro International Venture F"
,"East Bay Brass Foundry","East Bay Brass Foundry"
,"Baker & McKenzie","Baker & McKenzie"
,"AAR Corp Hardware Abscoa Division","AAR Corp Hardware Abscoa Division"
,"G-L Veneer Co Inc.","G-L Veneer Co Inc."
,"OKeeffes Inc","OKeeffes Inc"
,"ICM Corp","ICM Corp"
,"Yesterday Productions Corp.","Yesterday Productions Corp."
,"G Group","G Group"
,"Quota Systems Inc.","Quota Systems Inc."
,"Star Markets","Star Markets"
,"Saint Johns University Staten","Saint Johns University Staten"
,"Mall Side Sports","Mall Side Sports"
,"Abbett Electric Corp","Abbett Electric Corp"
,"Xerox","Xerox"
,"Jandel Scientific Inc.","Jandel Scientific Inc."
,"Karpen & Steel Products Inc","Karpen & Steel Products Inc"
,"Raleigh Active Wear","Raleigh Active Wear"
,"Oakland Carbide Engineering &","Oakland Carbide Engineering &"
,"Daley Business Forms","Daley Business Forms"
,"Magma Power Co","Magma Power Co"
,"National Assn of Printing Ink","National Assn of Printing Ink"
,"Sabena-Belgian World Airlines","Sabena-Belgian World Airlines"
,"P & C Food Markets Inc","P & C Food Markets Inc"
,"ImageTek Corp","ImageTek Corp"
,"Union Flights","Union Flights"
,"Madonna Construction Co","Madonna Construction Co"
,"United Artists Theater Circuit","United Artists Theater Circuit"
,"Japanese American Citizens Lea","Japanese American Citizens Lea"
,"Wallys World","Wallys World"
,"CADAM Inc.","CADAM Inc."
,"Gamblers Anonymous","Gamblers Anonymous"
,"Lake County","Lake County"
,"Kahlert Assoc Inc","Kahlert Assoc Inc"
,"Karabelas Furs Inc","Karabelas Furs Inc"
,"Wind & Rain","Wind & Rain"
,"P.S.C.","P.S.C."
,"Family Magazine","Family Magazine"
,"Kaiser Steel Resources Inc","Kaiser Steel Resources Inc"
,"Cahn Instruments Inc","Cahn Instruments Inc"
,"Quaker Fashions","Quaker Fashions"
,"Harken Marketing Co","Harken Marketing Co"
,"Gallo Ernst & Julio Winery","Gallo Ernst & Julio Winery"
,"Facts on File Newsletter","Facts on File Newsletter"
,"PacDevco Inc","PacDevco Inc"
,"UniAmerica Inc","UniAmerica Inc"
,"East Coast Traders","East Coast Traders"
,"UBAF Arab American Bank","UBAF Arab American Bank"
,"Veritas Software","Veritas Software"
,"Quinn/Brein Inc","Quinn/Brein Inc"
,"Nardon Mfg Company Incorporated","Nardon Mfg Company Incorporated"
,"Abberley Kooiman","Abberley Kooiman"
,"IBM Corp Data Systems Div","IBM Corp Data Systems Div"
,"Via Systems","Via Systems"
,"Bachman Information System Inc.","Bachman Information System Inc."
,"Lakeland Village","Lakeland Village"
,"Balfour Maclaine International","Balfour Maclaine International"
,"State House Active Wear","State House Active Wear"
,"Pace Press Inc","Pace Press Inc"
,"Raceway Engines","Raceway Engines"
,"Teradyne","Teradyne"
,"Dai-Ichi Kangyo Bank","Dai-Ichi Kangyo Bank"
,"Ball & Socket Mfg Co","Ball & Socket Mfg Co"
,"Volga Boats","Volga Boats"
,"Tapecon Inc","Tapecon Inc"
,"K & S Contractors Supply Co","K & S Contractors Supply Co"
,"IBK Capital Inc","IBK Capital Inc"
,"Lexidata Corporation","Lexidata Corporation"
,"Abacus Programming Corporation","Abacus Programming Corporation"
,"Eastman Kodak Company Health Sciences Division","Eastman Kodak Company Health Sciences Division"
,"Vyrex","Vyrex"
,"East/West Computers Inc","East/West Computers Inc"
,"Vicor","Vicor"
,"Tech Fire & Safety Company","Tech Fire & Safety Company"
,"La Costa Hotel & Spa","La Costa Hotel & Spa"
,"Abbey Press Inc","Abbey Press Inc"
,"Dame Belts & Bag Co Inc","Dame Belts & Bag Co Inc"
,"United Can Co.","United Can Co."
,"Nash Direct","Nash Direct"
,"Queensborough Public Library","Queensborough Public Library"
,"Caco-Pacific Corp.","Caco-Pacific Corp."
,"TDA Industries Inc","TDA Industries Inc"
,"Quadrex Corp","Quadrex Corp"
,"Harkavy Information Service","Harkavy Information Service"
,"Jadow B & Sons Inc","Jadow B & Sons Inc"
,"Cal-Pac Roofing Inc","Cal-Pac Roofing Inc"
,"Nixdorf Computer","Nixdorf Computer"
,"Magna Mill Products","Magna Mill Products"
,"Eastern Municipal Water Distri","Eastern Municipal Water Distri"
,"Majestic Entertainment","Majestic Entertainment"
,"Jaff Brothers Woodworks Inc","Jaff Brothers Woodworks Inc"
,"Safeway Plumbing & Heating Inc","Safeway Plumbing & Heating Inc"
,"Ocean Sports Wear","Ocean Sports Wear"
,"Ralston Inc.","Ralston Inc."
,"Daisy of California","Daisy of California"
,"Wyse Corp.","Wyse Corp."
,"Ocean Sports","Ocean Sports"
,"Westinghouse Corporation","Westinghouse Corporation"
,"Dana Marketing Inc","Dana Marketing Inc"
,"Zoo Gift Shop","Zoo Gift Shop"
,"N/S Corp","N/S Corp"
,"TEAC Corp. of America","TEAC Corp. of America"
,"Ziff-Davis Labs","Ziff-Davis Labs"
,"Purity-Supreme Inc.","Purity-Supreme Inc."
,"IBIS Systems Inc.","IBIS Systems Inc."
,"Galbreath Co","Galbreath Co"
,"Back Stage Magazine","Back Stage Magazine"
