"Id","Name","Jigsaw","TYPE","WEBSITE","INDUSTRY","NUMBEROFEMPLOYEES","DESCRIPTION","ANNUALREVENUE","Data_ExternalId__c"
"001i000000f0xLlAAI","AAR Corp Hardware Abscoa Division","AUTO_SAMPLE_DATA",,,"Chemicals",,,,"AAR Corp Hardware Abscoa Division"
"001i000000f0xLmAAI","Abacus Programming Corporation","AUTO_SAMPLE_DATA",,,"Technology",,,,"Abacus Programming Corporation"
"001i000000f0xLnAAI","Abberley Kooiman","AUTO_SAMPLE_DATA",,,"Service",,,,"Abberley Kooiman"
"001i000000f0xLoAAI","Abbett Electric Corp","AUTO_SAMPLE_DATA",,,"Insurance",,,,"Abbett Electric Corp"
"001i000000f0xLzAAI","Abbey Press Inc","AUTO_SAMPLE_DATA",,,"Service",,,,"Abbey Press Inc"
"001i000000f0xM0AAI","Bachman Information System Inc.","AUTO_SAMPLE_DATA","Customer - Channel","www.genepoint.com","Biotechnology","265","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs","3.00E+07","Bachman Information System Inc."
"001i000000f0xM1AAI","Back Stage Magazine","AUTO_SAMPLE_DATA","Customer - Direct","http://www.uos.com","Energy","24000",,,"Back Stage Magazine"
"001i000000f0xM2AAI","Baker & McKenzie","AUTO_SAMPLE_DATA","Customer - Direct","http://www.uos.com","Energy","3000",,,"Baker & McKenzie"
"001i000000f0xM3AAI","Balfour Maclaine International","AUTO_SAMPLE_DATA","Customer - Direct","http://edgecomm.com","Electronics","1000","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.","1.39E+08","Balfour Maclaine International"
"001i000000f0xM4AAI","Ball & Socket Mfg Co","AUTO_SAMPLE_DATA","Customer - Direct","www.burlington.com","Apparel","9000",,"3.50E+08","Ball & Socket Mfg Co"
"001i000000f0xM5AAI","Caco-Pacific Corp.","AUTO_SAMPLE_DATA","Customer - Channel","www.pyramid.com","Construction","2680",,"9.50E+08","Caco-Pacific Corp."
"001i000000f0xM6AAI","CADAM Inc.","AUTO_SAMPLE_DATA","Customer - Channel","dickenson-consulting.com","Consulting","120",,"5.00E+07","CADAM Inc."
"001i000000f0xM7AAI","Cadbury Beverages Div Cadbury","AUTO_SAMPLE_DATA","Customer - Direct","www.grandhotels.com","Hospitality","5600","Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.","5.00E+08","Cadbury Beverages Div Cadbury"
"001i000000f0xM8AAI","Cahn Instruments Inc","AUTO_SAMPLE_DATA","Customer - Channel","www.expressl&t.net","Transportation","12300","Commerical logistics and transportation company.","9.50E+08","Cahn Instruments Inc"
"001i000000f0xM9AAI","Cal-Pac Roofing Inc","AUTO_SAMPLE_DATA","Customer - Direct","www.universityofarizona.com","Education","39000","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",,"Cal-Pac Roofing Inc"
"001i000000f0xMAAAY","Dai-Ichi Kangyo Bank","AUTO_SAMPLE_DATA","Customer - Direct","http://www.uos.com","Energy","145000","World's third largest oil and gas company.","5.60E+09","Dai-Ichi Kangyo Bank"
"001i000000f0xMBAAY","Daisy of California","AUTO_SAMPLE_DATA",,"www.sforce.com",,,,,"Daisy of California"
"001i000000f0xMCAAY","Daley Business Forms","AUTO_SAMPLE_DATA",,,,,,,"Daley Business Forms"
"001i000000f0xMDAAY","Dame Belts & Bag Co Inc","AUTO_SAMPLE_DATA",,,,,,,"Dame Belts & Bag Co Inc"
"001i000000f0xMEAAY","Dana Marketing Inc","AUTO_SAMPLE_DATA",,,,,"URL: https://login.salesforce.com/
ID: release4b@release.com
PASS: 1234567jbr
SecurityToken: w4WN5yav4EEJPyPInS7nICWm",,"Dana Marketing Inc"
