"JBCXM__SystemName__c","Id"
"Monthly Business Review","a0Pi0000004SHGkEAO"
"Quarterly Business Review","a0Pi0000004SHGlEAO"
"Weekly Business Review","a0Pi0000004SHGmEAO"
"Sprint Planning","a0Pi0000004SHGnEAO"
"Sprint Review","a0Pi0000004SHGoEAO"
"Sprint Retrospection","a0Pi0000004SHGpEAO"
"Low NPS Score Event","a0Pi0000004SHGqEAO"
"Customer On-Boarding","a0Pi0000004SHGrEAO"
"Survey Response Event","a0Pi0000004SHGsEAO"
"Page Views","a0Pi0000004SGhGEAW"
"Page Visits","a0Pi0000004SGhHEAW"
"No of Report Run","a0Pi0000004SGhIEAW"
"Files Downloaded","a0Pi0000004SGhJEAW"
"InactiveCustomer","a0Pi0000004SBQIEA4"
"Debook","a0Pi0000004SBQJEA4"
"churnreason4","a0Pi0000004SBQKEA4"
"churnreason5","a0Pi0000004SBQLEA4"
"churnreason2","a0Pi0000004SBQMEA4"
"churnreason3","a0Pi0000004SBQNEA4"
"churnreason1","a0Pi0000004SBQOEA4"
"Downsell Alert","a0Pi0000004SBQPEA4"
"alertseverity1","a0Pi0000004SBQQEA4"
"alertseverity2","a0Pi0000004SBQREA4"
"alertseverity3","a0Pi0000004SBQSEA4"
"Renewal with Downsell","a0Pi0000004SBQTEA4"
"alertseverity4","a0Pi0000004SBQUEA4"
"Renewal","a0Pi0000004SBQVEA4"
"Closed","a0Pi0000004SBQWEA4"
"Customer Concern","a0Pi0000004SBQXEA4"
"stage2","a0Pi0000004SBQYEA4"
"alertreason4","a0Pi0000004SBQZEA4"
"Potential Churn","a0Pi0000004SBQaEAO"
"Active","a0Pi0000004SBQbEAO"
"stage3","a0Pi0000004SBQcEAO"
"alertreason5","a0Pi0000004SBQdEAO"
"alertreason6","a0Pi0000004SBQeEAO"
"stage4","a0Pi0000004SBQfEAO"
"alertreason7","a0Pi0000004SBQgEAO"
"stage5","a0Pi0000004SBQhEAO"
"ChurnCustomer","a0Pi0000004SBQiEAO"
"Downsell","a0Pi0000004SBQjEAO"
"alertreason1","a0Pi0000004SBQkEAO"
"alertreason2","a0Pi0000004SBQlEAO"
"New Business","a0Pi0000004SBQmEAO"
"Churn","a0Pi0000004SBQnEAO"
"alertreason3","a0Pi0000004SBQoEAO"
"stage1","a0Pi0000004SBQpEAO"
"stage6","a0Pi0000004SBQqEAO"
"ActiveCustomer","a0Pi0000004SBQrEAO"
"Upsell","a0Pi0000004SBQsEAO"
"Renewal with Upsell","a0Pi0000004SBQtEAO"
