Name,Copilot_Account_ExternalID__c,Copilot_Account_Contact__r.Copilot_Contact_ExternalId__c,Copilot_Account_Contact_Obj2__r.Copilot_Contact_Obj2_ExternalID__c,BILLINGSTREET,BILLINGCITY,BILLINGSTATE,BILLINGPOSTALCODE,BILLINGCOUNTRY,PHONE,FAX,WEBSITE,ANNUALREVENUE,NUMBEROFEMPLOYEES,DESCRIPTION,SicDesc,INDUSTRY,TYPE,ACCOUNTSOURCE,Copilot_Account_Checkbox__c,Copilot_Account_Currency__c,Copilot_Account_DateTime__c,Copilot_Account_Date__c,Copilot_Account_MultiPicklist__c,Copilot_Account_Picklist__c,Copilot_Account_Number__c,Copilot_Account_Percent__c,Copilot_Account_PhoneNumber__c,Copilot_Account_Text__c,Copilot_Account_TextArea__c,Copilot_Account_TextAreaRich__c,Copilot_Account_TextEncrypted__c,Copilot_Account_URL__c,Copilot_Account_Email__c
Gallo Ernst & Julio Winery,Copilot_AccAuto001,CopilotAc001Con001,Copilot_ConObj2_001,5700 Tennyson Parkway Suite 100,Plano,TX,75024,United States,4699345823,,fieldatestware.com,5100,108,,,Computer Software,Prospect,Web,false,420,-1,-1,"MPvalue1,MPvalue2",MPvalue2,5100,36,23,Pvalue1,Copilot_Acc_Text,Copilot_Acc_TextArea,Text Area Rich,http://www.google.com,GalloErnstCustom@automation.gainsighttest.com
Facts on File Newsletter,Copilot_AccAuto002,CopilotAc002Con001,Copilot_ConObj2_002,5625 North Post Road Suite L100,Indianapolis,IN,46216,US,(317) 513-8644,,bloometestrang.co,1600,36,,,Computer Software,Prospect,Phone Inquiry,true,250,-1,-1,MPvalue2,MPvalue2,1600,62,23,Pvalue1,Copilot_Acc_Text,Copilot_Acc_TextArea,Text Area Rich,http://www.google.com,Facts_on_FileCustom@automation.gainsighttest.com
PacDevco Inc,Copilot_AccAuto003,CopilotAc003Con001,Copilot_ConObj2_003,543 Howard Street 4th Floor,San Francisco,CA,94105,US,(866) 286-9644,,untestyq.com,2283,14,"Unyq Design, Inc. designs, manufactures, and sells 3D printed prosthetic covers and accessories for amputees. It offers customized prosthetic covers for men, women, and kids. The company also operates a direct-to-consumer ecommerce site that allows amputees to design 3D printed custom protective covers and other ornamentations for their prosthetic legs. It sells its products online. The company was founded in 2014 and is based in San Francisco, California with studios in San Francisco, California; and Seville, Spain.","Orthopedic, Prosthetic & Surgical Appliances & Supplies",Orthopedic and Prosthetic Equipment,Prospect,Other ,true,950,-1,-1,MPvalue1,MPvalue2,2283,16,23,Pvalue1,Copilot_Acc_Text,Copilot_Acc_TextArea,Text Area Rich,http://www.google.com,PacDevcoIncCustom@automation.gainsighttest.com
UniAmerica Inc,Copilot_AccAuto004,CopilotAc004Con001,Copilot_ConObj2_004,flat 5 85 Dartmouth park hill,london,London,N19 5hx,GB,7960964492,,http://frontditestgital.com,5224,2,,,,Prospect,Phone Inquiry,false,300,-1,-1,"MPvalue4,MPvalue5",MPvalue2,5224,54,23,Pvalue1,Copilot_Acc_Text,Copilot_Acc_TextArea,Text Area Rich,http://www.google.com,UniAmerica_IncCustom@automation.gainsighttest.com
East Coast Traders,Copilot_AccAuto005,CopilotAc005Con001,Copilot_ConObj2_005,"2501 East Chapman Ave. Suite 200
Fullerton- CA 92831",Fullerton,CA,92831,US,(800) 644-0787,(714) 644-7427,www.patestctime.com,3200,3,,,,Prospect,Other ,true,431,-1,-1,MPvalue1,MPvalue2,3200,14,23,Pvalue1,Copilot_Acc_Text,Copilot_Acc_TextArea,Text Area Rich,http://www.google.com,EastCoastTradersCustom@automation.gainsighttest.com
UBAF Arab American Bank,Copilot_AccAuto006,CopilotAc006Con001,Copilot_ConObj2_006,111 West Evelyn Avenue Suite 202,Cupertino,CA,94086,US,(650) 980-6440,,www.wetestpow.com,1857,37,"WePow, Inc. develops and delivers Web and mobile video interviewing platforms. It offers various solutions to engage, screen, and hire candidates for various industries in the United States and internationally. WePow, Inc. was formerly known as Wowzer, Inc. and changed its name to WePow, Inc. in September 2013. The company was founded in 2010 and is based in Sunnyvale, California.",Services-Prepackaged Software,Internet Software and Services,Prospect,Web,true,297,-1,-1,MPvalue3,MPvalue2,1857,20,23,Pvalue1,Copilot_Acc_Text,Copilot_Acc_TextArea,Text Area Rich,http://www.google.com,UBAFArabAmericanBankCustom@automation.gainsighttest.com
Veritas Software,Copilot_AccAuto007,CopilotAc007Con001,Copilot_ConObj2_007,100 Summer Street Suite 1401,Boston,MA,2110,US,(617) 818-6447,,continutestum.net,1139,420,,,Computer Software,Prospect,Phone Inquiry,true,600,-1,-1,"MPvalue2,MPvalue3",MPvalue2,1139,37,23,Pvalue1,Copilot_Acc_Text,Copilot_Acc_TextArea,Text Area Rich,http://www.google.com,Veritas_SoftwareCustom@automation.gainsighttest.com
Quinn/Brein Inc,Copilot_AccAuto008,CopilotAc008Con001,Copilot_ConObj2_008,2700 W Anderson Ln Suite 119,Austin,TX,78757,US,,,www.rivtestet.works,1001,22,,,,Prospect,Other ,false,446,-1,-1,MPvalue1,MPvalue2,1001,50,23,Pvalue1,Copilot_Acc_Text,Copilot_Acc_TextArea,Text Area Rich,http://www.google.com,QuinnBreinIncCustom@automation.gainsighttest.com
Nardon Mfg Company Incorporated,Copilot_AccAuto009,CopilotAc009Con001,Copilot_ConObj2_009,751 Laurel Street #840,San Carlos,CA,94070,US,650-644-8101,,colabo.com,1001,28,,,Computer Software,Prospect,Phone Inquiry,false,375,-1,-1,MPvalue1,MPvalue2,1001,22,23,Pvalue1,Copilot_Acc_Text,Copilot_Acc_TextArea,Text Area Rich,http://www.google.com,NardonMfgCompany_IncCustom@automation.gainsighttest.com
Abberley Kooiman,Copilot_AccAuto010,CopilotAc010Con001,Copilot_ConObj2_010,1345 Valwood Parkway Suite 301,Carrollton,TX,75006,United States,+1 972 484 3060,,www.aztectestsystems.com,1152,75,"Toutatis Aztec Solutions provides business solutions for middle-market companies in the United States and internationally. It offers financial/accounting/ERP software, customer relationship management, document imaging, and vertical and industry solutions. The company provides software installations and customizations, business process consulting, software training (onsite or remote), software enhancements and upgrades, software development, data backup and storage, disaster recovery, cloud computingapplication hosting, virtualization, desktop and server support, networking and IT support, annual system reviews, systems integration, and hardware platform services. It also offers remote and onsite managed services. The company serves customers in various industries, such as healthcare, hospitality and retail, inventory management, oil and gas, energy, professional/financial services, supply chain, and wholesale distribution. Toutatis Aztec Solutions was formerly known as Aztec Systems, Inc. and changed its name on April 3, 2013. The company was founded in 1991 and is based in Carrollton, Texas with additional offices in Austin and San Antonio, Texas; and Oklahoma City and Tulsa, Oklahoma. Toutatis Aztec Solutions operates as a subsidiary of glendonTodd Capital LLC.",Services-Prepackaged Software,Computer Software,Prospect,Other ,false,383,0,0,MPvalue5,MPvalue2,1152,28,24,Pvalue2,Copilot_Acc_Text,Copilot_Acc_TextArea,Text Area Rich,http://www.google.com,AbberleyKooimanCustom@automation.gainsighttest.com
