Account.Copilot_Account_ExternalID__c,Contact.Copilot_Contact_ExternalId__c,IsEscalated,Origin,Status,Priority,Copilot_Case_ExternalID__c
Copilot_AccAuto001,CopilotAc001Con001,TRUE,Email,New,High,Case_Copilot_AccAuto001
Copilot_AccAuto002,CopilotAc002Con001,TRUE,Email,New,High,Case_Copilot_AccAuto002
Copilot_AccAuto003,CopilotAc003Con001,TRUE,Email,New,High,Case_Copilot_AccAuto003
Copilot_AccAuto004,CopilotAc004Con001,FALSE,Email,New,High,Case_Copilot_AccAuto004
Copilot_AccAuto005,CopilotAc005Con001,FALSE,Phone,On Hold,Medium,Case_Copilot_AccAuto005
Copilot_AccAuto006,CopilotAc006Con001,FALSE,Phone,On Hold,Medium,Case_Copilot_AccAuto006
Copilot_AccAuto007,CopilotAc007Con001,FALSE,Phone,On Hold,Medium,Case_Copilot_AccAuto007
Copilot_AccAuto008,CopilotAc008Con001,TRUE,Web,Escalated,Low,Case_Copilot_AccAuto008
Copilot_AccAuto009,CopilotAc009Con001,TRUE,Web,Escalated,Low,Case_Copilot_AccAuto009
Copilot_AccAuto010,CopilotAc010Con001,TRUE,Web,Escalated,Low,Case_Copilot_AccAuto010
Copilot_AccAuto011,CopilotAc011Con001,TRUE,Email,New,High,Case_Copilot_AccAuto011
Copilot_AccAuto012,CopilotAc012Con001,TRUE,Email,New,High,Case_Copilot_AccAuto012
Copilot_AccAuto013,CopilotAc013Con001,TRUE,Email,New,High,Case_Copilot_AccAuto013
Copilot_AccAuto014,CopilotAc014Con001,FALSE,Email,New,High,Case_Copilot_AccAuto014
Copilot_AccAuto015,CopilotAc015Con001,FALSE,Phone,On Hold,Medium,Case_Copilot_AccAuto015
Copilot_AccAuto016,CopilotAc016Con001,FALSE,Phone,On Hold,Medium,Case_Copilot_AccAuto016
Copilot_AccAuto017,CopilotAc017Con001,FALSE,Phone,On Hold,Medium,Case_Copilot_AccAuto017
Copilot_AccAuto018,CopilotAc018Con001,TRUE,Web,Escalated,Low,Case_Copilot_AccAuto018
Copilot_AccAuto019,CopilotAc019Con001,TRUE,Web,Escalated,Low,Case_Copilot_AccAuto019
