Account.p_c_ExternalID__c,Contact.p_c_ExternalID__c,IsEscalated,Origin,Status,Priority,Description,P_C_CHECKBOX__C,P_C_CURRENCY__C,P_C_DATE__C,P_C_DATETIME__C,P_C_MULTIPICKLIST__C,P_C_NUMBER__C,P_C_PERCENT__C,P_C_PHONENUMBER__C,P_C_PICKLIST__C,P_C_TEXT__C,P_C_TEXTAREA__C,P_C_TEXTAREARICH__C,P_C_TEXTENCRYPTED__C,P_C_URL__C,P_C_EMAIL__C,p_c_ExternalID__c,p_c_Contact__r.p_c_ExternalID__c,p_c_customobj_contact2__r.p_c_ExternalID__c
Gallo Ernst & Julio Winery,0031a000001h0aaAAA,TRUE,Email,New,High,Sample Description,TRUE,1212,-1,-1,MPvalue1;MPvalue2,1212,12,111222,Pvalue1,text,texttexttext,<u><i>texttexttexttext</i></u>text,Encryptedtext,http://www.google.com,testCopilot@gainsighttest.com,Case.Copilot_Auto000,0031a000001h0aaAAA,ContObj2.Copilot_Auto000
Facts on File Newsletter,0031a000001h0ldAAA,TRUE,Email,New,High,Sample Description,TRUE,1212,-1,-1,MPvalue1;MPvalue2,1212,12,111222,Pvalue1,text,texttexttext,<u><i>texttexttexttext</i></u>text,Encryptedtext,http://www.google.com,testCopilot@gainsighttest.com,Case.Copilot_Auto001,0031a000001h0ldAAA,ContObj2.Copilot_Auto001
PacDevco Inc,0031a000001h0m1AAA,TRUE,Email,New,High,Sample Description,TRUE,1212,-1,-1,MPvalue1;MPvalue2,1212,12,111222,Pvalue1,text,texttexttext,<u><i>texttexttexttext</i></u>text,Encryptedtext,http://www.google.com,testCopilot@gainsighttest.com,Case.Copilot_Auto002,0031a000001h0m1AAA,ContObj2.Copilot_Auto002
UniAmerica Inc,0031a000001h0mOAAQ,FALSE,Email,New,High,Sample Description,TRUE,1212,-1,-1,MPvalue1;MPvalue2,1212,12,111222,Pvalue1,text,texttexttext,<u><i>texttexttexttext</i></u>text,Encryptedtext,http://www.google.com,testCopilot@gainsighttest.com,Case.Copilot_Auto003,0031a000001h0mOAAQ,ContObj2.Copilot_Auto003
East Coast Traders,0031a000001h0mTAAQ,FALSE,Phone,On Hold,Medium,Sample Description,TRUE,1212,-1,-1,MPvalue1;MPvalue2,1212,12,111222,Pvalue1,text,texttexttext,<u><i>texttexttexttext</i></u>text,Encryptedtext,http://www.google.com,testCopilot@gainsighttest.com,Case.Copilot_Auto004,0031a000001h0mTAAQ,ContObj2.Copilot_Auto004
UBAF Arab American Bank,0031a000001h0moAAA,FALSE,Phone,On Hold,Medium,Sample Description,TRUE,1212,-1,-1,MPvalue1;MPvalue2,1212,12,111222,Pvalue1,text,texttexttext,<u><i>texttexttexttext</i></u>text,Encryptedtext,http://www.google.com,testCopilot@gainsighttest.com,Case.Copilot_Auto005,0031a000001h0moAAA,ContObj2.Copilot_Auto005
Veritas Software,0031a000001y6MRAAY,FALSE,Phone,On Hold,Medium,Sample Description,TRUE,1212,-1,-1,MPvalue1;MPvalue2,1212,12,111222,Pvalue1,text,texttexttext,<u><i>texttexttexttext</i></u>text,Encryptedtext,http://www.google.com,testCopilot@gainsighttest.com,Case.Copilot_Auto006,0031a000001y6MRAAY,ContObj2.Copilot_Auto006
Quinn/Brein Inc,0031a000002kizoAAA,TRUE,Web,Escalated,Low,Sample Description,TRUE,1212,-1,-1,MPvalue1;MPvalue2,1212,12,111222,Pvalue1,text,texttexttext,<u><i>texttexttexttext</i></u>text,Encryptedtext,http://www.google.com,testCopilot@gainsighttest.com,Case.Copilot_Auto007,0031a000002kizoAAA,ContObj2.Copilot_Auto007
Nardon Mfg Company Incorporated,0031a000002kizuAAA,TRUE,Web,Escalated,Low,Sample Description,TRUE,1212,-1,-1,MPvalue1;MPvalue2,1212,12,111222,Pvalue1,text,texttexttext,<u><i>texttexttexttext</i></u>text,Encryptedtext,http://www.google.com,testCopilot@gainsighttest.com,Case.Copilot_Auto008,0031a000002kizuAAA,ContObj2.Copilot_Auto008
Abberley Kooiman,0031a000002kj04AAA,TRUE,Web,Escalated,Low,Sample Description,TRUE,1212,-1,-1,MPvalue1;MPvalue2,1212,12,111222,Pvalue1,text,texttexttext,<u><i>texttexttexttext</i></u>text,Encryptedtext,http://www.google.com,testCopilot@gainsighttest.com,Case.Copilot_Auto009,0031a000002kj04AAA,ContObj2.Copilot_Auto009
IBM Corp Data Systems Div,0031a000002kj09AAA,TRUE,Email,New,High,Sample Description,TRUE,1212,0,0,MPvalue1;MPvalue3,1213,13,111223,Pvalue2,text,texttexttext,<u><i>texttexttexttext</i></u>text,Encryptedtext,http://www.google.com,testCopilot@gainsighttest.com,Case.Copilot_Auto010,0031a000002kj09AAA,ContObj2.Copilot_Auto000
