JBCXM__Account__r.Copilot_Account_ExternalID__c,JBCXM__Status__r.JBCXM__SystemName__c,JBCXM__Stage__r.JBCXM__SystemName__c,Copilot_Customer_ExternalID__c
Copilot_AccAuto001,ActiveCustomer,stage1,Copilot_Customer_001
Copilot_AccAuto002,InactiveCustomer,stage2,Copilot_Customer_002
Copilot_AccAuto003,ActiveCustomer,stage3,Copilot_Customer_003
Copilot_AccAuto004,InactiveCustomer,stage4,Copilot_Customer_004
Copilot_AccAuto005,ActiveCustomer,stage5,Copilot_Customer_005
Copilot_AccAuto006,InactiveCustomer,stage6,Copilot_Customer_006
Copilot_AccAuto007,ActiveCustomer,stage1,Copilot_Customer_007
Copilot_AccAuto008,InactiveCustomer,stage2,Copilot_Customer_008
Copilot_AccAuto009,ActiveCustomer,stage3,Copilot_Customer_009
Copilot_AccAuto010,InactiveCustomer,stage4,Copilot_Customer_010
Copilot_AccAuto011,ActiveCustomer,stage1,Copilot_Customer_011
Copilot_AccAuto012,InactiveCustomer,stage2,Copilot_Customer_012
Copilot_AccAuto013,ActiveCustomer,stage3,Copilot_Customer_013
Copilot_AccAuto014,InactiveCustomer,stage4,Copilot_Customer_014
Copilot_AccAuto015,ActiveCustomer,stage5,Copilot_Customer_015
Copilot_AccAuto016,InactiveCustomer,stage6,Copilot_Customer_016
Copilot_AccAuto017,ActiveCustomer,stage1,Copilot_Customer_017
Copilot_AccAuto018,InactiveCustomer,stage2,Copilot_Customer_018
Copilot_AccAuto019,ActiveCustomer,stage3,Copilot_Customer_019
Copilot_AccAuto020,ActiveCustomer,stage4,Copilot_Customer_020
