JBCXM__Account__r.p_c_ExternalID__c,JBCXM__Status__r.JBCXM__SystemName__c,JBCXM__Stage__r.JBCXM__SystemName__c,JBCXM__ASV__C,JBCXM__COMMENTS__C,JBCXM__GOALS__C,JBCXM__MRR__C,JBCXM__NPS__C,JBCXM__ORIGINALCONTRACTDATE__C,JBCXM__ORIGINALCONTRACTNUMBER__C,JBCXM__TAG__C,JBCXM__USERS__C,P_C_CHECKBOX__C,P_C_CURRENCY__C,P_C_DATE__C,P_C_DATETIME__C,P_C_MULTIPICKLIST__C,P_C_NUMBER__C,P_C_PERCENT__C,P_C_PHONENUMBER__C,P_C_PICKLIST__C,P_C_TEXT__C,P_C_TEXTAREA__C,P_C_TEXTAREARICH__C,P_C_TEXTENCRYPTED__C,P_C_URL__C,P_C_EMAIL__C,p_c_ExternalID__c,p_c_Contact__r.p_c_ExternalID__c,p_c_customobj_contact2__r.p_c_ExternalID__c
Gallo Ernst & Julio Winery,ActiveCustomer,stage1,10,comment here,This is Goals,100,10,-1,121,Active;Established,10,TRUE,200,-1,-1,MPvalue1;MPvalue2,121,89,121212,Pvalue1,p_c_Text,p_c_Textarea,<b>p_c_TextAreaRich</b>,EncryptedText,p_c_URL,testCopilot@gainsight.com,CI_Copilot_Auto000,0031a000001h0aaAAA,ContObj2.Copilot_Auto000
Facts on File Newsletter,InactiveCustomer,stage2,20,comment here,This is Goals,200,20,-1,122,Active;Established,20,FALSE,300,-1,-1,MPvalue1;MPvalue2,122,99,121212,Pvalue1,p_c_Text,p_c_Textarea,<b>p_c_TextAreaRich</b>,EncryptedText,p_c_URL,testCopilot@gainsight.com,CI_Copilot_Auto001,0031a000001h0ldAAA,ContObj2.Copilot_Auto001
PacDevco Inc,ActiveCustomer,stage3,100,comment here,This is Goals,100,10,-1,121,Active;Established,10,TRUE,200,-1,-1,MPvalue1;MPvalue2,121,89,121212,Pvalue1,p_c_Text,p_c_Textarea,<b>p_c_TextAreaRich</b>,EncryptedText,p_c_URL,testCopilot@gainsight.com,CI_Copilot_Auto002,0031a000001h0m1AAA,ContObj2.Copilot_Auto002
UniAmerica Inc,InactiveCustomer,stage4,200,comment here,This is Goals,200,20,-1,122,Active;Established,20,FALSE,300,-1,-1,MPvalue1;MPvalue2,122,99,121212,Pvalue1,p_c_Text,p_c_Textarea,<b>p_c_TextAreaRich</b>,EncryptedText,p_c_URL,testCopilot@gainsight.com,CI_Copilot_Auto003,0031a000001h0mOAAQ,ContObj2.Copilot_Auto003
East Coast Traders,ActiveCustomer,stage5,100,comment here,This is Goals,100,10,-1,121,Active;Established,10,TRUE,200,-1,-1,MPvalue1;MPvalue2,121,89,121212,Pvalue1,p_c_Text,p_c_Textarea,<b>p_c_TextAreaRich</b>,EncryptedText,p_c_URL,testCopilot@gainsight.com,CI_Copilot_Auto004,0031a000001h0mTAAQ,ContObj2.Copilot_Auto004
UBAF Arab American Bank,InactiveCustomer,stage6,200,comment here,This is Goals,200,20,-1,122,Active;Established,20,FALSE,300,-1,-1,MPvalue1;MPvalue2,122,99,121212,Pvalue1,p_c_Text,p_c_Textarea,<b>p_c_TextAreaRich</b>,EncryptedText,p_c_URL,testCopilot@gainsight.com,CI_Copilot_Auto005,0031a000001h0moAAA,ContObj2.Copilot_Auto005
Veritas Software,ActiveCustomer,stage1,100,comment here,This is Goals,100,10,-1,121,Active;Established,10,TRUE,200,-1,-1,MPvalue1;MPvalue2,121,89,121212,Pvalue1,p_c_Text,p_c_Textarea,<b>p_c_TextAreaRich</b>,EncryptedText,p_c_URL,testCopilot@gainsight.com,CI_Copilot_Auto006,0031a000001y6MRAAY,ContObj2.Copilot_Auto006
Quinn/Brein Inc,InactiveCustomer,stage2,200,comment here,This is Goals,200,20,-1,122,Active;Established,20,FALSE,300,-1,-1,MPvalue1;MPvalue2,122,99,121212,Pvalue1,p_c_Text,p_c_Textarea,<b>p_c_TextAreaRich</b>,EncryptedText,p_c_URL,testCopilot@gainsight.com,CI_Copilot_Auto007,0031a000002kizoAAA,ContObj2.Copilot_Auto007
Nardon Mfg Company Incorporated,ActiveCustomer,stage3,100,comment here,This is Goals,100,10,-1,121,Active;Established,10,TRUE,200,-1,-1,MPvalue1;MPvalue2,121,89,121212,Pvalue1,p_c_Text,p_c_Textarea,<b>p_c_TextAreaRich</b>,EncryptedText,p_c_URL,testCopilot@gainsight.com,CI_Copilot_Auto008,0031a000002kizuAAA,ContObj2.Copilot_Auto008
Abberley Kooiman,InactiveCustomer,stage4,200,comment here,This is Goals,200,20,-1,122,Active;Established,20,FALSE,300,-1,-1,MPvalue1;MPvalue2,122,99,121212,Pvalue1,p_c_Text,p_c_Textarea,<b>p_c_TextAreaRich</b>,EncryptedText,p_c_URL,testCopilot@gainsight.com,CI_Copilot_Auto009,0031a000002kj04AAA,ContObj2.Copilot_Auto009
