C_lookup__r.Data_ExternalId__c,rules_c_ExternalID__c,rules_c_Text__c,rules_c_TextArea__c,rules_c_Number__c,rules_c_MultiPicklist__c,rules_c_Email__c,rules_c_Date__c,rules_c_DateTime__c,rules_c_Checkbox__c,rules_c_Picklist__c,rules_c_Percent__c
RULESUI Account 1,RULESUI Account 1,RULESUI Account 1 Text 1,RULESUI Account 1 TextArea 1,1,MPvalue1,athaduka@gainsight.com,-15,-15,TRUE,Pvalue1,1000
RULESUI Account 2,RULESUI Account 2,RULESUI Account 2 Text 1,RULESUI Account 2 TextArea 1,2,MPvalue2,athaduka@gainsight.com,-2,-2,FALSE,Pvalue2,100
,RULESUI Account 3,RULESUI Account 3 Text 1,RULESUI Account 3 TextArea 1,3,MPvalue3,athaduka@gainsight.com,-3,-3,TRUE,Pvalue3,12
RULESUI Account 4,RULESUI Account 4,RULESUI Account 4 Text 1,RULESUI Account 4 TextArea 1,4,MPvalue1,athaduka@gainsight.com,-4,-4,FALSE,Pvalue1,50
RULESUI Account 5,RULESUI Account 5,RULESUI Account 5 Text 1,RULESUI Account 5 TextArea 1,4,MPvalue2,athaduka@gainsight.com,-5,-5,TRUE,Pvalue2,1000
,RULESUI Account 6,RULESUI Account 6 Text 1,RULESUI Account 6 TextArea 1,6,MPvalue3,athaduka@gainsight.com,-6,-6,FALSE,Pvalue3,100
RULESUI Account 7,RULESUI Account 7,RULESUI Account 7 Text 1,RULESUI Account 7 TextArea 1,7,MPvalue1,athaduka@gainsight.com,-7,-7,TRUE,Pvalue1,12
RULESUI Account 8,RULESUI Account 8,RULESUI Account 8 Text 1,RULESUI Account 8 TextArea 1,8,MPvalue2,athaduka@gainsight.com,-8,-8,FALSE,Pvalue2,50
,RULESUI Account 9,RULESUI Account 9 Text 1,RULESUI Account 9 TextArea 1,9,MPvalue3,athaduka@gainsight.com,-9,-9,TRUE,Pvalue3,1000
RULESUI Account 1,RULESUI Account 10,RULESUI Account 1 Text 2,RULESUI Account 1 TextArea 2,1,MPvalue1,athaduka@gainsight.com,-15,-15,TRUE,Pvalue1,1000
RULESUI Account 2,RULESUI Account 11,RULESUI Account 2 Text 2,RULESUI Account 2 TextArea 2,2,MPvalue2,athaduka@gainsight.com,-2,-2,FALSE,Pvalue2,100
RULESUI Account 3,RULESUI Account 12,RULESUI Account 3 Text 2,RULESUI Account 3 TextArea 2,3,MPvalue3,athaduka@gainsight.com,-3,-3,TRUE,Pvalue3,12
RULESUI Account 4,RULESUI Account 13,RULESUI Account 4 Text 2,RULESUI Account 4 TextArea 2,4,MPvalue1,athaduka@gainsight.com,-4,-4,FALSE,Pvalue1,50
RULESUI Account 5,RULESUI Account 14,RULESUI Account 5 Text 2,RULESUI Account 5 TextArea 2,4,MPvalue2,athaduka@gainsight.com,-5,-5,TRUE,Pvalue2,1000
RULESUI Account 6,RULESUI Account 15,RULESUI Account 6 Text 2,RULESUI Account 6 TextArea 2,6,MPvalue3,athaduka@gainsight.com,-6,-6,FALSE,Pvalue3,100
RULESUI Account 7,RULESUI Account 16,RULESUI Account 7 Text 2,RULESUI Account 7 TextArea 2,7,MPvalue1,athaduka@gainsight.com,-7,-7,TRUE,Pvalue1,12
RULESUI Account 8,RULESUI Account 17,RULESUI Account 8 Text 2,RULESUI Account 8 TextArea 2,8,MPvalue2,athaduka@gainsight.com,-8,-8,FALSE,Pvalue2,50
RULESUI Account 9,RULESUI Account 18,RULESUI Account 9 Text 2,RULESUI Account 9 TextArea 2,9,MPvalue3,athaduka@gainsight.com,-9,-9,TRUE,Pvalue3,1000
