"C_Text__c","C_TextArea__c","ActiveUsers__c","AccPercentage__c","C_Percent__c"
"RULESUI Account 1","250.0","-100.0","5900.0","-10.0"
"RULESUI Account 1","239.0","-100.0","5900.0","190.0"
"RULESUI Account 1","218.0","-100.0","5900.0","-10.0"
"RULESUI Account 1","294.0","-100.0","5900.0","390.0"
"RULESUI Account 1","292.0","-100.0","5900.0","490.0"
"RULESUI Account 1","290.0","-100.0","5900.0","90.0"
"RULESUI Account 1","251.0","-100.0","5900.0","-10.0"
"RULESUI Account 1","249.0","-100.0","5900.0","90.0"
"RULESUI Account 1","247.0","-100.0","5900.0","190.0"
"RULESUI Account 1","245.0","-100.0","5900.0","290.0"
"RULESUI Account 1","243.0","-100.0","5900.0","390.0"
"RULESUI Account 1","241.0","-100.0","5900.0","490.0"
"RULESUI Account 1","239.0","-100.0","5900.0","90.0"
"RULESUI Account 1","237.0","-100.0","5900.0","90.0"
"RULESUI Account 1","235.0","-100.0","5900.0","-10.0"
"RULESUI Account 1","270.0","-100.0","5900.0","290.0"
"RULESUI Account 1","268.0","-100.0","5900.0","390.0"
"RULESUI Account 1","266.0","-100.0","5900.0","490.0"
"RULESUI Account 1","264.0","-100.0","5900.0","90.0"
"RULESUI Account 1","262.0","-100.0","5900.0","90.0"
"RULESUI Account 1","260.0","-100.0","5900.0","90.0"
"RULESUI Account 1","258.0","-100.0","5900.0","190.0"
"RULESUI Account 1","256.0","-100.0","5900.0","290.0"
"RULESUI Account 1","244.0","-100.0","5900.0","390.0"
"RULESUI Account 1","242.0","-100.0","5900.0","490.0"
"RULESUI Account 1","240.0","-100.0","5900.0","90.0"
"RULESUI Account 1","238.0","-100.0","5900.0","90.0"
"RULESUI Account 1","236.0","-100.0","5900.0","90.0"
"RULESUI Account 1","234.0","-100.0","5900.0","190.0"
"RULESUI Account 1","232.0","-100.0","5900.0","290.0"
"RULESUI Account 1","230.0","-100.0","5900.0","390.0"
"RULESUI Account 1","228.0","-100.0","5900.0","490.0"
"RULESUI Account 1","226.0","-100.0","5900.0","90.0"
"RULESUI Account 1","234.0","-100.0","5900.0","-10.0"
"RULESUI Account 1","232.0","-100.0","5900.0","390.0"
"RULESUI Account 1","230.0","-100.0","5900.0","490.0"
"RULESUI Account 1","228.0","-100.0","5900.0","-10.0"
"RULESUI Account 1","226.0","-100.0","5900.0","90.0"
"RULESUI Account 1","224.0","-100.0","5900.0","190.0"
"RULESUI Account 1","222.0","-100.0","5900.0","290.0"
"RULESUI Account 1","220.0","-100.0","5900.0","390.0"
"RULESUI Account 1","218.0","-100.0","5900.0","490.0"
"RULESUI Account 1","216.0","-100.0","5900.0","90.0"
"RULESUI Account 1","214.0","-100.0","5900.0","90.0"
"RULESUI Account 1","212.0","-100.0","5900.0","-10.0"
"RULESUI Account 1","210.0","-100.0","5900.0","290.0"
"RULESUI Account 1","208.0","-100.0","5900.0","390.0"
"RULESUI Account 1","206.0","-100.0","5900.0","490.0"
"RULESUI Account 1","100.0","-100.0","5900.0","310.0"
"RULESUI Account 1","100.0","-100.0","5900.0","305.0"
"RULESUI Account 1","100.0","-100.0","5900.0","300.0"
"RULESUI Account 2","350.0","-100.0","3400.0","-20.0"
"RULESUI Account 2","96.0","-100.0","3400.0","180.0"
"RULESUI Account 2","218.0","-100.0","3400.0","-20.0"
"RULESUI Account 2","294.0","-100.0","3400.0","380.0"
"RULESUI Account 2","292.0","-100.0","3400.0","480.0"
"RULESUI Account 2","290.0","-100.0","3400.0","80.0"
"RULESUI Account 2","251.0","-100.0","3400.0","-20.0"
"RULESUI Account 2","249.0","-100.0","3400.0","80.0"
"RULESUI Account 2","253.0","-100.0","3400.0","180.0"
"RULESUI Account 2","251.0","-100.0","3400.0","280.0"
"RULESUI Account 2","249.0","-100.0","3400.0","380.0"
"RULESUI Account 2","247.0","-100.0","3400.0","480.0"
"RULESUI Account 2","245.0","-100.0","3400.0","80.0"
"RULESUI Account 2","243.0","-100.0","3400.0","80.0"
"RULESUI Account 2","241.0","-100.0","3400.0","-20.0"
"RULESUI Account 2","239.0","-100.0","3400.0","280.0"
"RULESUI Account 2","268.0","-100.0","3400.0","380.0"
"RULESUI Account 2","266.0","-100.0","3400.0","480.0"
"RULESUI Account 2","264.0","-100.0","3400.0","80.0"
"RULESUI Account 2","262.0","-100.0","3400.0","80.0"
"RULESUI Account 2","260.0","-100.0","3400.0","80.0"
"RULESUI Account 2","258.0","-100.0","3400.0","180.0"
"RULESUI Account 2","256.0","-100.0","3400.0","280.0"
"RULESUI Account 2","244.0","-100.0","3400.0","380.0"
"RULESUI Account 2","242.0","-100.0","3400.0","480.0"
"RULESUI Account 2","240.0","-100.0","3400.0","80.0"
