"C_Text__c","C_Currency__c","C_TextArea__c","C_Number__c","C_Percent__c"
"RULESUI Account 1","-86.74179648657608","250.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","239.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","218.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","294.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","292.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","290.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","251.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","249.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","247.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","245.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","243.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","241.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","239.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","237.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","235.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","270.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","268.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","266.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","264.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","262.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","260.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","258.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","256.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","244.0","-98.55103962906615","380.0"
"RULESUI Account 1","-86.74179648657608","242.0","-98.55103962906615","380.0"
