"Name","CustomString1","CustomeDate1","CustomDateTime1","CustomeDate2","CustomDateTime2","CustomBooleanField1","CustomNumber1","CustomNumberWithDecimals1","CustomString2","CustomBooleanField2","CustomNumber2","CustomNumberWithDecimals2"
"RULESUI Account 1","RULESUI Account 1 texts","11-19-2015","11-19-2015 08:45:37","11-19-2015","11-19-2015 08:45:37","FALSE","30","11.11","RULESUI Account 1 text2","TRUE","1000","15.16"
"RULESUI Account 2","RULESUI Account 2 text","12-02-2015","12-02-2015 08:45:37","12-02-2015","12-02-2015 08:45:37","TRUE","31","11.12","RULESUI Account 2 text2","TRUE","100","16.17"
"RULESUI Account 3","RULESUI Account 3 text","12-01-2015","12-01-2015 08:45:37","12-01-2015","12-01-2015 08:45:37","FALSE","32","12.13","RULESUI Account 3 text2","FALSE","12","18.19"
"RULESUI Account 4","RULESUI Account 4 text","11-30-2015","11-30-2015 08:45:37","11-30-2015","11-30-2015 08:45:37","FALSE","33","13.14","RULESUI Account 4 text2","FALSE","50","11.15"
"RULESUI Account 5","RULESUI Account 5 text","11-29-2015","11-29-2015 08:45:37","11-29-2015","11-29-2015 08:45:37","TRUE","34","14.15","RULESUI Account 5 text2","TRUE","1000","12.13"
"RULESUI Account 6","RULESUI Account 6 text","11-28-2015","11-28-2015 08:45:37","11-28-2015","11-28-2015 08:45:37","TRUE","35","15.16","RULESUI Account 6 text2","TRUE","100","13.14"
"RULESUI Account 7","RULESUI Account 7 text","11-27-2015","11-27-2015 08:45:37","11-27-2015","11-27-2015 08:45:37","FALSE","36","16.17","RULESUI Account 7 text2","TRUE","12","14.15"
"RULESUI Account 8","RULESUI Account 8 text","11-26-2015","11-26-2015 08:45:37","11-26-2015","11-26-2015 08:45:37","FALSE","37","18.19","RULESUI Account 8 text2","FALSE","50","15.16"
"RULESUI Account 9","RULESUI Account 9 text","11-25-2015","11-25-2015 08:45:37","11-25-2015","11-25-2015 08:45:37","TRUE","38","11.15","RULESUI Account 9 text2","FALSE","1000","11.15"
"RULESUI Account 10","RULESUI Account 10 text","11-25-2015","11-25-2015 08:45:37","11-25-2015","11-25-2015 08:45:37","TRUE","38","11.15","RULESUI Account 10 text2","FALSE","1000","11.15"
