"Name","CustomString1","CustomString2","CustomeDate1","CustomDateTime1","CustomeDate2","CustomDateTime2","CustomBooleanField1","CustomBooleanField2","CustomNumber1","CustomNumber2","CustomNumberWithDecimals1","CustomNumberWithDecimals2"
"RULESUI Account 1","RULESUI Account 1 texts","","11-19-2015","11-19-2015 08:45:37","11-19-2015","11-19-2015 08:45:37","FALSE","","30","","11.11",""
"RULESUI Account 2","RULESUI Account 2 text","RULESUI Account 2 text2","12-02-2015","12-02-2015 08:45:37","12-02-2015","12-02-2015 08:45:37","TRUE","TRUE","31","100","11.12","16.17"
"RULESUI Account 3","RULESUI Account 3 text","RULESUI Account 3 text2","12-01-2015","12-01-2015 08:45:37","12-01-2015","12-01-2015 08:45:37","FALSE","FALSE","32","12","12.13","18.19"
"RULESUI Account 4","RULESUI Account 4 text","RULESUI Account 4 text2","11-30-2015","11-30-2015 08:45:37","11-30-2015","11-30-2015 08:45:37","FALSE","FALSE","33","50","13.14","11.15"
"RULESUI Account 5","RULESUI Account 5 text","RULESUI Account 5 text2","11-29-2015","11-29-2015 08:45:37","11-29-2015","11-29-2015 08:45:37","TRUE","TRUE","34","1000","14.15","12.13"
"RULESUI Account 6","RULESUI Account 6 text","RULESUI Account 6 text2","11-28-2015","11-28-2015 08:45:37","11-28-2015","11-28-2015 08:45:37","TRUE","TRUE","35","100","15.16","13.14"
"RULESUI Account 7","RULESUI Account 7 text","RULESUI Account 7 text2","11-27-2015","11-27-2015 08:45:37","11-27-2015","11-27-2015 08:45:37","FALSE","TRUE","36","12","16.17","14.15"
"RULESUI Account 8","RULESUI Account 8 text","RULESUI Account 8 text2","11-26-2015","11-26-2015 08:45:37","11-26-2015","11-26-2015 08:45:37","FALSE","FALSE","37","50","18.19","15.16"
"RULESUI Account 9","RULESUI Account 9 text","RULESUI Account 9 text2","11-25-2015","11-25-2015 08:45:37","11-25-2015","11-25-2015 08:45:37","TRUE","FALSE","38","1000","11.15","11.15"
"RULESUI Account 10","RULESUI Account 10 text","RULESUI Account 10 text2","11-25-2015","11-25-2015 08:45:37","11-25-2015","11-25-2015 08:45:37","TRUE","FALSE","38","1000","11.15","11.15"
