"C_Text__c","ActiveUsers__c","C_Number__c"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
"RULESUI Account 1","28100.0","513.0"
