"C_Text__c","ActiveUsers__c","AccPercentage__c","C_Number__c","C_Percent__c"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 1","13.0","13.0","100.0","200.0"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
"RULESUI Account 2","13.0","12.0","100.0","160.07"
