C_lookup__r.Data_ExternalId__c,Custom_Date1__c,Custom_Number1__c,Custom_Number2__c,Custom_Number3__c,Custom_Number4__c
RULESUI Account 1,-20,1000,900,800,700
RULESUI Account 1,-21,995,895,795,695
RULESUI Account 1,-39,990,890,790,690
RULESUI Account 1,-40,985,885,785,685
RULESUI Account 1,-131,980,880,780,680
RULESUI Account 1,-132,975,875,775,675
RULESUI Account 1,-133,970,870,770,670
RULESUI Account 1,-221,860,865,765,665
RULESUI Account 1,-222,855,860,760,660
RULESUI Account 2,-223,850,855,755,655
RULESUI Account 1,-224,,850,750,650
RULESUI Account 1,-225,840,,745,645
RULESUI Account 1,-226,835,840,740,640
RULESUI Account 1,-227,935,835,735,635
RULESUI Account 2,-228,930,830,730,630
RULESUI Account 1,-229,925,825,725,625
RULESUI Account 1,-230,920,820,720,620
RULESUI Account 1,-231,915,815,715,
RULESUI Account 1,-232,910,810,710,860
RULESUI Account 1,-233,905,805,705,855
RULESUI Account 1,-234,900,800,700,850
RULESUI Account 1,-235,895,795,695,
RULESUI Account 2,-236,890,790,,840
RULESUI Account 1,-237,885,785,685,835
RULESUI Account 1,-238,880,780,680,580
RULESUI Account 1,-239,875,775,675,575
RULESUI Account 1,-240,870,770,670,570
RULESUI Account 2,-241,865,765,665,565
RULESUI Account 1,-242,860,760,660,560
RULESUI Account 1,-243,855,755,655,555
RULESUI Account 1,-244,850,750,650,550
RULESUI Account 1,-245,845,745,645,545
RULESUI Account 1,-246,840,,640,540
RULESUI Account 1,-247,835,735,635,
RULESUI Account 1,-248,830,730,630,530
RULESUI Account 1,-249,825,725,625,525
RULESUI Account 1,-250,820,720,620,520
RULESUI Account 1,-251,815,715,615,515
RULESUI Account 1,-252,810,710,,510
RULESUI Account 2,-253,805,705,605,505
RULESUI Account 1,-254,,700,600,500
RULESUI Account 1,-255,795,695,595,495
RULESUI Account 1,-256,790,690,590,490
RULESUI Account 1,-257,785,685,585,485
RULESUI Account 1,-258,780,,580,480
RULESUI Account 1,-259,775,675,575,475
RULESUI Account 1,-260,770,670,570,470
RULESUI Account 2,-261,765,665,565,465
RULESUI Account 1,-262,760,660,560,460
RULESUI Account 1,-263,755,655,555,
RULESUI Account 2,-264,,650,550,450
RULESUI Account 1,-265,745,645,545,445
RULESUI Account 1,-266,740,640,540,440
RULESUI Account 2,-267,735,635,535,435
RULESUI Account 1,-268,730,630,530,430
RULESUI Account 1,-269,725,625,525,425
RULESUI Account 1,-270,720,620,520,420
RULESUI Account 1,-271,,615,515,415
RULESUI Account 1,-272,710,610,510,410
RULESUI Account 1,-273,705,605,505,405
RULESUI Account 2,-274,700,600,500,400
RULESUI Account 1,-275,695,595,495,395
RULESUI Account 1,-276,690,590,490,390
RULESUI Account 1,-277,685,585,485,385
RULESUI Account 1,-278,680,580,480,380
RULESUI Account 1,-279,675,575,475,375
RULESUI Account 1,-280,670,570,470,370
RULESUI Account 1,-281,665,565,465,365
RULESUI Account 1,-282,660,560,460,360
RULESUI Account 2,-283,655,555,455,355
RULESUI Account 1,-284,650,550,450,350
RULESUI Account 1,-285,645,545,445,345
RULESUI Account 1,-286,640,540,440,340
RULESUI Account 1,-287,635,535,435,335
RULESUI Account 2,-288,630,530,430,330
RULESUI Account 1,-289,625,525,425,325
RULESUI Account 1,-290,620,520,420,320
RULESUI Account 1,-291,615,515,415,315
RULESUI Account 1,-292,610,510,410,310
RULESUI Account 1,-293,605,505,405,305
RULESUI Account 1,-294,600,500,400,300
RULESUI Account 1,-295,595,495,395,295
RULESUI Account 1,-296,590,490,390,290
RULESUI Account 1,-297,585,485,385,285
RULESUI Account 1,-298,580,480,380,280
RULESUI Account 1,-299,575,475,375,275
RULESUI Account 2,-300,570,470,370,270
RULESUI Account 1,-301,565,465,365,265
RULESUI Account 1,-302,560,460,360,260
RULESUI Account 1,-303,555,455,355,255
RULESUI Account 1,-304,550,450,350,250
RULESUI Account 1,-305,545,445,345,245
RULESUI Account 1,-306,540,440,340,240
RULESUI Account 1,-307,535,435,335,235
RULESUI Account 1,-308,530,430,330,230
RULESUI Account 1,-309,525,425,325,225
RULESUI Account 1,-310,520,420,320,220
RULESUI Account 1,-311,515,415,315,215
RULESUI Account 1,-225,510,410,310,210
