"C_Text__c","C_Number__c"
"RULESUI Account 2","55.9463986599665"
"RULESUI Account 2","50.753768844221106"
"RULESUI Account 2","50.753768844221106"
"RULESUI Account 2","50.753768844221106"
"RULESUI Account 2","52.428810720268004"
"RULESUI Account 2","50.753768844221106"
"RULESUI Account 2","55.9463986599665"
"RULESUI Account 2","50.753768844221106"
"RULESUI Account 2","50.753768844221106"
"RULESUI Account 2","50.753768844221106"
"RULESUI Account 2","52.428810720268004"
"RULESUI Account 2","52.428810720268004"
"RULESUI Account 2","55.9463986599665"
"RULESUI Account 2","56.951423785594635"
"RULESUI Account 2","50.753768844221106"
"RULESUI Account 2","50.753768844221106"
"RULESUI Account 2","52.428810720268004"
"RULESUI Account 2","50.753768844221106"
"RULESUI Account 2","55.9463986599665"
"RULESUI Account 2","84.58961474036852"
"RULESUI Account 2","50.753768844221106"
"RULESUI Account 2","50.753768844221106"
"RULESUI Account 2","52.428810720268004"
"RULESUI Account 2","50.753768844221106"
"RULESUI Account 2","55.9463986599665"
"RULESUI Account 2","50.753768844221106"
"RULESUI Account 3","-100.0"
"RULESUI Account 3","-100.0"
"RULESUI Account 3","-100.0"
"RULESUI Account 3","-100.0"
"RULESUI Account 3","-100.0"
"RULESUI Account 3","-100.0"
"RULESUI Account 3","-100.0"
"RULESUI Account 3","-100.0"
"RULESUI Account 3","-100.0"
"RULESUI Account 3","-100.0"
"RULESUI Account 3","-100.0"
"RULESUI Account 3","-100.0"
"RULESUI Account 3","-100.0"
"RULESUI Account 4","-100.0"
"RULESUI Account 4","-100.0"
"RULESUI Account 4","-100.0"
"RULESUI Account 4","-100.0"
"RULESUI Account 4","-100.0"
"RULESUI Account 4","-100.0"
"RULESUI Account 4","-100.0"
"RULESUI Account 4","-100.0"
"RULESUI Account 4","-100.0"
"RULESUI Account 4","-100.0"
"RULESUI Account 2","55.68561872909699"
"RULESUI Account 2","56.68896321070234"
"RULESUI Account 2","50.50167224080268"
"RULESUI Account 2","52.17391304347826"
"RULESUI Account 2","52.17391304347826"
"RULESUI Account 2","50.50167224080268"
"RULESUI Account 2","55.68561872909699"
"RULESUI Account 2","75.58528428093646"
"RULESUI Account 2","50.50167224080268"
"RULESUI Account 2","50.50167224080268"
"RULESUI Account 4","-100.0"
"RULESUI Account 4","-100.0"
"RULESUI Account 5","-100.0"
"RULESUI Account 5","-100.0"
"RULESUI Account 5","-100.0"
"RULESUI Account 4","-100.0"
"RULESUI Account 5","-100.0"
"RULESUI Account 5","-100.0"
"RULESUI Account 5","-100.0"
"RULESUI Account 2","52.17391304347826"
"RULESUI Account 2","50.50167224080268"
"RULESUI Account 2","55.68561872909699"
"RULESUI Account 2","63.54515050167224"
"RULESUI Account 2","50.50167224080268"
