"AccountName","CustomDate1","CustomNumber1","CustomNumber2","CustomNumberWithDecimals1","CustomNumberWithDecimals2"
"RULESUI Account 1","2015-12-11","600","350","100","100"
"RULESUI Account 1","2015-12-06","599","360","200","200"
"RULESUI Account 1","2015-12-01","598","380","",""
"RULESUI Account 1","2015-11-26","597","303","400","400"
"RULESUI Account 1","2015-11-21","596","304","500","500"
"RULESUI Account 1","2015-11-16","595","305","100","100"
"RULESUI Account 1","2015-11-11","594","343","","100"
"RULESUI Account 1","2015-11-06","593","344","100","100"
"RULESUI Account 1","2015-11-01","592","345","200","200"
"RULESUI Account 1","2015-10-27","591","346","300","300"
"RULESUI Account 1","2015-10-22","590","347","400","400"
"RULESUI Account 1","2015-10-17","589","348","500","500"
"RULESUI Account 1","2015-10-12","588","349","100","100"
"RULESUI Account 1","2015-10-07","587","350","100","100"
"RULESUI Account 1","2015-10-02","586","351","","100"
"RULESUI Account 1","2015-09-27","585","315","300","200"
"RULESUI Account 1","2015-09-22","584","316","400","300"
"RULESUI Account 1","2015-09-17","583","317","500","400"
"RULESUI Account 1","2015-09-12","582","318","100","500"
"RULESUI Account 1","2015-09-07","581","319","100","100"
"RULESUI Account 1","2015-09-02","580","320","100","100"
"RULESUI Account 1","2015-08-28","579","321","200","200"
"RULESUI Account 1","2015-08-23","578","322","300","100"
"RULESUI Account 1","2015-08-18","577","333","400","100"
"RULESUI Account 1","2015-08-13","576","334","500","200"
"RULESUI Account 1","2015-08-08","575","335","100","300"
"RULESUI Account 1","2015-08-03","574","336","100","400"
"RULESUI Account 1","2015-07-29","573","337","100","500"
"RULESUI Account 1","2015-07-24","572","338","200","100"
"RULESUI Account 1","2015-07-19","571","339","300","100"
"RULESUI Account 1","2015-07-14","570","340","400","300"
"RULESUI Account 1","2015-07-09","569","341","500","400"
"RULESUI Account 1","2015-07-04","568","342","100","500"
"RULESUI Account 1","2015-06-29","567","333","","100"
"RULESUI Account 1","2015-06-24","566","334","400","100"
"RULESUI Account 1","2015-06-19","565","335","500","500"
"RULESUI Account 1","2015-06-14","564","336","","100"
"RULESUI Account 1","2015-06-09","563","337","100","100"
"RULESUI Account 1","2015-06-04","562","338","200","200"
"RULESUI Account 1","2015-05-30","561","339","300","300"
"RULESUI Account 1","2015-05-25","560","340","400","400"
"RULESUI Account 1","2015-05-20","559","341","500","500"
"RULESUI Account 1","2015-05-15","558","342","100","100"
"RULESUI Account 1","2015-05-10","557","343","100","100"
"RULESUI Account 1","2015-05-05","556","344","","100"
"RULESUI Account 1","2015-04-30","555","345","300","200"
"RULESUI Account 1","2015-04-25","554","346","400","300"
"RULESUI Account 1","2015-04-20","553","347","500","400"
"RULESUI Account 1","2015-04-15","552","348","100","500"
"RULESUI Account 1","2015-04-10","551","349","100","100"
"RULESUI Account 1","2015-04-05","550","350","100","100"
"RULESUI Account 1","2015-03-31","549","351","200","200"
"RULESUI Account 1","2015-03-26","548","352","300","100"
"RULESUI Account 1","2015-03-21","547","353","400","100"
"RULESUI Account 1","2015-03-16","546","354","500","200"
"RULESUI Account 1","2015-03-11","545","355","100","300"
"RULESUI Account 1","2015-03-06","544","356","100","400"
"RULESUI Account 1","2015-03-01","543","357","100","500"
"RULESUI Account 1","2015-02-24","542","358","200","100"
"RULESUI Account 1","2015-02-19","541","359","300","100"
"RULESUI Account 1","2015-02-14","540","364","400","300"
"RULESUI Account 1","2015-02-09","539","365","500","400"
"RULESUI Account 1","2015-02-04","538","366","100","500"
"RULESUI Account 1","2015-01-30","537","367","","100"
"RULESUI Account 1","2015-01-25","536","368","400","100"
"RULESUI Account 1","2015-01-20","535","369","","100"
"RULESUI Account 1","2015-01-15","534","366","100","100"
"RULESUI Account 1","2015-01-10","533","367","200","200"
"RULESUI Account 1","2015-01-05","532","368","300","300"
"RULESUI Account 1","2014-12-31","531","369","400","400"
"RULESUI Account 1","2014-12-26","530","370","500","500"
"RULESUI Account 1","2014-12-21","529","371","100","100"
"RULESUI Account 1","2014-12-16","528","372","100","100"
"RULESUI Account 1","2014-12-11","527","373","","100"
"RULESUI Account 1","2014-12-06","526","374","300","200"
"RULESUI Account 1","2014-12-01","525","375","400","300"
"RULESUI Account 1","2014-11-26","524","376","500","400"
"RULESUI Account 1","2014-11-21","523","377","100","500"
"RULESUI Account 1","2014-11-16","522","378","100","100"
"RULESUI Account 1","2014-11-11","521","379","100","100"
"RULESUI Account 1","2014-11-06","520","380","200","200"
"RULESUI Account 1","2014-11-01","519","381","300","100"
"RULESUI Account 1","2014-10-27","518","382","400","100"
"RULESUI Account 1","2014-10-22","517","383","500","200"
"RULESUI Account 1","2014-10-17","516","384","100","300"
"RULESUI Account 1","2014-10-12","515","385","100","400"
"RULESUI Account 1","2014-10-07","514","386","100","500"
"RULESUI Account 1","2014-10-02","513","387","200","100"
"RULESUI Account 1","2014-09-27","512","388","300","100"
"RULESUI Account 1","2014-09-22","511","389","400","300"
"RULESUI Account 1","2014-09-17","510","390","500","400"
"RULESUI Account 1","2014-09-12","509","391","100","500"
"RULESUI Account 1","2014-09-07","508","392","","100"
"RULESUI Account 1","2014-09-02","507","393","","100"
"RULESUI Account 1","2014-08-28","506","394","100","100"
"RULESUI Account 1","2014-08-23","505","395","200","200"
"RULESUI Account 1","2014-08-18","504","396","300","300"
"RULESUI Account 1","2014-08-13","503","397","400","400"
"RULESUI Account 1","2014-08-08","502","398","500","500"
"RULESUI Account 1","2014-08-03","501","399","100","100"
"RULESUI Account 1","2014-07-29","500","400","100","100"
"RULESUI Account 1","2014-07-24","499","401","","100"
"RULESUI Account 1","2014-07-19","498","402","300","200"
"RULESUI Account 1","2014-07-14","497","403","400","300"
"RULESUI Account 1","2014-07-09","496","404","500","400"
"RULESUI Account 1","2014-07-04","495","405","100","500"
"RULESUI Account 1","2014-06-29","494","406","100","100"
"RULESUI Account 1","2014-06-24","493","407","100","100"
"RULESUI Account 1","2014-06-19","492","408","200","200"
"RULESUI Account 1","2014-06-14","491","409","300","100"
"RULESUI Account 1","2014-06-09","490","410","400","100"
"RULESUI Account 1","2014-06-04","489","411","500","200"
"RULESUI Account 1","2014-05-30","488","412","100","300"
"RULESUI Account 1","2014-05-25","487","413","100","400"
"RULESUI Account 1","2014-05-20","486","414","100","500"
"RULESUI Account 1","2014-05-15","485","415","200","100"
"RULESUI Account 1","2014-05-10","484","416","300","100"
"RULESUI Account 1","2014-05-05","483","417","400","300"
"RULESUI Account 1","2014-04-30","482","418","500","400"
"RULESUI Account 1","2014-04-25","481","419","100","500"
"RULESUI Account 1","2014-04-20","480","420","","100"
"RULESUI Account 1","2014-04-15","479","421","400","100"
"RULESUI Account 1","2014-04-10","478","422","500","500"
"RULESUI Account 1","2014-04-05","477","423","500","500"
"RULESUI Account 1","2014-03-31","476","424","100","100"
"RULESUI Account 1","2014-03-26","475","425","200","200"
