AccountName,CustomDate1,CustomNumber1,CustomNumber2,CustomNumberWithDecimals1,CustomNumberWithDecimals2
RULESUI Account 1,-1,600,350,100,100
RULESUI Account 1,-1,599,360,200,200
RULESUI Account 1,-39,598,380,,
RULESUI Account 1,-40,597,303,400,400
RULESUI Account 1,-41,596,304,500,500
RULESUI Account 1,-42,595,305,100,100
RULESUI Account 1,-43,594,343,,100
RULESUI Account 1,-44,593,344,100,100
RULESUI Account 1,-45,592,345,200,200
RULESUI Account 1,-46,591,346,300,300
RULESUI Account 1,-47,590,347,400,400
RULESUI Account 1,-48,589,348,500,500
RULESUI Account 1,-49,588,349,100,100
RULESUI Account 1,-450,587,350,100,100
RULESUI Account 1,-451,586,351,,100
RULESUI Account 1,-452,585,315,300,200
RULESUI Account 1,-453,584,316,400,300
RULESUI Account 1,-454,583,317,500,400
RULESUI Account 1,-455,582,318,100,500
RULESUI Account 1,-456,581,319,100,100
RULESUI Account 1,-457,580,320,100,100
RULESUI Account 1,-458,579,321,200,200
RULESUI Account 1,-459,578,322,300,100
RULESUI Account 1,-460,577,333,400,100
RULESUI Account 1,-461,576,334,500,200
RULESUI Account 1,-462,575,335,100,300
RULESUI Account 1,-463,574,336,100,400
RULESUI Account 1,-464,573,337,100,500
RULESUI Account 1,-465,572,338,200,100
RULESUI Account 1,-466,571,339,300,100
RULESUI Account 1,-467,570,340,400,300
RULESUI Account 1,-468,569,341,500,400
RULESUI Account 1,-469,568,342,100,500
RULESUI Account 1,-470,567,333,,100
RULESUI Account 1,-471,566,334,400,100
RULESUI Account 1,-472,565,335,500,500
RULESUI Account 1,-473,564,336,,100
RULESUI Account 1,-474,563,337,100,100
RULESUI Account 1,-475,562,338,200,200
RULESUI Account 1,-476,561,339,300,300
RULESUI Account 1,-477,560,340,400,400
RULESUI Account 1,-478,559,341,500,500
RULESUI Account 1,-479,558,342,100,100
RULESUI Account 1,-480,557,343,100,100
RULESUI Account 1,-481,556,344,,100
RULESUI Account 1,-482,555,345,300,200
RULESUI Account 1,-483,554,346,400,300
RULESUI Account 1,-484,553,347,500,400
RULESUI Account 1,-485,552,348,100,500
RULESUI Account 1,-486,551,349,100,100
RULESUI Account 1,-487,550,350,100,100
RULESUI Account 1,-488,549,351,200,200
RULESUI Account 1,-489,548,352,300,100
RULESUI Account 1,-490,547,353,400,100
RULESUI Account 1,-491,546,354,500,200
RULESUI Account 1,-492,545,355,100,300
RULESUI Account 1,-493,544,356,100,400
RULESUI Account 1,-494,543,357,100,500
RULESUI Account 1,-495,542,358,200,100
RULESUI Account 1,-496,541,359,300,100
RULESUI Account 1,-497,540,364,400,300
RULESUI Account 1,-498,539,365,500,400
RULESUI Account 1,-499,538,366,100,500
RULESUI Account 1,-500,537,367,,100
RULESUI Account 1,-501,536,368,400,100
RULESUI Account 1,-502,535,369,,100
RULESUI Account 1,-503,534,366,100,100
RULESUI Account 1,-504,533,367,200,200
RULESUI Account 1,-505,532,368,300,300
RULESUI Account 1,-506,531,369,400,400
RULESUI Account 1,-507,530,370,500,500
RULESUI Account 1,-508,529,371,100,100
RULESUI Account 1,-509,528,372,100,100
RULESUI Account 1,-510,527,373,,100
RULESUI Account 1,-511,526,374,300,200
RULESUI Account 1,-512,525,375,400,300
RULESUI Account 1,-513,524,376,500,400
RULESUI Account 1,-514,523,377,100,500
RULESUI Account 1,-515,522,378,100,100
RULESUI Account 1,-516,521,379,100,100
RULESUI Account 1,-517,520,380,200,200
RULESUI Account 1,-518,519,381,300,100
RULESUI Account 1,-519,518,382,400,100
RULESUI Account 1,-520,517,383,500,200
RULESUI Account 1,-521,516,384,100,300
RULESUI Account 1,-522,515,385,100,400
RULESUI Account 1,-523,514,386,100,500
RULESUI Account 1,-524,513,387,200,100
RULESUI Account 1,-525,512,388,300,100
RULESUI Account 1,-526,511,389,400,300
RULESUI Account 1,-527,510,390,500,400
RULESUI Account 1,-528,509,391,100,500
RULESUI Account 1,-529,508,392,,100
RULESUI Account 1,-530,507,393,,100
RULESUI Account 1,-531,506,394,100,100
RULESUI Account 1,-532,505,395,200,200
RULESUI Account 1,-533,504,396,300,300
RULESUI Account 1,-534,503,397,400,400
RULESUI Account 1,-535,502,398,500,500
