"ActiveUsers__c","AccPercentage__c","C_Number__c","C_Percent__c"
"16.67","16.67","40704.17","7031.25"
"20.2","20.2","41940.07","7247.25"
"27.09","27.09","44349.83","7668.39"
"1.51","1.51","35402.26","6104.65"
"2.01","2.01","35579.19","6135.57"
"2.52","2.52","35756.72","6166.6"
"15.49","15.49","40292.0","6959.22"
"16.02","16.02","40478.08","6991.74"
"16.55","16.55","40664.78","7024.37"
"17.09","17.09","40852.12","7057.11"
"17.63","17.63","41040.08","7089.96"
"18.17","18.17","41228.69","7122.92"
"18.71","18.71","41417.94","7155.99"
"19.25","19.25","41607.84","7189.18"
"19.8","19.8","41798.38","7222.48"
"7.69","7.69","37565.38","6482.69"
"8.22","8.22","37749.66","6514.9"
"8.75","8.75","37934.56","6547.21"
"9.28","9.28","38120.1","6579.64"
"9.81","9.81","38306.28","6612.18"
"10.34","10.34","38493.1","6644.83"
"10.88","10.88","38680.57","6677.59"
"11.42","11.42","38868.69","6710.47"
"15.42","15.42","40269.76","6955.33"
"15.97","15.97","40461.28","6988.8"
"16.52","16.52","40653.48","7022.39"
"17.07","17.07","40846.34","7056.1"
"17.63","17.63","41039.88","7089.92"
"18.18","18.18","41234.09","7123.86"
"18.74","18.74","41428.98","7157.92"
"19.3","19.3","41624.56","7192.11"
"19.86","19.86","41820.83","7226.41"
"20.42","20.42","42017.78","7260.83"
"17.46","17.46","40981.75","7079.76"
"18.02","18.02","41177.92","7114.05"
"18.58","18.58","41374.78","7148.45"
"19.15","19.15","41572.34","7182.98"
"19.72","19.72","41770.6","7217.63"
"20.28","20.28","41969.57","7252.4"
"20.86","20.86","42169.25","7287.3"
"21.43","21.43","42369.64","7322.32"
"22.0","22.0","42570.75","7357.47"
"22.58","22.58","42772.58","7392.74"
"23.16","23.16","42975.13","7428.14"
"23.74","23.74","43178.42","7463.67"
"24.32","24.32","43382.43","7499.32"
"24.91","24.91","43587.18","7535.11"
"25.5","25.5","43792.68","7571.02"
"0.0","0.0","37375.0","5475.0"
"67.95","67.95","62837.98","9263.02"
"27.09","27.09","47527.09","6985.28"
"1.51","1.51","37939.95","5559.05"
"2.01","2.01","38129.53","5587.25"
"2.52","2.52","38319.75","5615.55"
"15.49","15.49","43179.21","6338.47"
"16.02","16.02","43378.58","6368.13"
"14.53","14.53","42819.0","6284.88"
"15.06","15.06","43018.44","6314.55"
"15.59","15.59","43218.56","6344.32"
"16.13","16.13","43419.35","6374.19"
"16.67","16.67","43620.83","6404.17"
"17.21","17.21","43823.0","6434.24"
"17.75","17.75","44025.85","6464.42"
"18.29","18.29","44229.4","6494.7"
"8.22","8.22","40455.14","5933.22"
"8.75","8.75","40653.26","5962.69"
"9.28","9.28","40852.06","5992.27"
"9.81","9.81","41051.55","6021.94"
"10.34","10.34","41251.72","6051.72"
"10.88","10.88","41452.59","6081.61"
"11.42","11.42","41654.15","6111.59"
"15.42","15.42","43155.37","6334.92"
"15.97","15.97","43360.59","6365.45"
"16.52","16.52","43566.52","6396.09"
"17.07","17.07","43773.17","6426.83"
"17.63","17.63","43980.54","6457.68"
"18.18","18.18","44188.64","6488.64"
"18.74","18.74","44397.46","6519.7"
"19.3","19.3","44607.02","6550.88"
"19.86","19.86","44817.31","6582.16"
"20.42","20.42","45028.35","6613.56"
"17.46","17.46","43918.25","6448.41"
"18.02","18.02","44128.45","6479.68"
"18.58","18.58","44339.38","6511.06"
"19.15","19.15","44551.06","6542.55"
"19.72","19.72","44763.5","6574.16"
"20.28","20.28","44976.69","6605.87"
"20.86","20.86","45190.64","6637.7"
"21.43","21.43","45405.36","6669.64"
"22.0","22.0","45620.84","6701.7"
"22.58","22.58","45837.1","6733.87"
"23.16","23.16","46054.13","6766.16"
"23.74","23.74","46271.94","6798.56"
"24.32","24.32","46490.54","6831.08"
"24.91","24.91","46709.93","6863.72"
"25.5","25.5","46930.11","6896.47"
