"C_Percent__c","ActiveUsers__c","C_Number__c","AccPercentage__c"
"-11.252115059221659","-99.15397631133672","-71.79921037789059","-99.15397631133672"
"-9.879725085910653","-99.14089347079039","-71.3631156930126","-99.14089347079039"
"-11.101694915254237","-99.15254237288136","-71.75141242937853","-99.15254237288136"
"-9.72461273666093","-99.1394148020654","-71.31382673551349","-99.1394148020654"
"-9.879725085910653","-99.14089347079039","-71.3631156930126","-99.14089347079039"
"1.2548262548262548","-99.03474903474904","-67.82496782496783","-99.03474903474904"
"2.241715399610136","-99.02534113060429","-67.51137102014296","-99.02534113060429"
"1.6472868217054266","-99.03100775193798","-67.70025839793283","-99.03100775193798"
"1.4506769825918762","-99.03288201160542","-67.76273372018053","-99.03288201160542"
"-11.700336700336699","-99.15824915824916","-71.94163860830528","-99.15824915824916"
"1.2548262548262548","-99.03474903474904","-67.82496782496783","-99.03474903474904"
"-12.290969899665551","-99.1638795986622","-72.12931995540693","-99.1638795986622"
"-12.437395659432388","-99.1652754590985","-72.17584863661659","-99.1652754590985"
"-11.252115059221659","-99.15397631133672","-71.79921037789059","-99.15397631133672"
"-9.879725085910653","-99.14089347079039","-71.3631156930126","-99.14089347079039"
"-10.034305317324185","-99.14236706689536","-71.41223556317897","-99.14236706689536"
"-8.623693379790941","-99.12891986062718","-70.96399535423926","-99.12891986062718"
"-8.782608695652174","-99.1304347826087","-71.01449275362319","-99.1304347826087"
"-7.332155477031802","-99.1166077738516","-70.55359246171967","-99.1166077738516"
"-7.495590828924162","-99.11816578483244","-70.60552616108173","-99.11816578483244"
"-6.003584229390681","-99.10394265232975","-70.13142174432497","-99.10394265232975"
"-6.171735241502684","-99.10554561717353","-70.18485390578415","-99.10554561717353"
"-4.636363636363637","-99.0909090909091","-69.6969696969697","-99.0909090909091"
"-4.809437386569873","-99.09255898366605","-69.75196612220206","-99.09255898366605"
"-3.2287822878228782","-99.07749077490774","-69.24969249692498","-99.07749077490774"
"-3.4069981583793743","-99.0791896869245","-69.30632289748313","-99.0791896869245"
"-1.7790262172284643","-99.06367041198502","-68.78901373283396","-99.06367041198502"
"-1.9626168224299065","-99.06542056074767","-68.84735202492213","-99.06542056074767"
"-0.28517110266159695","-99.04942965779468","-68.31432192648923","-99.04942965779468"
"-0.47438330170777987","-99.05123339658444","-68.37444655281469","-99.05123339658444"
"1.2548262548262548","-99.03474903474904","-67.82496782496783","-99.03474903474904"
"1.0597302504816954","-99.03660886319847","-67.88696210661529","-99.03660886319847"
"2.843137254901961","-99.01960784313727","-67.3202614379085","-99.01960784313727"
"2.6418786692759295","-99.02152641878669","-67.38421395955643","-99.02152641878669"
"-11.101694915254237","-99.15254237288136","-71.75141242937853","-99.15254237288136"
"4.482071713147411","-99.00398406374502","-66.79946879150067","-99.00398406374502"
"4.274353876739562","-99.00596421471172","-66.86547382372433","-99.00596421471172"
"-11.101694915254237","-99.15254237288136","-71.75141242937853","-99.15254237288136"
"-11.252115059221659","-99.15397631133672","-71.79921037789059","-99.15397631133672"
"-11.252115059221659","-99.15397631133672","-71.79921037789059","-99.15397631133672"
"-11.402027027027026","-99.1554054054054","-71.84684684684686","-99.1554054054054"
"-11.101694915254237","-99.15254237288136","-71.75141242937853","-99.15254237288136"
"-11.252115059221659","-99.15397631133672","-71.79921037789059","-99.15397631133672"
"1.8446601941747571","-99.02912621359224","-67.63754045307444","-99.02912621359224"
"1.2548262548262548","-99.03474903474904","-67.82496782496783","-99.03474903474904"
"2.241715399610136","-99.02534113060429","-67.51137102014296","-99.02534113060429"
"-11.700336700336699","-99.15824915824916","-71.94163860830528","-99.15824915824916"
"-11.848739495798318","-99.15966386554622","-71.9887955182073","-99.15966386554622"
"2.0428015564202333","-99.0272373540856","-67.5745784695201","-99.0272373540856"
"-12.583333333333332","-99.16666666666667","-72.22222222222223","-99.16666666666667"
"-11.551433389544687","-99.15682967959528","-71.89432265317595","-99.15682967959528"
"-11.402027027027026","-99.1554054054054","-71.84684684684686","-99.1554054054054"
"-10.34188034188034","-99.14529914529915","-71.50997150997152","-99.14529914529915"
"-10.188356164383562","-99.14383561643835","-71.46118721461188","-99.14383561643835"
"-9.098786828422876","-99.13344887348353","-71.11496244945118","-99.13344887348353"
"-8.940972222222223","-99.13194444444444","-71.06481481481482","-99.13194444444444"
"-7.820738137082602","-99.12126537785588","-70.7088459285296","-99.12126537785588"
"-7.658450704225352","-99.11971830985915","-70.65727699530517","-99.11971830985915"
"-6.506238859180035","-99.10873440285205","-70.291146761735","-99.10873440285205"
"-6.3392857142857135","-99.10714285714286","-70.23809523809524","-99.10714285714286"
"-5.15370705244123","-99.09584086799276","-69.86136226642556","-99.09584086799276"
"-4.981884057971015","-99.09420289855072","-69.80676328502416","-99.09420289855072"
"-3.761467889908257","-99.08256880733946","-69.41896024464832","-99.08256880733946"
"-3.5845588235294117","-99.08088235294117","-69.36274509803923","-99.08088235294117"
"-2.3277467411545625","-99.06890130353817","-68.96337678460584","-99.06890130353817"
"-2.1455223880597014","-99.06716417910447","-68.90547263681593","-99.06716417910447"
"-0.8506616257088847","-99.05482041587902","-68.4940138626339","-99.05482041587902"
"-0.6628787878787878","-99.0530303030303","-68.43434343434343","-99.0530303030303"
"0.6717850287907869","-99.04030710172745","-68.01023672424826","-99.04030710172745"
"0.8653846153846154","-99.03846153846155","-67.94871794871796","-99.03846153846155"
"2.241715399610136","-99.02534113060429","-67.51137102014296","-99.02534113060429"
"2.44140625","-99.0234375","-67.44791666666667","-99.0234375"
"3.8613861386138613","-99.00990099009901","-66.99669966996701","-99.00990099009901"
"4.067460317460317","-99.0079365079365","-66.93121693121694","-99.0079365079365"
"-11.551433389544687","-99.15682967959528","-71.89432265317595","-99.15682967959528"
"-11.402027027027026","-99.1554054054054","-71.84684684684686","-99.1554054054054"
"-11.700336700336699","-99.15824915824916","-71.94163860830528","-99.15824915824916"
"-11.551433389544687","-99.15682967959528","-71.89432265317595","-99.15682967959528"
"-11.551433389544687","-99.15682967959528","-71.89432265317595","-99.15682967959528"
"-11.402027027027026","-99.1554054054054","-71.84684684684686","-99.1554054054054"
"1.4506769825918762","-99.03288201160542","-67.76273372018053","-99.03288201160542"
"1.6472868217054266","-99.03100775193798","-67.70025839793283","-99.03100775193798"
"1.8446601941747571","-99.02912621359224","-67.63754045307444","-99.02912621359224"
"2.0428015564202333","-99.0272373540856","-67.5745784695201","-99.0272373540856"
"2.241715399610136","-99.02534113060429","-67.51137102014296","-99.02534113060429"
"-11.996644295302012","-99.16107382550335","-72.0357941834452","-99.16107382550335"
"-11.700336700336699","-99.15824915824916","-71.94163860830528","-99.15824915824916"
"-11.848739495798318","-99.15966386554622","-71.9887955182073","-99.15966386554622"
"-10.494880546075084","-99.14675767918088","-71.55858930602959","-99.14675767918088"
"-10.647359454855195","-99.14821124361158","-71.60704145371949","-99.14821124361158"
"-9.2560553633218","-99.13494809688581","-71.16493656286045","-99.13494809688581"
"-9.412780656303973","-99.13644214162349","-71.2147380541163","-99.13644214162349"
"-7.982456140350877","-99.12280701754386","-70.76023391812866","-99.12280701754386"
"-8.143607705779335","-99.12434325744309","-70.81144191476942","-99.12434325744309"
"-6.672597864768683","-99.11032028469751","-70.34400948991697","-99.11032028469751"
"-6.838365896980461","-99.11190053285968","-70.39668442865602","-99.11190053285968"
"-5.324909747292419","-99.09747292418773","-69.91576413959086","-99.09747292418773"
"-5.495495495495495","-99.09909909909909","-69.96996996996998","-99.09909909909909"
"-3.9377289377289375","-99.08424908424908","-69.47496947496948","-99.08424908424908"
"-4.113345521023766","-99.08592321755027","-69.53077391834248","-99.08592321755027"
"-2.509293680297398","-99.07063197026022","-69.02106567534078","-99.07063197026022"
"-2.6901669758812616","-99.07235621521335","-69.07854050711194","-99.07235621521335"
"-1.0377358490566038","-99.05660377358491","-68.55345911949686","-99.05660377358491"
"-1.2241054613935969","-99.05838041431262","-68.61268047708727","-99.05838041431262"
"0.4789272030651341","-99.04214559386973","-68.07151979565774","-99.04214559386973"
"0.28680688336520077","-99.04397705544933","-68.13256851497769","-99.04397705544933"
"2.0428015564202333","-99.0272373540856","-67.5745784695201","-99.0272373540856"
"1.8446601941747571","-99.02912621359224","-67.63754045307444","-99.02912621359224"
"3.6561264822134385","-99.01185770750988","-67.06192358366272","-99.01185770750988"
"3.451676528599606","-99.0138067061144","-67.12689020381329","-99.0138067061144"
"-11.700336700336699","-99.15824915824916","-71.94163860830528","-99.15824915824916"
"-11.848739495798318","-99.15966386554622","-71.9887955182073","-99.15966386554622"
"-11.848739495798318","-99.15966386554622","-71.9887955182073","-99.15966386554622"
"-10.950764006791172","-99.15110356536503","-71.7034521788342","-99.15110356536503"
"-9.568965517241379","-99.13793103448276","-71.26436781609196","-99.13793103448276"
"-9.72461273666093","-99.1394148020654","-71.31382673551349","-99.1394148020654"
"1.2548262548262548","-99.03474903474904","-67.82496782496783","-99.03474903474904"
"-9.568965517241379","-99.13793103448276","-71.26436781609196","-99.13793103448276"
"1.6472868217054266","-99.03100775193798","-67.70025839793283","-99.03100775193798"
"1.4506769825918762","-99.03288201160542","-67.76273372018053","-99.03288201160542"
"2.0428015564202333","-99.0272373540856","-67.5745784695201","-99.0272373540856"
"1.8446601941747571","-99.02912621359224","-67.63754045307444","-99.02912621359224"
"-11.996644295302012","-99.16107382550335","-72.0357941834452","-99.16107382550335"
"-12.144053601340033","-99.16247906197655","-72.08263539921832","-99.16247906197655"
"-10.799319727891156","-99.14965986394559","-71.65532879818595","-99.14965986394559"
"-10.950764006791172","-99.15110356536503","-71.7034521788342","-99.15110356536503"
"-9.568965517241379","-99.13793103448276","-71.26436781609196","-99.13793103448276"
"-9.72461273666093","-99.1394148020654","-71.31382673551349","-99.1394148020654"
"-8.304195804195805","-99.12587412587412","-70.86247086247087","-99.12587412587412"
"-8.464223385689355","-99.12739965095986","-70.91332169866203","-99.12739965095986"
"-7.00354609929078","-99.11347517730496","-70.44917257683215","-99.11347517730496"
"-7.168141592920355","-99.11504424778761","-70.50147492625369","-99.11504424778761"
"-5.66546762589928","-99.10071942446042","-70.02398081534773","-99.10071942446042"
"-5.834829443447038","-99.10233393177738","-70.07779772591263","-99.10233393177738"
"-4.288321167883212","-99.08759124087592","-69.58637469586375","-99.08759124087592"
"-4.462659380692167","-99.08925318761385","-69.64177292046145","-99.08925318761385"
"-2.8703703703703702","-99.07407407407408","-69.13580246913581","-99.07407407407408"
"-3.0499075785582255","-99.07578558225508","-69.1928527418361","-99.07578558225508"
"-1.4097744360902256","-99.06015037593986","-68.67167919799499","-99.06015037593986"
"-1.594746716697936","-99.06191369606003","-68.7304565353346","-99.06191369606003"
"0.09541984732824427","-99.04580152671755","-68.19338422391859","-99.04580152671755"
"-0.09523809523809523","-99.04761904761905","-68.25396825396825","-99.04761904761905"
"1.6472868217054266","-99.03100775193798","-67.70025839793283","-99.03100775193798"
"1.4506769825918762","-99.03288201160542","-67.76273372018053","-99.03288201160542"
"3.2480314960629917","-99.01574803149606","-67.19160104986878","-99.01574803149606"
"3.045186640471513","-99.01768172888016","-67.25605762933859","-99.01768172888016"
"-12.290969899665551","-99.1638795986622","-72.12931995540693","-99.1638795986622"
"-12.437395659432388","-99.1652754590985","-72.17584863661659","-99.1652754590985"
"-11.101694915254237","-99.15254237288136","-71.75141242937853","-99.15254237288136"
