"C_Text__c","C_Number__c"
"RULESUI Account 1","692.0"
"RULESUI Account 1","676.0"
"RULESUI Account 1","680.0"
"RULESUI Account 1","644.0"
"RULESUI Account 1","702.0"
"RULESUI Account 1","686.0"
"RULESUI Account 1","688.0"
"RULESUI Account 1","672.0"
"RULESUI Account 1","676.0"
"RULESUI Account 1","640.0"
"RULESUI Account 1","698.0"
"RULESUI Account 1","608.0"
"RULESUI Account 1","680.0"
"RULESUI Account 1","684.0"
"RULESUI Account 1","668.0"
"RULESUI Account 1","632.0"
"RULESUI Account 1","690.0"
"RULESUI Account 1","700.0"
"RULESUI Account 1","694.0"
"RULESUI Account 1","678.0"
"RULESUI Account 1","682.0"
"RULESUI Account 1","666.0"
"RULESUI Account 1","630.0"
"RULESUI Account 1","688.0"
"RULESUI Account 1","686.0"
"RULESUI Account 1","670.0"
"RULESUI Account 1","674.0"
"RULESUI Account 1","638.0"
"RULESUI Account 1","696.0"
"RULESUI Account 1","606.0"
"RULESUI Account 1","690.0"
"RULESUI Account 1","674.0"
"RULESUI Account 1","678.0"
"RULESUI Account 1","642.0"
"RULESUI Account 1","700.0"
"RULESUI Account 1","610.0"
"RULESUI Account 1","684.0"
"RULESUI Account 1","668.0"
"RULESUI Account 1","672.0"
"RULESUI Account 1","636.0"
"RULESUI Account 1","694.0"
"RULESUI Account 1","760.0"
"RULESUI Account 1","682.0"
"RULESUI Account 1","666.0"
"RULESUI Account 1","670.0"
"RULESUI Account 1","634.0"
"RULESUI Account 1","692.0"
"RULESUI Account 1","720.0"
"RULESUI Account 1","692.0"
"RULESUI Account 1","676.0"
"RULESUI Account 1","680.0"
"RULESUI Account 1","644.0"
"RULESUI Account 1","702.0"
"RULESUI Account 1","686.0"
"RULESUI Account 1","688.0"
"RULESUI Account 1","672.0"
"RULESUI Account 1","676.0"
"RULESUI Account 1","640.0"
"RULESUI Account 1","698.0"
"RULESUI Account 1","608.0"
"RULESUI Account 1","680.0"
"RULESUI Account 1","684.0"
"RULESUI Account 1","668.0"
"RULESUI Account 1","632.0"
"RULESUI Account 1","690.0"
"RULESUI Account 1","700.0"
"RULESUI Account 1","694.0"
"RULESUI Account 1","678.0"
"RULESUI Account 1","682.0"
"RULESUI Account 1","666.0"
"RULESUI Account 1","630.0"
"RULESUI Account 1","688.0"
"RULESUI Account 1","686.0"
"RULESUI Account 1","670.0"
"RULESUI Account 1","674.0"
"RULESUI Account 1","638.0"
"RULESUI Account 1","696.0"
"RULESUI Account 1","606.0"
"RULESUI Account 1","690.0"
"RULESUI Account 1","674.0"
"RULESUI Account 1","678.0"
"RULESUI Account 1","642.0"
"RULESUI Account 1","700.0"
"RULESUI Account 1","610.0"
"RULESUI Account 1","684.0"
"RULESUI Account 1","668.0"
"RULESUI Account 1","672.0"
"RULESUI Account 1","636.0"
"RULESUI Account 1","694.0"
"RULESUI Account 1","760.0"
"RULESUI Account 1","682.0"
"RULESUI Account 1","666.0"
"RULESUI Account 1","670.0"
"RULESUI Account 1","634.0"
"RULESUI Account 1","692.0"
"RULESUI Account 1","720.0"
"RULESUI Account 2","680.0"
"RULESUI Account 2","684.0"
"RULESUI Account 2","668.0"
"RULESUI Account 2","632.0"
"RULESUI Account 9","0.0"
"RULESUI Account 9","0.0"
"RULESUI Account 9","0.0"
"RULESUI Account 9","0.0"
"RULESUI Account 9","0.0"
"RULESUI Account 9","0.0"
"RULESUI Account 9","0.0"
"RULESUI Account 9","0.0"
"RULESUI Account 9","0.0"
"RULESUI Account 2","686.0"
"RULESUI Account 2","608.0"
"RULESUI Account 2","686.0"
"RULESUI Account 2","670.0"
"RULESUI Account 2","674.0"
"RULESUI Account 2","638.0"
"RULESUI Account 2","684.0"
"RULESUI Account 2","606.0"
"RULESUI Account 2","680.0"
"RULESUI Account 2","684.0"
"RULESUI Account 2","668.0"
"RULESUI Account 2","632.0"
"RULESUI Account 2","678.0"
"RULESUI Account 2","700.0"
"RULESUI Account 2","692.0"
"RULESUI Account 2","676.0"
"RULESUI Account 2","680.0"
"RULESUI Account 2","644.0"
"RULESUI Account 2","690.0"
"RULESUI Account 2","686.0"
"RULESUI Account 2","694.0"
"RULESUI Account 2","678.0"
"RULESUI Account 2","682.0"
"RULESUI Account 2","666.0"
"RULESUI Account 2","692.0"
"RULESUI Account 2","688.0"
"RULESUI Account 2","684.0"
"RULESUI Account 2","668.0"
"RULESUI Account 2","672.0"
"RULESUI Account 2","636.0"
"RULESUI Account 2","682.0"
"RULESUI Account 2","760.0"
"RULESUI Account 2","690.0"
"RULESUI Account 2","674.0"
"RULESUI Account 2","678.0"
"RULESUI Account 2","642.0"
"RULESUI Account 2","688.0"
"RULESUI Account 2","610.0"
"RULESUI Account 2","682.0"
"RULESUI Account 2","666.0"
"RULESUI Account 2","670.0"
"RULESUI Account 2","634.0"
"RULESUI Account 2","680.0"
"RULESUI Account 2","1006.0"
"RULESUI Account 2","688.0"
"RULESUI Account 2","672.0"
"RULESUI Account 2","676.0"
"RULESUI Account 2","640.0"
"RULESUI Account 2","686.0"
"RULESUI Account 2","608.0"
"RULESUI Account 2","686.0"
"RULESUI Account 2","670.0"
"RULESUI Account 2","674.0"
"RULESUI Account 2","638.0"
"RULESUI Account 2","684.0"
"RULESUI Account 2","606.0"
"RULESUI Account 3","0.0"
"RULESUI Account 3","0.0"
"RULESUI Account 3","0.0"
"RULESUI Account 3","0.0"
"RULESUI Account 3","0.0"
"RULESUI Account 3","0.0"
"RULESUI Account 3","0.0"
"RULESUI Account 3","0.0"
"RULESUI Account 3","0.0"
"RULESUI Account 3","0.0"
"RULESUI Account 3","0.0"
"RULESUI Account 3","0.0"
"RULESUI Account 3","0.0"
"RULESUI Account 4","0.0"
"RULESUI Account 4","0.0"
"RULESUI Account 4","0.0"
"RULESUI Account 4","0.0"
"RULESUI Account 4","0.0"
"RULESUI Account 4","0.0"
"RULESUI Account 4","0.0"
"RULESUI Account 4","0.0"
"RULESUI Account 4","0.0"
"RULESUI Account 4","0.0"
"RULESUI Account 4","0.0"
"RULESUI Account 4","0.0"
"RULESUI Account 4","0.0"
"RULESUI Account 5","0.0"
"RULESUI Account 5","0.0"
"RULESUI Account 5","0.0"
"RULESUI Account 5","0.0"
"RULESUI Account 5","0.0"
"RULESUI Account 5","0.0"
"RULESUI Account 5","0.0"
"RULESUI Account 5","0.0"
"RULESUI Account 5","0.0"
"RULESUI Account 5","0.0"
"RULESUI Account 5","0.0"
"RULESUI Account 5","0.0"
"RULESUI Account 5","0.0"
"RULESUI Account 6","0.0"
"RULESUI Account 6","0.0"
"RULESUI Account 6","0.0"
"RULESUI Account 6","0.0"
"RULESUI Account 6","0.0"
"RULESUI Account 6","0.0"
"RULESUI Account 6","0.0"
"RULESUI Account 6","0.0"
"RULESUI Account 6","0.0"
"RULESUI Account 6","0.0"
"RULESUI Account 6","0.0"
"RULESUI Account 6","0.0"
"RULESUI Account 6","0.0"
"RULESUI Account 7","0.0"
"RULESUI Account 7","0.0"
"RULESUI Account 7","0.0"
"RULESUI Account 7","0.0"
"RULESUI Account 7","0.0"
"RULESUI Account 9","0.0"
"RULESUI Account 9","0.0"
"RULESUI Account 9","0.0"
"RULESUI Account 7","0.0"
"RULESUI Account 7","0.0"
"RULESUI Account 7","0.0"
"RULESUI Account 7","0.0"
"RULESUI Account 7","0.0"
"RULESUI Account 7","0.0"
"RULESUI Account 7","0.0"
"RULESUI Account 7","0.0"
"RULESUI Account 8","0.0"
"RULESUI Account 8","0.0"
"RULESUI Account 8","0.0"
"RULESUI Account 8","0.0"
"RULESUI Account 8","0.0"
"RULESUI Account 8","0.0"
"RULESUI Account 8","0.0"
"RULESUI Account 8","0.0"
"RULESUI Account 8","0.0"
"RULESUI Account 8","0.0"
"RULESUI Account 8","0.0"
"RULESUI Account 8","0.0"
"RULESUI Account 8","0.0"
"RULESUI Account 9","0.0"
"RULESUI Account 9","0.0"
"RULESUI Account 2","680.0"
"RULESUI Account 2","1006.0"
"RULESUI Account 2","688.0"
"RULESUI Account 2","672.0"
"RULESUI Account 2","678.0"
"RULESUI Account 2","700.0"
"RULESUI Account 2","692.0"
"RULESUI Account 2","676.0"
"RULESUI Account 2","680.0"
"RULESUI Account 2","644.0"
"RULESUI Account 2","690.0"
"RULESUI Account 2","686.0"
"RULESUI Account 2","694.0"
"RULESUI Account 2","678.0"
"RULESUI Account 2","682.0"
"RULESUI Account 2","666.0"
"RULESUI Account 2","692.0"
"RULESUI Account 2","688.0"
"RULESUI Account 2","684.0"
"RULESUI Account 2","668.0"
"RULESUI Account 2","672.0"
"RULESUI Account 2","636.0"
"RULESUI Account 2","682.0"
"RULESUI Account 2","760.0"
"RULESUI Account 2","690.0"
"RULESUI Account 2","674.0"
"RULESUI Account 2","678.0"
"RULESUI Account 2","642.0"
"RULESUI Account 2","688.0"
"RULESUI Account 2","610.0"
"RULESUI Account 2","682.0"
"RULESUI Account 2","666.0"
"RULESUI Account 2","670.0"
"RULESUI Account 2","634.0"
"RULESUI Account 2","676.0"
"RULESUI Account 2","640.0"
