"C_Text__c","C_Number__c"
"RULESUI Account 1","100.0"
"RULESUI Account 2","100.0"
"RULESUI Account 2","100.0"
"RULESUI Account 2","100.0"
"RULESUI Account 2","100.0"
"RULESUI Account 2","100.0"
"RULESUI Account 2","100.0"
"RULESUI Account 2","100.0"
"RULESUI Account 2","100.0"
"RULESUI Account 2","100.0"
"RULESUI Account 2","100.0"
"RULESUI Account 2","100.0"
"RULESUI Account 2","-745.0"
"RULESUI Account 2","100.0"
"RULESUI Account 2","100.0"
"RULESUI Account 2","100.0"
"RULESUI Account 2","100.0"
"RULESUI Account 2","100.0"
"RULESUI Account 2","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","-850.0"
"RULESUI Account 1","945.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","840.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","-700.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","780.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","-650.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","-615.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
"RULESUI Account 1","100.0"
