"ActiveUsers__c","AccPercentage__c","C_Number__c","C_Percent__c"
"583.0","583.0","245.0","296.35"
"582.0","582.0","244.0","295.35"
"581.0","581.0","243.0","294.35"
"580.0","580.0","242.0","293.35"
"579.0","579.0","241.0","292.35"
"578.0","578.0","240.0","291.35"
"577.0","577.0","239.0","290.35"
"576.0","576.0","238.0","289.35"
"575.0","575.0","237.0","288.35"
"574.0","574.0","236.0","287.35"
"573.0","573.0","235.0","286.35"
"572.0","572.0","234.0","285.35"
"571.0","571.0","233.0","284.35"
"570.0","570.0","232.0","283.35"
"569.0","569.0","231.0","282.35"
"568.0","568.0","230.0","281.35"
"567.0","567.0","229.0","280.35"
"566.0","566.0","228.0","279.35"
"565.0","565.0","227.0","278.35"
"564.0","564.0","226.0","277.35"
"563.0","563.0","225.0","276.35"
"562.0","562.0","224.0","275.35"
"561.0","561.0","223.0","274.35"
"560.0","560.0","222.0","273.35"
"559.0","559.0","221.0","272.35"
"558.0","558.0","220.0","271.35"
"557.0","557.0","219.0","270.35"
"556.0","556.0","218.0","269.35"
"555.0","555.0","217.0","268.35"
"554.0","554.0","216.0","267.35"
"553.0","553.0","215.0","266.35"
"552.0","552.0","214.0","265.35"
"551.0","551.0","213.0","264.35"
"550.0","550.0","212.0","263.35"
"549.0","549.0","211.0","262.35"
"548.0","548.0","210.0","261.35"
"547.0","547.0","209.0","260.35"
"546.0","546.0","208.0","259.35"
"545.0","545.0","207.0","258.35"
"544.0","544.0","206.0","257.35"
"543.0","543.0","205.0","256.35"
"542.0","542.0","204.0","255.35"
"541.0","541.0","203.0","254.35"
"540.0","540.0","202.0","253.35"
"539.0","539.0","201.0","252.35"
"538.0","538.0","200.0","251.35"
"537.0","537.0","199.0","250.35"
"536.0","536.0","198.0","249.35"
"503.0","503.0","165.0","216.35"
"498.0","498.0","160.0","211.35"
"493.0","493.0","155.0","206.35"
"684.0","684.0","273.5","389.75"
"583.0","583.0","172.5","288.75"
"582.0","582.0","171.5","287.75"
"581.0","581.0","170.5","286.75"
"580.0","580.0","169.5","285.75"
"579.0","579.0","168.5","284.75"
"578.0","578.0","167.5","283.75"
"577.0","577.0","166.5","282.75"
"576.0","576.0","165.5","281.75"
"575.0","575.0","164.5","280.75"
"574.0","574.0","163.5","279.75"
"573.0","573.0","162.5","278.75"
"572.0","572.0","161.5","277.75"
"571.0","571.0","160.5","276.75"
"570.0","570.0","159.5","275.75"
"569.0","569.0","158.5","274.75"
"568.0","568.0","157.5","273.75"
"567.0","567.0","156.5","272.75"
"566.0","566.0","155.5","271.75"
"565.0","565.0","154.5","270.75"
"564.0","564.0","153.5","269.75"
"563.0","563.0","152.5","268.75"
"562.0","562.0","151.5","267.75"
"561.0","561.0","150.5","266.75"
"560.0","560.0","149.5","265.75"
"559.0","559.0","148.5","264.75"
"558.0","558.0","147.5","263.75"
"557.0","557.0","146.5","262.75"
"556.0","556.0","145.5","261.75"
"555.0","555.0","144.5","260.75"
"554.0","554.0","143.5","259.75"
"553.0","553.0","142.5","258.75"
"552.0","552.0","141.5","257.75"
"551.0","551.0","140.5","256.75"
"550.0","550.0","139.5","255.75"
"549.0","549.0","138.5","254.75"
"548.0","548.0","137.5","253.75"
"547.0","547.0","136.5","252.75"
"546.0","546.0","135.5","251.75"
"545.0","545.0","134.5","250.75"
"544.0","544.0","133.5","249.75"
"543.0","543.0","132.5","248.75"
"542.0","542.0","131.5","247.75"
"541.0","541.0","130.5","246.75"
"540.0","540.0","129.5","245.75"
"539.0","539.0","128.5","244.75"
"538.0","538.0","127.5","243.75"
"537.0","537.0","126.5","242.75"
