"C_Percent__c","ActiveUsers__c","C_Number__c","AccPercentage__c"
"-417.5","-593.0","-495.0","-593.0"
"-418.5","-594.0","-496.0","-594.0"
"-409.5","-585.0","-487.0","-585.0"
"-410.5","-586.0","-488.0","-586.0"
"-401.5","-577.0","-479.0","-577.0"
"-402.5","-578.0","-480.0","-578.0"
"-393.5","-569.0","-471.0","-569.0"
"-394.5","-570.0","-472.0","-570.0"
"-385.5","-561.0","-463.0","-561.0"
"-386.5","-562.0","-464.0","-562.0"
"-377.5","-553.0","-455.0","-553.0"
"-378.5","-554.0","-456.0","-554.0"
"-416.5","-592.0","-494.0","-592.0"
"-422.5","-598.0","-500.0","-598.0"
"-421.5","-597.0","-499.0","-597.0"
"-408.5","-584.0","-486.0","-584.0"
"-414.5","-590.0","-492.0","-590.0"
"-413.5","-589.0","-491.0","-589.0"
"-400.5","-576.0","-478.0","-576.0"
"-406.5","-582.0","-484.0","-582.0"
"-405.5","-581.0","-483.0","-581.0"
"-392.5","-568.0","-470.0","-568.0"
"-398.5","-574.0","-476.0","-574.0"
"-397.5","-573.0","-475.0","-573.0"
"-384.5","-560.0","-462.0","-560.0"
"-390.5","-566.0","-468.0","-566.0"
"-389.5","-565.0","-467.0","-565.0"
"-376.5","-552.0","-454.0","-552.0"
"-382.5","-558.0","-460.0","-558.0"
"-381.5","-557.0","-459.0","-557.0"
"-415.5","-591.0","-493.0","-591.0"
"-420.5","-596.0","-498.0","-596.0"
"-407.5","-583.0","-485.0","-583.0"
"-412.5","-588.0","-490.0","-588.0"
"-399.5","-575.0","-477.0","-575.0"
"-404.5","-580.0","-482.0","-580.0"
"-391.5","-567.0","-469.0","-567.0"
"-396.5","-572.0","-474.0","-572.0"
"-383.5","-559.0","-461.0","-559.0"
"-388.5","-564.0","-466.0","-564.0"
"-375.5","-551.0","-453.0","-551.0"
"-380.5","-556.0","-458.0","-556.0"
"-419.5","-595.0","-497.0","-595.0"
"-411.5","-587.0","-489.0","-587.0"
"-403.5","-579.0","-481.0","-579.0"
"-395.5","-571.0","-473.0","-571.0"
"-387.5","-563.0","-465.0","-563.0"
"-379.5","-555.0","-457.0","-555.0"
"-380.75","-592.0","-494.0","-592.0"
"-383.75","-595.0","-497.0","-595.0"
"-372.75","-584.0","-486.0","-584.0"
"-375.75","-587.0","-489.0","-587.0"
"-364.75","-576.0","-478.0","-576.0"
"-367.75","-579.0","-481.0","-579.0"
"-356.75","-568.0","-470.0","-568.0"
"-359.75","-571.0","-473.0","-571.0"
"-348.75","-560.0","-462.0","-560.0"
"-351.75","-563.0","-465.0","-563.0"
"-340.75","-552.0","-454.0","-552.0"
"-343.75","-555.0","-457.0","-555.0"
"-385.75","-597.0","-499.0","-597.0"
"-486.75","-698.0","-600.0","-698.0"
"-377.75","-589.0","-491.0","-589.0"
"-378.75","-590.0","-492.0","-590.0"
"-369.75","-581.0","-483.0","-581.0"
"-370.75","-582.0","-484.0","-582.0"
"-361.75","-573.0","-475.0","-573.0"
"-362.75","-574.0","-476.0","-574.0"
"-353.75","-565.0","-467.0","-565.0"
"-354.75","-566.0","-468.0","-566.0"
"-345.75","-557.0","-459.0","-557.0"
"-346.75","-558.0","-460.0","-558.0"
"-382.75","-594.0","-496.0","-594.0"
"-384.75","-596.0","-498.0","-596.0"
"-374.75","-586.0","-488.0","-586.0"
"-376.75","-588.0","-490.0","-588.0"
"-366.75","-578.0","-480.0","-578.0"
"-368.75","-580.0","-482.0","-580.0"
"-358.75","-570.0","-472.0","-570.0"
"-360.75","-572.0","-474.0","-572.0"
"-350.75","-562.0","-464.0","-562.0"
"-352.75","-564.0","-466.0","-564.0"
"-342.75","-554.0","-456.0","-554.0"
"-344.75","-556.0","-458.0","-556.0"
"-379.75","-591.0","-493.0","-591.0"
"-381.75","-593.0","-495.0","-593.0"
"-371.75","-583.0","-485.0","-583.0"
"-373.75","-585.0","-487.0","-585.0"
"-363.75","-575.0","-477.0","-575.0"
"-365.75","-577.0","-479.0","-577.0"
"-355.75","-567.0","-469.0","-567.0"
"-357.75","-569.0","-471.0","-569.0"
"-347.75","-559.0","-461.0","-559.0"
"-349.75","-561.0","-463.0","-561.0"
"-339.75","-551.0","-453.0","-551.0"
"-341.75","-553.0","-455.0","-553.0"
