"C_Number__c","C_Percent__c"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"481.6","-355.0"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"481.6","-355.0"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
"489.13","-426.5"
