"C_Number__c","C_Text__c"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
"-2355.0","RULESUI Account 1"
