"AccPercentage__c","ActiveUsers__c","C_Number__c","C_Percent__c"
"1.0","0.0","0.0","1.0"
"1.0","0.0","0.0","-1.0"
"3000.0","142.8571428571428","2000000.0","-1000.0"
"-1100.0","-6.6666666666666","100000.0","-900.0"
"0.0","6.25","-10000.0","-200.0"
"0.0","-5.8823529411764","-10000.0","200.0"
"1.2933414E7","1284.5","2.98498884453E11","1.2887172E7"
"347466.0","17064.947368421053","7.532604288E9","-301002.0"
"18.0","0.45","81.0","0.0"
"0.0","-0.25","-1.0","2.0"
"0.0","0.0","0.0","0.0"
"-2.0","-0.1666666666666","1.0","0.0"
"5.0","0.4285714285714","6.0","-1.0"
"-5.0","-0.375","6.0","1.0"
"-20.0","0.1111111111111","-21.0","-22.0"
