"JBCXM__Account__r.Name","JBCXM__Date__c","Name","Active_Users__c","DB_Size__c","Emails_Sent_Count__c","Files_Downloaded__c"
"RULESUI Account 1","2016-03-21","ACCOUNTLEVEL","100.0","100.0","100.0","100.0"
"RULESUI Account 2","2016-03-21","ACCOUNTLEVEL","200.0","200.0","200.0","200.0"
"RULESUI Account 3","2016-02-22","ACCOUNTLEVEL","300.0","300.0","",""
"RULESUI Account 3","2016-02-29","ACCOUNTLEVEL","400.0","400.0","400.0","400.0"
"RULESUI Account 3","2016-03-07","ACCOUNTLEVEL","500.0","500.0","500.0","500.0"
"RULESUI Account 3","2016-03-14","ACCOUNTLEVEL","","100.0","100.0","100.0"
"RULESUI Account 3","2016-03-21","ACCOUNTLEVEL","200.0","100.0","","100.0"
"RULESUI Account 4","2016-02-22","ACCOUNTLEVEL","300.0","200.0","100.0","100.0"
"RULESUI Account 4","2016-02-29","ACCOUNTLEVEL","400.0","","200.0","200.0"
"RULESUI Account 4","2016-03-07","ACCOUNTLEVEL","500.0","400.0","300.0","300.0"
"RULESUI Account 4","2016-03-14","ACCOUNTLEVEL","100.0","500.0","400.0","400.0"
"RULESUI Account 4","2016-03-21","ACCOUNTLEVEL","200.0","","500.0","500.0"
"RULESUI Account 5","2016-02-22","ACCOUNTLEVEL","300.0","200.0","100.0","100.0"
"RULESUI Account 5","2016-02-29","ACCOUNTLEVEL","400.0","300.0","100.0","100.0"
"RULESUI Account 5","2016-03-07","ACCOUNTLEVEL","500.0","100.0","","100.0"
"RULESUI Account 5","2016-03-14","ACCOUNTLEVEL","100.0","200.0","300.0","200.0"
"RULESUI Account 5","2016-03-21","ACCOUNTLEVEL","200.0","300.0","400.0","300.0"
"RULESUI Account 6","2016-02-22","ACCOUNTLEVEL","300.0","400.0","500.0","400.0"
"RULESUI Account 6","2016-02-29","ACCOUNTLEVEL","","500.0","100.0","500.0"
"RULESUI Account 6","2016-03-07","ACCOUNTLEVEL","500.0","100.0","100.0","100.0"
"RULESUI Account 6","2016-03-14","ACCOUNTLEVEL","100.0","200.0","100.0","100.0"
"RULESUI Account 6","2016-03-21","ACCOUNTLEVEL","200.0","300.0","200.0","200.0"
"RULESUI Account 7","2016-02-22","ACCOUNTLEVEL","300.0","400.0","300.0","100.0"
"RULESUI Account 7","2016-02-29","ACCOUNTLEVEL","400.0","500.0","400.0","100.0"
"RULESUI Account 7","2016-03-07","ACCOUNTLEVEL","500.0","100.0","500.0","200.0"
"RULESUI Account 7","2016-03-14","ACCOUNTLEVEL","100.0","100.0","100.0","300.0"
"RULESUI Account 7","2016-03-21","ACCOUNTLEVEL","200.0","200.0","100.0","400.0"
"RULESUI Account 8","2016-02-22","ACCOUNTLEVEL","300.0","","100.0","500.0"
"RULESUI Account 8","2016-02-29","ACCOUNTLEVEL","","400.0","200.0","100.0"
"RULESUI Account 8","2016-03-07","ACCOUNTLEVEL","500.0","500.0","300.0","100.0"
"RULESUI Account 8","2016-03-14","ACCOUNTLEVEL","100.0","100.0","400.0","300.0"
"RULESUI Account 8","2016-03-21","ACCOUNTLEVEL","200.0","200.0","500.0","400.0"
"RULESUI Account 9","2016-02-22","ACCOUNTLEVEL","300.0","300.0","100.0","500.0"
"RULESUI Account 9","2016-02-29","ACCOUNTLEVEL","400.0","400.0","","100.0"
"RULESUI Account 9","2016-03-07","ACCOUNTLEVEL","500.0","","400.0","100.0"
"RULESUI Account 9","2016-03-14","ACCOUNTLEVEL","400.0","100.0","500.0","500.0"
"RULESUI Account 9","2016-03-21","ACCOUNTLEVEL","500.0","100.0","100.0","500.0"
