"JBCXM__Account__r.Name","JBCXM__InstanceId__c","JBCXM__InstanceName__c","JBCXM__Date__c","Name","Active_Users__c","DB_Size__c","Emails_Sent_Count__c","Files_Downloaded__c"
"RULESUI Account 1","RULESUI Account 1 - Production 1","RULESUI Account 1 - Production 1","2016-02-28","INSTANCELEVEL","100.0","100.0","200.0","100.0"
"RULESUI Account 2","RULESUI Account 2 - Production 1","RULESUI Account 2 - Production 1","2016-02-28","INSTANCELEVEL","200.0","200.0","300.0","200.0"
"RULESUI Account 3","RULESUI Account 3 - Production 1","RULESUI Account 3 - Production 1","2015-10-28","INSTANCELEVEL","300.0","300.0","400.0","300.0"
"RULESUI Account 3","RULESUI Account 3 - Production 1","RULESUI Account 3 - Production 1","2015-11-28","INSTANCELEVEL","400.0","","500.0","400.0"
"RULESUI Account 3","RULESUI Account 3 - Production 1","RULESUI Account 3 - Production 1","2015-12-28","INSTANCELEVEL","500.0","500.0","100.0",""
"RULESUI Account 3","RULESUI Account 3 - Production 1","RULESUI Account 3 - Production 1","2016-01-28","INSTANCELEVEL","100.0","100.0","200.0","100.0"
"RULESUI Account 3","RULESUI Account 3 - Production 1","RULESUI Account 3 - Production 1","2016-02-28","INSTANCELEVEL","200.0","200.0","100.0","200.0"
"RULESUI Account 4","RULESUI Account 4 - Production 1","RULESUI Account 4 - Production 1","2015-10-28","INSTANCELEVEL","","100.0","","100.0"
"RULESUI Account 4","RULESUI Account 4 - Production 1","RULESUI Account 4 - Production 1","2015-11-28","INSTANCELEVEL","100.0","200.0","300.0","200.0"
"RULESUI Account 4","RULESUI Account 4 - Production 1","RULESUI Account 4 - Production 1","2015-12-28","INSTANCELEVEL","200.0","300.0","400.0","300.0"
"RULESUI Account 4","RULESUI Account 4 - Production 1","RULESUI Account 4 - Production 1","2016-01-28","INSTANCELEVEL","300.0","400.0","500.0","400.0"
"RULESUI Account 4","RULESUI Account 4 - Production 1","RULESUI Account 4 - Production 1","2016-02-28","INSTANCELEVEL","400.0","500.0","100.0","500.0"
"RULESUI Account 5","RULESUI Account 5 - Production 1","RULESUI Account 5 - Production 1","2015-10-28","INSTANCELEVEL","500.0","100.0","200.0","100.0"
"RULESUI Account 5","RULESUI Account 5 - Production 1","RULESUI Account 5 - Production 1","2015-11-28","INSTANCELEVEL","100.0","200.0","300.0","200.0"
"RULESUI Account 5","RULESUI Account 5 - Production 1","RULESUI Account 5 - Production 1","2015-12-28","INSTANCELEVEL","200.0","300.0","400.0","300.0"
"RULESUI Account 5","RULESUI Account 5 - Production 1","RULESUI Account 5 - Production 1","2016-01-28","INSTANCELEVEL","300.0","100.0","500.0","100.0"
"RULESUI Account 5","RULESUI Account 5 - Production 1","RULESUI Account 5 - Production 1","2016-02-28","INSTANCELEVEL","400.0","200.0","100.0","200.0"
"RULESUI Account 6","RULESUI Account 6 - Production 1","RULESUI Account 6 - Production 1","2015-10-28","INSTANCELEVEL","500.0","","200.0","100.0"
"RULESUI Account 6","RULESUI Account 6 - Production 1","RULESUI Account 6 - Production 1","2015-11-28","INSTANCELEVEL","100.0","200.0","100.0","200.0"
"RULESUI Account 6","RULESUI Account 6 - Production 1","RULESUI Account 6 - Production 1","2015-12-28","INSTANCELEVEL","200.0","300.0","200.0","300.0"
"RULESUI Account 6","RULESUI Account 6 - Production 1","RULESUI Account 6 - Production 1","2016-01-28","INSTANCELEVEL","300.0","400.0","300.0","400.0"
"RULESUI Account 6","RULESUI Account 6 - Production 1","RULESUI Account 6 - Production 1","2016-02-28","INSTANCELEVEL","400.0","","400.0","500.0"
"RULESUI Account 7","RULESUI Account 7 - Production 1","RULESUI Account 7 - Production 1","2015-10-28","INSTANCELEVEL","500.0","100.0","500.0","100.0"
"RULESUI Account 7","RULESUI Account 7 - Production 1","RULESUI Account 7 - Production 1","2015-11-28","INSTANCELEVEL","100.0","200.0","100.0",""
"RULESUI Account 7","RULESUI Account 7 - Production 1","RULESUI Account 7 - Production 1","2015-12-28","INSTANCELEVEL","200.0","300.0","200.0","300.0"
"RULESUI Account 7","RULESUI Account 7 - Production 1","RULESUI Account 7 - Production 1","2016-01-28","INSTANCELEVEL","300.0","100.0","300.0","100.0"
"RULESUI Account 7","RULESUI Account 7 - Production 1","RULESUI Account 7 - Production 1","2016-02-28","INSTANCELEVEL","400.0","200.0","400.0","200.0"
"RULESUI Account 8","RULESUI Account 8 - Production 1","RULESUI Account 8 - Production 1","2015-10-28","INSTANCELEVEL","","300.0","500.0","300.0"
"RULESUI Account 8","RULESUI Account 8 - Production 1","RULESUI Account 8 - Production 1","2015-11-28","INSTANCELEVEL","100.0","400.0","100.0","400.0"
"RULESUI Account 8","RULESUI Account 8 - Production 1","RULESUI Account 8 - Production 1","2015-12-28","INSTANCELEVEL","200.0","500.0","200.0","500.0"
"RULESUI Account 8","RULESUI Account 8 - Production 1","RULESUI Account 8 - Production 1","2016-01-28","INSTANCELEVEL","300.0","100.0","100.0",""
"RULESUI Account 8","RULESUI Account 8 - Production 1","RULESUI Account 8 - Production 1","2016-02-28","INSTANCELEVEL","400.0","","200.0","200.0"
"RULESUI Account 9","RULESUI Account 9 - Production 1","RULESUI Account 9 - Production 1","2015-10-28","INSTANCELEVEL","100.0","300.0","300.0","300.0"
"RULESUI Account 9","RULESUI Account 9 - Production 1","RULESUI Account 9 - Production 1","2015-11-28","INSTANCELEVEL","200.0","100.0","400.0","100.0"
"RULESUI Account 9","RULESUI Account 9 - Production 1","RULESUI Account 9 - Production 1","2015-12-28","INSTANCELEVEL","300.0","200.0","500.0","200.0"
"RULESUI Account 9","RULESUI Account 9 - Production 1","RULESUI Account 9 - Production 1","2016-01-28","INSTANCELEVEL","400.0","300.0","100.0","300.0"
"RULESUI Account 9","RULESUI Account 9 - Production 1","RULESUI Account 9 - Production 1","2016-02-28","INSTANCELEVEL","500.0","300.0","400.0","300.0"
