"T2_ID","T2_AccountName","T2_CustomDate1","T2_CustomNumber1","T2_CustomNumber2","T2_CustomNumberWithDecimals1","T2_CustomNumberWithDecimals2"
"0016100000NZm94AAD","RULESUI Account 1","2015-12-16","600","350","","100"
"0016100000NZm94AAD","RULESUI Account 1","2015-12-09","599","360","200","200"
"0016100000NZm95AAD","RULESUI Account 2","2015-12-02","598","380","",""
"0016100000NZm95AAD","RULESUI Account 2","2015-11-25","597","303","400","400"
"0016100000NZm96AAD","RULESUI Account 3","2015-11-18","596","304","500","500"
"0016100000NZm97AAD","RULESUI Account 4","2015-11-11","595","305","100","100"
"0016100000NZm98AAD","RULESUI Account 5","2015-11-04","594","343","","100"
"0016100000NZm99AAD","RULESUI Account 6","2015-10-28","593","344","100","100"
"0016100000NZm9AAAT","RULESUI Account 7","2015-10-21","592","345","200","200"
"0016100000NZm9BAAT","RULESUI Account 8","2015-10-14","591","346","300","300"
"0016100000NZm9CAAT","RULESUI Account 9","2015-10-07","590","347","400","400"
"0016100000NZm96AAD","RULESUI Account 3","2015-09-30","589","348","500","500"
"0016100000NZm97AAD","RULESUI Account 4","2015-09-23","588","349","100","100"
"0016100000NZm98AAD","RULESUI Account 5","2015-09-16","587","350","100","100"
"0016100000NZm99AAD","RULESUI Account 6","2015-09-09","586","351","","100"
"0016100000NZm9AAAT","RULESUI Account 7","2015-09-02","585","315","300","200"
"0016100000NZm9BAAT","RULESUI Account 8","2015-08-26","584","316","400","300"
"0016100000NZm9CAAT","RULESUI Account 9","2015-08-19","583","317","500","400"
"0016100000NZm96AAD","RULESUI Account 3","2015-08-12","582","318","100","500"
"0016100000NZm97AAD","RULESUI Account 4","2015-08-05","581","319","100","100"
"0016100000NZm98AAD","RULESUI Account 5","2015-07-29","580","320","100","100"
"0016100000NZm99AAD","RULESUI Account 6","2015-07-22","579","321","200","200"
"0016100000NZm9AAAT","RULESUI Account 7","2015-07-15","578","322","300","100"
"0016100000NZm9BAAT","RULESUI Account 8","2015-07-08","577","333","400","100"
"0016100000NZm9CAAT","RULESUI Account 9","2015-07-01","576","334","500","200"
"0016100000NZm96AAD","RULESUI Account 3","2015-06-24","575","335","100","300"
"0016100000NZm97AAD","RULESUI Account 4","2015-06-17","574","336","100","400"
"0016100000NZm98AAD","RULESUI Account 5","2015-06-10","573","337","100","500"
"0016100000NZm99AAD","RULESUI Account 6","2015-06-03","572","338","200","100"
"0016100000NZm9AAAT","RULESUI Account 7","2015-05-27","571","339","300","100"
"0016100000NZm9BAAT","RULESUI Account 8","2015-05-20","570","340","400","300"
"0016100000NZm9CAAT","RULESUI Account 9","2015-05-13","569","341","500","400"
"0016100000NZm96AAD","RULESUI Account 3","2015-05-06","568","342","100","500"
"0016100000NZm97AAD","RULESUI Account 4","2015-04-29","567","333","","100"
"0016100000NZm98AAD","RULESUI Account 5","2015-04-22","566","334","400","100"
"0016100000NZm99AAD","RULESUI Account 6","2015-04-15","565","335","500","500"
"0016100000NZm9AAAT","RULESUI Account 7","2015-04-08","564","336","","100"
"0016100000NZm9BAAT","RULESUI Account 8","2015-04-01","563","337","100","100"
"0016100000NZm9CAAT","RULESUI Account 9","2015-03-25","562","338","200","200"
"0016100000NZm96AAD","RULESUI Account 3","2015-03-18","561","339","300","300"
"0016100000NZm97AAD","RULESUI Account 4","2015-03-11","560","340","400","400"
"0016100000NZm98AAD","RULESUI Account 5","2015-03-04","559","341","500","500"
"0016100000NZm99AAD","RULESUI Account 6","2015-02-25","558","342","100","100"
"0016100000NZm9AAAT","RULESUI Account 7","2015-02-18","557","343","100","100"
"0016100000NZm9BAAT","RULESUI Account 8","2015-02-11","556","344","","100"
"0016100000NZm9CAAT","RULESUI Account 9","2015-02-04","555","345","300","200"
"0016100000NZm96AAD","RULESUI Account 3","2015-01-28","554","346","400","300"
"0016100000NZm97AAD","RULESUI Account 4","2015-01-21","553","347","500","400"
"0016100000NZm98AAD","RULESUI Account 5","2015-12-16","700","350","","101"
"0016100000NZm99AAD","RULESUI Account 6","2015-12-09","599","503","200","200"
"0016100000NZm9AAAT","RULESUI Account 7","2015-12-02","598","380","",""
"0016100000NZm9BAAT","RULESUI Account 8","2015-11-25","597","303","400","400"
"0016100000NZm9CAAT","RULESUI Account 9","2015-11-18","596","304","500","500"
"0016100000NZm96AAD","RULESUI Account 3","2015-11-11","595","305","100","100"
"0016100000NZm97AAD","RULESUI Account 4","2015-11-04","594","343","","100"
"0016100000NZm98AAD","RULESUI Account 5","2015-10-28","593","344","100","100"
"0016100000NZm99AAD","RULESUI Account 6","2015-10-21","592","339","200","200"
"0016100000NZm9AAAT","RULESUI Account 7","2015-10-14","591","340","300","300"
"0016100000NZm9BAAT","RULESUI Account 8","2015-10-07","590","341","400","100"
"0016100000NZm9CAAT","RULESUI Account 9","2015-09-30","589","342","500","100"
"0016100000NZm96AAD","RULESUI Account 3","2015-09-23","588","343","100","200"
"0016100000NZm97AAD","RULESUI Account 4","2015-09-16","587","344","100","300"
"0016100000NZm98AAD","RULESUI Account 5","2015-09-09","586","345","","100"
"0016100000NZm99AAD","RULESUI Account 6","2015-09-02","585","346","300","200"
"0016100000NZm9AAAT","RULESUI Account 7","2015-08-26","584","316","400","300"
"0016100000NZm9BAAT","RULESUI Account 8","2015-08-19","583","317","500","400"
"0016100000NZm9CAAT","RULESUI Account 9","2015-08-12","582","318","100","500"
"0016100000NZm96AAD","RULESUI Account 3","2015-08-05","581","319","100","100"
"0016100000NZm97AAD","RULESUI Account 4","2015-07-29","580","320","100","100"
"0016100000NZm98AAD","RULESUI Account 5","2015-07-22","579","321","200","200"
"0016100000NZm99AAD","RULESUI Account 6","2015-07-15","578","322","300","100"
"0016100000NZm9AAAT","RULESUI Account 7","2015-07-08","577","333","400","100"
"0016100000NZm9BAAT","RULESUI Account 8","2015-07-01","576","334","500","200"
"0016100000NZm9CAAT","RULESUI Account 9","2015-06-24","575","335","100","300"
"0016100000NZm96AAD","RULESUI Account 3","2015-06-17","574","336","100","400"
"0016100000NZm97AAD","RULESUI Account 4","2015-06-10","573","337","100","500"
"0016100000NZm98AAD","RULESUI Account 5","2015-06-03","572","338","200","100"
"0016100000NZm99AAD","RULESUI Account 6","2015-05-27","571","339","300","100"
"0016100000NZm9AAAT","RULESUI Account 7","2015-05-20","570","340","400","300"
"0016100000NZm9BAAT","RULESUI Account 8","2015-05-13","569","341","500","400"
"0016100000NZm9CAAT","RULESUI Account 9","2015-05-06","568","342","100","500"
"0016100000NZm96AAD","RULESUI Account 3","2015-04-29","567","333","","100"
"0016100000NZm97AAD","RULESUI Account 4","2015-04-22","566","334","400","100"
"0016100000NZm98AAD","RULESUI Account 5","2015-04-15","565","335","500","500"
"0016100000NZm99AAD","RULESUI Account 6","2015-04-08","564","336","","100"
"0016100000NZm9AAAT","RULESUI Account 7","2015-04-01","563","337","100","100"
"0016100000NZm9BAAT","RULESUI Account 8","2015-03-25","562","338","200","200"
"0016100000NZm9CAAT","RULESUI Account 9","2015-03-18","561","339","300","300"
"0016100000NZm96AAD","RULESUI Account 3","2015-03-11","560","340","400","400"
"0016100000NZm97AAD","RULESUI Account 4","2015-03-04","559","341","500","500"
"0016100000NZm98AAD","RULESUI Account 5","2015-02-25","558","342","100","100"
"0016100000NZm99AAD","RULESUI Account 6","2015-02-18","557","343","100","100"
"0016100000NZm9AAAT","RULESUI Account 7","2015-02-11","556","344","","100"
"0016100000NZm9BAAT","RULESUI Account 8","2015-02-04","555","345","300","200"
"0016100000NZm9CAAT","RULESUI Account 9","2015-01-28","554","346","400","300"
"0016100000NZm9CAAT","RULESUI Account 9","2015-01-21","553","347","500","400"
