"ID","AccountName","CustomDate1","CustomNumber1","CustomNumber2","CustomNumberWithDecimals1","CustomNumberWithDecimals2"
"0016100000V67nvAAB","RULESUI Account 1","-3","600","350",,"100"
"0016100000V67nvAAB","RULESUI Account 1","-4","599","360","200","200"
"0016100000V67nvAAB","RULESUI Account 1","-5","598","380",,
"0016100000V67nvAAB","RULESUI Account 1","-6","597","303","400","400"
"0016100000V67nvAAB","RULESUI Account 1","-7","596","304","500","500"
"0016100000V67nvAAB","RULESUI Account 1","-8","595","305","100","100"
"0016100000V67nvAAB","RULESUI Account 1","-9","594","343",,"100"
"0016100000V67nvAAB","RULESUI Account 1","-10","593","344","100","100"
"0016100000V67nvAAB","RULESUI Account 1","-11","592","345","200","200"
"0016100000V67nvAAB","RULESUI Account 1","-12","591","346","300","300"
"0016100000V67nvAAB","RULESUI Account 1","-13","590","347","400","400"
"0016100000V67nvAAB","RULESUI Account 1","-14","589","348","500","500"
"0016100000V67nvAAB","RULESUI Account 1","-15","588","349","100","100"
"0016100000V67nvAAB","RULESUI Account 1","-16","587","350","100","100"
"0016100000V67nvAAB","RULESUI Account 1","-17","586","351",,"100"
"0016100000V67nvAAB","RULESUI Account 1","-18","585","315","300","200"
"0016100000V67nvAAB","RULESUI Account 1","-19","584","316","400","300"
"0016100000V67nvAAB","RULESUI Account 1","-20","583","317","500","400"
"0016100000V67nvAAB","RULESUI Account 1","-21","582","318","100","500"
"0016100000V67nvAAB","RULESUI Account 1","-22","581","319","100","100"
"0016100000V67nvAAB","RULESUI Account 1","-23","580","320","100","100"
"0016100000V67nvAAB","RULESUI Account 1","-24","579","321","200","200"
"0016100000V67nvAAB","RULESUI Account 1","-25","578","322","300","100"
"0016100000V67nvAAB","RULESUI Account 1","-26","577","333","400","100"
"0016100000V67nvAAB","RULESUI Account 1","-27","576","334","500","200"
"0016100000V67nvAAB","RULESUI Account 1","-28","575","335","100","300"
"0016100000V67nvAAB","RULESUI Account 1","-29","574","336","100","400"
"0016100000V67nvAAB","RULESUI Account 1","-30","573","337","100","500"
"0016100000V67nvAAB","RULESUI Account 1","-31","572","338","200","100"
"0016100000V67nvAAB","RULESUI Account 1","-32","571","339","300","100"
"0016100000V67nvAAB","RULESUI Account 1","-33","570","340","400","300"
"0016100000V67nvAAB","RULESUI Account 1","-34","569","341","500","400"
"0016100000V67nvAAB","RULESUI Account 1","-35","568","342","100","500"
"0016100000V67nvAAB","RULESUI Account 1","-36","567","333",,"100"
"0016100000V67nvAAB","RULESUI Account 1","-37","566","334","400","100"
"0016100000V67nvAAB","RULESUI Account 1","-38","565","335","500","500"
"0016100000V67nvAAB","RULESUI Account 1","-39","564","336",,"100"
"0016100000V67nvAAB","RULESUI Account 1","-40","563","337","100","100"
"0016100000V67nvAAB","RULESUI Account 1","-41","562","338","200","200"
"0016100000V67nvAAB","RULESUI Account 1","-42","561","339","300","300"
"0016100000V67nvAAB","RULESUI Account 1","-43","560","340","400","400"
"0016100000V67nvAAB","RULESUI Account 1","-44","559","341","500","500"
"0016100000V67nvAAB","RULESUI Account 1","-45","558","342","100","100"
"0016100000V67nvAAB","RULESUI Account 1","-46","557","343","100","100"
"0016100000V67nvAAB","RULESUI Account 1","-47","556","344",,"100"
"0016100000V67nvAAB","RULESUI Account 1","-48","555","345","300","200"
"0016100000V67nvAAB","RULESUI Account 1","-49","554","346","400","300"
"0016100000V67nvAAB","RULESUI Account 1","-50","553","347","500","400"
"0016100000V67nwAAB","RULESUI Account 2","-3","700","350",,"101"
"0016100000V67nwAAB","RULESUI Account 2","-4","599","503","200","200"
"0016100000V67nwAAB","RULESUI Account 2","-5","598","380",,
"0016100000V67nwAAB","RULESUI Account 2","-6","597","303","400","400"
"0016100000V67nwAAB","RULESUI Account 2","-7","596","304","500","500"
"0016100000V67nwAAB","RULESUI Account 2","-8","595","305","100","100"
"0016100000V67nwAAB","RULESUI Account 2","-9","594","343",,"100"
"0016100000V67nwAAB","RULESUI Account 2","-10","593","344","100","100"
"0016100000V67nwAAB","RULESUI Account 2","-11","592","339","200","200"
"0016100000V67nwAAB","RULESUI Account 2","-12","591","340","300","300"
"0016100000V67nwAAB","RULESUI Account 2","-13","590","341","400","100"
"0016100000V67nwAAB","RULESUI Account 2","-14","589","342","500","100"
"0016100000V67nwAAB","RULESUI Account 2","-15","588","343","100","200"
"0016100000V67nwAAB","RULESUI Account 2","-16","587","344","100","300"
"0016100000V67nwAAB","RULESUI Account 2","-17","586","345",,"100"
"0016100000V67nwAAB","RULESUI Account 2","-18","585","346","300","200"
"0016100000V67nwAAB","RULESUI Account 2","-19","584","316","400","300"
"0016100000V67nwAAB","RULESUI Account 2","-20","583","317","500","400"
"0016100000V67nwAAB","RULESUI Account 2","-21","582","318","100","500"
"0016100000V67nwAAB","RULESUI Account 2","-22","581","319","100","100"
"0016100000V67nwAAB","RULESUI Account 2","-23","580","320","100","100"
"0016100000V67nwAAB","RULESUI Account 2","-24","579","321","200","200"
"0016100000V67nwAAB","RULESUI Account 2","-25","578","322","300","100"
"0016100000V67nwAAB","RULESUI Account 2","-26","577","333","400","100"
"0016100000V67nwAAB","RULESUI Account 2","-27","576","334","500","200"
"0016100000V67nwAAB","RULESUI Account 2","-28","575","335","100","300"
"0016100000V67nwAAB","RULESUI Account 2","-29","574","336","100","400"
"0016100000V67nwAAB","RULESUI Account 2","-30","573","337","100","500"
"0016100000V67nwAAB","RULESUI Account 2","-31","572","338","200","100"
"0016100000V67nwAAB","RULESUI Account 2","-32","571","339","300","100"
"0016100000V67nwAAB","RULESUI Account 2","-33","570","340","400","300"
"0016100000V67nwAAB","RULESUI Account 2","-34","569","341","500","400"
"0016100000V67nwAAB","RULESUI Account 2","-35","568","342","100","500"
"0016100000V67nwAAB","RULESUI Account 2","-36","567","333",,"100"
"0016100000V67nwAAB","RULESUI Account 2","-37","566","334","400","100"
"0016100000V67nwAAB","RULESUI Account 2","-38","565","335","500","500"
"0016100000V67nwAAB","RULESUI Account 2","-39","564","336",,"100"
"0016100000V67nwAAB","RULESUI Account 2","-40","563","337","100","100"
"0016100000V67nwAAB","RULESUI Account 2","-41","562","338","200","200"
"0016100000V67nwAAB","RULESUI Account 2","-42","561","339","300","300"
"0016100000V67nwAAB","RULESUI Account 2","-43","560","340","400","400"
"0016100000V67nwAAB","RULESUI Account 2","-44","559","341","500","500"
"0016100000V67nwAAB","RULESUI Account 2","-45","558","342","100","100"
"0016100000V67nwAAB","RULESUI Account 2","-46","557","343","100","100"
"0016100000V67nwAAB","RULESUI Account 2","-47","556","344",,"100"
"0016100000V67nwAAB","RULESUI Account 2","-48","555","345","300","200"
"0016100000V67nwAAB","RULESUI Account 2","-49","554","346","400","300"
"0016100000V67nwAAB","RULESUI Account 2","-50","553","347","500","400"
