AccountName,CustomDate1,CustomNumber1,CustomNumber2,CustomNumberWithDecimals1,CustomNumberWithDecimals2
RULESUI Account 1,-3,600,350,,100
RULESUI Account 1,-4,599,360,200,200
RULESUI Account 2,-5,598,380,,
RULESUI Account 2,-6,597,303,400,400
RULESUI Account 3,-7,596,304,500,500
RULESUI Account 4,-8,595,305,100,100
RULESUI Account 5,-9,594,343,,100
RULESUI Account 6,-10,593,344,100,100
RULESUI Account 7,-11,592,345,200,200
RULESUI Account 8,-12,591,346,300,300
RULESUI Account 9,-13,590,347,400,400
RULESUI Account 3,-14,589,348,500,500
RULESUI Account 4,-15,588,349,100,100
RULESUI Account 5,-16,587,350,100,100
RULESUI Account 6,-17,586,351,,100
RULESUI Account 7,-18,585,315,300,200
RULESUI Account 8,-19,584,316,400,300
RULESUI Account 9,-20,583,317,500,400
RULESUI Account 3,-21,582,318,100,500
RULESUI Account 4,-22,581,319,100,100
RULESUI Account 5,-23,580,320,100,100
RULESUI Account 6,-24,579,321,200,200
RULESUI Account 7,-25,578,322,300,100
RULESUI Account 8,-26,577,333,400,100
RULESUI Account 9,-27,576,334,500,200
RULESUI Account 3,-28,575,335,100,300
RULESUI Account 4,-29,574,336,100,400
RULESUI Account 5,-30,573,337,100,500
RULESUI Account 6,-31,572,338,200,100
RULESUI Account 7,-32,571,339,300,100
RULESUI Account 8,-33,570,340,400,300
RULESUI Account 9,-34,569,341,500,400
RULESUI Account 3,-35,568,342,100,500
RULESUI Account 4,-36,567,333,,100
RULESUI Account 5,-37,566,334,400,100
RULESUI Account 6,-38,565,335,500,500
RULESUI Account 7,-39,564,336,,100
RULESUI Account 8,-40,563,337,100,100
RULESUI Account 9,-41,562,338,200,200
RULESUI Account 3,-42,561,339,300,300
RULESUI Account 4,-43,560,340,400,400
RULESUI Account 5,-44,559,341,500,500
RULESUI Account 6,-45,558,342,100,100
RULESUI Account 7,-46,557,343,100,100
RULESUI Account 8,-47,556,344,,100
RULESUI Account 9,-48,555,345,300,200
RULESUI Account 3,-49,554,346,400,300
RULESUI Account 4,-50,553,347,500,400
RULESUI Account 5,-3,700,350,,101
RULESUI Account 6,-4,599,503,200,200
RULESUI Account 7,-5,598,380,,
RULESUI Account 8,-6,597,303,400,400
RULESUI Account 9,-7,596,304,500,500
RULESUI Account 3,-8,595,305,100,100
RULESUI Account 4,-9,594,343,,100
RULESUI Account 5,-10,593,344,100,100
RULESUI Account 6,-11,592,339,200,200
RULESUI Account 7,-12,591,340,300,300
RULESUI Account 8,-13,590,341,400,100
RULESUI Account 9,-14,589,342,500,100
RULESUI Account 3,-15,588,343,100,200
RULESUI Account 4,-16,587,344,100,300
RULESUI Account 5,-17,586,345,,100
RULESUI Account 6,-18,585,346,300,200
RULESUI Account 7,-19,584,316,400,300
RULESUI Account 8,-20,583,317,500,400
RULESUI Account 9,-21,582,318,100,500
RULESUI Account 3,-22,581,319,100,100
RULESUI Account 4,-23,580,320,100,100
RULESUI Account 5,-24,579,321,200,200
RULESUI Account 6,-25,578,322,300,100
RULESUI Account 7,-26,577,333,400,100
RULESUI Account 8,-27,576,334,500,200
RULESUI Account 9,-28,575,335,100,300
RULESUI Account 3,-29,574,336,100,400
RULESUI Account 4,-30,573,337,100,500
RULESUI Account 5,-31,572,338,200,100
RULESUI Account 6,-32,571,339,300,100
RULESUI Account 7,-33,570,340,400,300
RULESUI Account 8,-34,569,341,500,400
RULESUI Account 9,-35,568,342,100,500
RULESUI Account 3,-36,567,333,,100
RULESUI Account 4,-37,566,334,400,100
RULESUI Account 5,-38,565,335,500,500
RULESUI Account 6,-39,564,336,,100
RULESUI Account 7,-40,563,337,100,100
RULESUI Account 8,-41,562,338,200,200
RULESUI Account 9,-42,561,339,300,300
RULESUI Account 3,-43,560,340,400,400
RULESUI Account 4,-44,559,341,500,500
RULESUI Account 5,-45,558,342,100,100
RULESUI Account 6,-46,557,343,100,100
RULESUI Account 7,-47,556,344,,100
RULESUI Account 8,-48,555,345,300,200
RULESUI Account 9,-49,554,346,400,300
RULESUI Account 9,-50,553,347,500,400
