AccountName,CustomDate1,CustomNumber1,CustomNumber2,CustomNumber3,CustomNumber4,CustomAggregationName
RULESUI Account 1,-1,100.0,100.0,100.0,100.0,ACCOUNTLEVEL
RULESUI Account 2,-1,200.0,200.0,200.0,200.0,ACCOUNTLEVEL
RULESUI Account 3,-5,300.0,300.0,,,ACCOUNTLEVEL
RULESUI Account 3,-4,400.0,400.0,400.0,400.0,ACCOUNTLEVEL
RULESUI Account 3,-3,500.0,500.0,500.0,500.0,ACCOUNTLEVEL
RULESUI Account 3,-2,,100.0,100.0,100.0,ACCOUNTLEVEL
RULESUI Account 3,-1,200.0,100.0,,100.0,ACCOUNTLEVEL
RULESUI Account 4,-5,300.0,200.0,100.0,100.0,ACCOUNTLEVEL
RULESUI Account 4,-4,400.0,,200.0,200.0,ACCOUNTLEVEL
RULESUI Account 4,-3,500.0,400.0,300.0,300.0,ACCOUNTLEVEL
RULESUI Account 4,-2,100.0,500.0,400.0,400.0,ACCOUNTLEVEL
RULESUI Account 4,-1,200.0,,500.0,500.0,ACCOUNTLEVEL
RULESUI Account 5,-5,300.0,200.0,100.0,100.0,ACCOUNTLEVEL
RULESUI Account 5,-4,400.0,300.0,100.0,100.0,ACCOUNTLEVEL
RULESUI Account 5,-3,500.0,100.0,,100.0,ACCOUNTLEVEL
RULESUI Account 5,-2,100.0,200.0,300.0,200.0,ACCOUNTLEVEL
RULESUI Account 5,-1,200.0,300.0,400.0,300.0,ACCOUNTLEVEL
RULESUI Account 6,-5,300.0,400.0,500.0,400.0,ACCOUNTLEVEL
RULESUI Account 6,-4,,500.0,100.0,500.0,ACCOUNTLEVEL
RULESUI Account 6,-3,500.0,100.0,100.0,100.0,ACCOUNTLEVEL
RULESUI Account 6,-2,100.0,200.0,100.0,100.0,ACCOUNTLEVEL
RULESUI Account 6,-1,200.0,300.0,200.0,200.0,ACCOUNTLEVEL
RULESUI Account 7,-5,300.0,400.0,300.0,100.0,ACCOUNTLEVEL
RULESUI Account 7,-4,400.0,500.0,400.0,100.0,ACCOUNTLEVEL
RULESUI Account 7,-3,500.0,100.0,500.0,200.0,ACCOUNTLEVEL
RULESUI Account 7,-2,100.0,100.0,100.0,300.0,ACCOUNTLEVEL
RULESUI Account 7,-1,200.0,200.0,100.0,400.0,ACCOUNTLEVEL
RULESUI Account 8,-5,300.0,,100.0,500.0,ACCOUNTLEVEL
RULESUI Account 8,-4,,400.0,200.0,100.0,ACCOUNTLEVEL
RULESUI Account 8,-3,500.0,500.0,300.0,100.0,ACCOUNTLEVEL
RULESUI Account 8,-2,100.0,100.0,400.0,300.0,ACCOUNTLEVEL
RULESUI Account 8,-1,200.0,200.0,500.0,400.0,ACCOUNTLEVEL
RULESUI Account 9,-5,300.0,300.0,100.0,500.0,ACCOUNTLEVEL
RULESUI Account 9,-4,400.0,400.0,,100.0,ACCOUNTLEVEL
RULESUI Account 9,-3,500.0,,400.0,100.0,ACCOUNTLEVEL
RULESUI Account 9,-2,400.0,100.0,500.0,500.0,ACCOUNTLEVEL
RULESUI Account 9,-1,500.0,100.0,100.0,500.0,ACCOUNTLEVEL
