AccountName,InstanceId,InstanceName,CustomDate1,CustomNumber1,CustomNumber2,CustomNumber3,CustomNumber4,CustomAggregationName
RULESUI Account 1,RULESUI Account 1 - Production 1,RULESUI Account 1 - Production 1,-1,100.0,100.0,200.0,100.0,INSTANCELEVEL
RULESUI Account 2,RULESUI Account 2 - Production 1,RULESUI Account 2 - Production 1,-1,200.0,200.0,300.0,200.0,INSTANCELEVEL
RULESUI Account 3,RULESUI Account 3 - Production 1,RULESUI Account 3 - Production 1,-5,300.0,300.0,400.0,300.0,INSTANCELEVEL
RULESUI Account 3,RULESUI Account 3 - Production 1,RULESUI Account 3 - Production 1,-4,400.0,,500.0,400.0,INSTANCELEVEL
RULESUI Account 3,RULESUI Account 3 - Production 1,RULESUI Account 3 - Production 1,-3,500.0,500.0,100.0,,INSTANCELEVEL
RULESUI Account 3,RULESUI Account 3 - Production 1,RULESUI Account 3 - Production 1,-2,100.0,100.0,200.0,100.0,INSTANCELEVEL
RULESUI Account 3,RULESUI Account 3 - Production 1,RULESUI Account 3 - Production 1,-1,200.0,200.0,100.0,200.0,INSTANCELEVEL
RULESUI Account 4,RULESUI Account 4 - Production 1,RULESUI Account 4 - Production 1,-5,,100.0,,100.0,INSTANCELEVEL
RULESUI Account 4,RULESUI Account 4 - Production 1,RULESUI Account 4 - Production 1,-4,100.0,200.0,300.0,200.0,INSTANCELEVEL
RULESUI Account 4,RULESUI Account 4 - Production 1,RULESUI Account 4 - Production 1,-3,200.0,300.0,400.0,300.0,INSTANCELEVEL
RULESUI Account 4,RULESUI Account 4 - Production 1,RULESUI Account 4 - Production 1,-2,300.0,400.0,500.0,400.0,INSTANCELEVEL
RULESUI Account 4,RULESUI Account 4 - Production 1,RULESUI Account 4 - Production 1,-1,400.0,500.0,100.0,500.0,INSTANCELEVEL
RULESUI Account 5,RULESUI Account 5 - Production 1,RULESUI Account 5 - Production 1,-5,500.0,100.0,200.0,100.0,INSTANCELEVEL
RULESUI Account 5,RULESUI Account 5 - Production 1,RULESUI Account 5 - Production 1,-4,100.0,200.0,300.0,200.0,INSTANCELEVEL
RULESUI Account 5,RULESUI Account 5 - Production 1,RULESUI Account 5 - Production 1,-3,200.0,300.0,400.0,300.0,INSTANCELEVEL
RULESUI Account 5,RULESUI Account 5 - Production 1,RULESUI Account 5 - Production 1,-2,300.0,100.0,500.0,100.0,INSTANCELEVEL
RULESUI Account 5,RULESUI Account 5 - Production 1,RULESUI Account 5 - Production 1,-1,400.0,200.0,100.0,200.0,INSTANCELEVEL
RULESUI Account 6,RULESUI Account 6 - Production 1,RULESUI Account 6 - Production 1,-5,500.0,,200.0,100.0,INSTANCELEVEL
RULESUI Account 6,RULESUI Account 6 - Production 1,RULESUI Account 6 - Production 1,-4,100.0,200.0,100.0,200.0,INSTANCELEVEL
RULESUI Account 6,RULESUI Account 6 - Production 1,RULESUI Account 6 - Production 1,-3,200.0,300.0,200.0,300.0,INSTANCELEVEL
RULESUI Account 6,RULESUI Account 6 - Production 1,RULESUI Account 6 - Production 1,-2,300.0,400.0,300.0,400.0,INSTANCELEVEL
RULESUI Account 6,RULESUI Account 6 - Production 1,RULESUI Account 6 - Production 1,-1,400.0,,400.0,500.0,INSTANCELEVEL
RULESUI Account 7,RULESUI Account 7 - Production 1,RULESUI Account 7 - Production 1,-5,500.0,100.0,500.0,100.0,INSTANCELEVEL
RULESUI Account 7,RULESUI Account 7 - Production 1,RULESUI Account 7 - Production 1,-4,100.0,200.0,100.0,,INSTANCELEVEL
RULESUI Account 7,RULESUI Account 7 - Production 1,RULESUI Account 7 - Production 1,-3,200.0,300.0,200.0,300.0,INSTANCELEVEL
RULESUI Account 7,RULESUI Account 7 - Production 1,RULESUI Account 7 - Production 1,-2,300.0,100.0,300.0,100.0,INSTANCELEVEL
RULESUI Account 7,RULESUI Account 7 - Production 1,RULESUI Account 7 - Production 1,-1,400.0,200.0,400.0,200.0,INSTANCELEVEL
RULESUI Account 8,RULESUI Account 8 - Production 1,RULESUI Account 8 - Production 1,-5,,300.0,500.0,300.0,INSTANCELEVEL
RULESUI Account 8,RULESUI Account 8 - Production 1,RULESUI Account 8 - Production 1,-4,100.0,400.0,100.0,400.0,INSTANCELEVEL
RULESUI Account 8,RULESUI Account 8 - Production 1,RULESUI Account 8 - Production 1,-3,200.0,500.0,200.0,500.0,INSTANCELEVEL
RULESUI Account 8,RULESUI Account 8 - Production 1,RULESUI Account 8 - Production 1,-2,300.0,100.0,100.0,,INSTANCELEVEL
RULESUI Account 8,RULESUI Account 8 - Production 1,RULESUI Account 8 - Production 1,-1,400.0,,200.0,200.0,INSTANCELEVEL
RULESUI Account 9,RULESUI Account 9 - Production 1,RULESUI Account 9 - Production 1,-5,100.0,300.0,300.0,300.0,INSTANCELEVEL
RULESUI Account 9,RULESUI Account 9 - Production 1,RULESUI Account 9 - Production 1,-4,200.0,100.0,400.0,100.0,INSTANCELEVEL
RULESUI Account 9,RULESUI Account 9 - Production 1,RULESUI Account 9 - Production 1,-3,300.0,200.0,500.0,200.0,INSTANCELEVEL
RULESUI Account 9,RULESUI Account 9 - Production 1,RULESUI Account 9 - Production 1,-2,400.0,300.0,100.0,300.0,INSTANCELEVEL
RULESUI Account 9,RULESUI Account 9 - Production 1,RULESUI Account 9 - Production 1,-1,500.0,300.0,400.0,300.0,INSTANCELEVEL
