AccountName,CustomDate1,CustomNumber1,CustomNumber2,CustomNumberWithDecimals1,CustomNumberWithDecimals2,BooleanField,CreatedDateTime
RULESUI Account 1,-3,600,350,,100,TRUE,-3
RULESUI Account 1,-4,599,360,200,200,FALSE,-4
RULESUI Account 1,-5,598,380,,,TRUE,-5
RULESUI Account 1,-6,597,303,400,400,FALSE,-6
RULESUI Account 1,-7,596,304,500.2,500,TRUE,-7
RULESUI Account 1,-8,595,305,100,100,FALSE,-8
RULESUI Account 1,-9,594,343,,100,TRUE,-9
RULESUI Account 1,-10,593,344,100,100,FALSE,-10
RULESUI Account 1,-11,592,345,200,200,TRUE,-11
RULESUI Account 1,-12,591,346,300,300,FALSE,-12
RULESUI Account 1,-13,590,347,400,25.4,TRUE,-13
RULESUI Account 1,-14,589,348,500,500,FALSE,-14
RULESUI Account 1,-15,588,349,100,100,TRUE,-15
RULESUI Account 1,-16,587,350,100,100,FALSE,-16
RULESUI Account 1,-17,586,351,,100,TRUE,-17
RULESUI Account 1,-18,585,315,300,200,FALSE,-18
RULESUI Account 1,-19,584,316,400,300,TRUE,-19
RULESUI Account 1,-20,583,317,44.4,400,FALSE,-20
RULESUI Account 1,-21,582,318,100,500,TRUE,-21
RULESUI Account 1,-22,581,319,100,100,FALSE,-22
RULESUI Account 1,-23,580,320,100,100,TRUE,-23
RULESUI Account 1,-24,579,321,200,200,FALSE,-24
RULESUI Account 1,-25,578,322,300,100,TRUE,-25
RULESUI Account 1,-26,577,333,400,100,FALSE,-26
RULESUI Account 1,-27,576,334,500,200,TRUE,-27
RULESUI Account 1,-28,575,335,100,300,FALSE,-28
RULESUI Account 1,-29,574,336,100,400,TRUE,-29
RULESUI Account 1,-30,573,337,100,33.33,FALSE,-30
RULESUI Account 1,-31,572,338,200,100,TRUE,-31
RULESUI Account 1,-32,571,339,300,100,FALSE,-32
RULESUI Account 1,-33,570,340,400,300,TRUE,-33
RULESUI Account 1,-34,569,341,500,400,FALSE,-34
RULESUI Account 1,-35,568,342,100,500,TRUE,-35
RULESUI Account 1,-36,567,333,,100,FALSE,-36
