Name,Description,Phone,Rating,Type,AnnualRevenue,Currency_Auto__c,Date_Auto__c,Date_Auto1__c,DateTime_Auto__c,NumberOfEmployees,Industry,MultiPicklist_Auto__c,Number_Auto__c,Percent_Auto__c,PickList_Auto__c,URL_Auto__c,Boolean_Auto__c,Data_ExternalId__c,Boolean_Auto1__c,Email_Auto__c
AcustomRule Account 1,Necessity is the mother of invention,7416130710,Hot,Analyst,1000000,1000,-1,-1,1,100,Service,MPL1,1234,1000,Excellent,https://www.google.com,true,AcustomRule Account 1,true,p@gmail.com
AcustomRule Account 2,Necessity is the mother of invention,7416130711,Warm,Competitor,10000000,1600,-2,0,2,1000,Manufacturing,MPL2,-12,100,Vgood,https://www.gainsight.com,false,AcustomRule Account 2,true,t@gmail.com
AcustomRule Account 3,Necessity is the mother of invention,7416130712,Cold,Customer,9999,555,-3,1,3,0,Manufacturing,MPL1,10000,0,Good,https://www.gmail.com,true,AcustomRule Account 3,false,x@gmail.com
AcustomRule Account 4,Necessity is the mother of invention,7416130713,Hot,Integrator,12345,300,-4,2,4,100000,Retail,MPL2,100,50,Average,https://www.yahoo.com,false,AcustomRule Account 4,false,p@gmail.com
BcustomRule Account 5,Necessity is the mother of invention,7416130714,Warm,Investor,0,0,-5,3,5,99,Government,MPL1,50,1000,Poor,https://www.google.com,true,BcustomRule Account 5,true,t@gmail.com
BcustomRule Account 6,Necessity is the mother of invention,7416130715,Cold,Partner,991,1000,-6,4,6,100,Technology,MPL2,1234,100,Vpoor,https://www.gainsight.com,false,BcustomRule Account 6,true,x@gmail.com
BcustomRule Account 7,Necessity is the mother of invention,7416130716,Hot,Press,100,1600,-7,5,7,1000,Healthcare,MPL1,-12,0,Excellent,https://www.gmail.com,true,BcustomRule Account 7,false,p@gmail.com
BcustomRule Account 8,Necessity is the mother of invention,7416130717,Warm,Prospect,4234,555,-8,6,8,0,Engineering,MPL2,10000,50,Vgood,https://www.yahoo.com,false,BcustomRule Account 8,false,t@gmail.com
CustomRule Account 9,Necessity is the mother of invention,7416130718,Cold,Reseller,1000000,300,-9,7,9,100000,Service,MPL1,100,1000,Good,https://www.google.com,true,CustomRule Account 9,true,x@gmail.com
CustomRule Account 10,Necessity is the mother of invention,7416130719,Hot,Other,10000000,0,-10,8,10,99,"Television Cable, & Broadcast Network",MPL2,50,100,Average,https://www.gainsight.com,false,CustomRule Account 10,true,p@gmail.com
CustomRule Account 11,Necessity is the mother of invention,7416130720,Warm,Analyst,9999,1000,-11,9,11,100,Manufacturing,MPL1,1234,0,Poor,https://www.gmail.com,true,CustomRule Account 11,false,t@gmail.com
CustomRule Account 12,Necessity is the mother of invention,7416130721,Cold,Competitor,12345,1600,-12,10,12,1000,Education,MPL2,-12,50,Vpoor,https://www.yahoo.com,false,CustomRule Account 12,false,x@gmail.com
DcustomRule Account 13,Necessity is the mother of invention,7416130722,Hot,Customer,0,555,-13,11,13,0,Finance,MPL1,10000,1000,Excellent,https://www.google.com,true,DcustomRule Account 13,true,p@gmail.com
DcustomRule Account 14,Necessity is the mother of invention,7416130723,Warm,Integrator,991,300,-14,12,14,100000,Medical Products,MPL2,100,100,Vgood,https://www.gainsight.com,false,DcustomRule Account 14,true,t@gmail.com
DcustomRule Account 15,Necessity is the mother of invention,7416130724,Cold,Investor,100,0,-15,13,15,99,Bakery Products,MPL1,50,0,Good,https://www.gmail.com,true,DcustomRule Account 15,false,x@gmail.com
DcustomRule Account 16,Necessity is the mother of invention,7416130725,Hot,Partner,4234,1000,-16,14,16,100,Technology,MPL2,1234,50,Average,https://www.yahoo.com,false,DcustomRule Account 16,false,p@gmail.com
EcustomRule Account 17,Necessity is the mother of invention,7416130726,Warm,Press,1000000,1600,-17,15,17,1000,Service,MPL1,-12,1000,Poor,https://www.google.com,true,EcustomRule Account 17,true,t@gmail.com
EcustomRule Account 18,Necessity is the mother of invention,7416130727,Cold,Prospect,10000000,555,-18,16,18,0,Medical & Dental Laboratories,MPL2,10000,100,Vpoor,https://www.gainsight.com,false,EcustomRule Account 18,true,x@gmail.com
