JBCXM__Account__r.Data_ExternalId__c,JBCXM__Stage__r.JBCXM__SystemName__c,JBCXM__Status__r.JBCXM__SystemName__c,JBCXM__Tag__c,JBCXM__ASV__c,JBCXM__MRR__c,JBCXM__OneTimeRevenue__c,JBCXM__Users__c,JBCXM__OriginalContractDate__c,JBCXM__NextRenewalDate__c,JBCXM__Comments__c
AcustomRule Account 1,stage1,InactiveCustomer,Active,0,0,12,1000,-60,60,Account Name : CustomRule Account 1 Status : ActiveCustomer
AcustomRule Account 2,stage2,ChurnCustomer,Churned,100,99,78.8,100,-30,30,Account Name : CustomRule Account 1 Status : ActiveCustomer
AcustomRule Account 3,stage3,ActiveCustomer,Established,1000,999,49.5,50,-15,15,Account Name : CustomRule Account 1 Status : ActiveCustomer
AcustomRule Account 4,stage4,InactiveCustomer,Inactive,10000,9999,100000,10,-10,10,Account Name : CustomRule Account 1 Status : ActiveCustomer
BcustomRule Account 5,stage5,ChurnCustomer,Onboarding,100000,99999,199.3,5,0,0,Account Name : CustomRule Account 1 Status : ActiveCustomer
BcustomRule Account 6,stage6,ActiveCustomer,Up-sell,0,0,12,0,-60,60,Account Name : CustomRule Account 1 Status : ActiveCustomer
BcustomRule Account 7,stage1,InactiveCustomer,Active,100,99,78.8,1000,-30,30,Account Name : CustomRule Account 1 Status : ActiveCustomer
BcustomRule Account 8,stage2,ChurnCustomer,Churned,1000,999,49.5,100,-15,15,Account Name : CustomRule Account 1 Status : ActiveCustomer
CustomRule Account 9,stage3,ActiveCustomer,Established,10000,9999,100000,50,-10,10,Account Name : CustomRule Account 1 Status : ActiveCustomer
CustomRule Account 10,stage4,InactiveCustomer,Inactive,100000,99999,199.3,10,0,0,Account Name : CustomRule Account 1 Status : ActiveCustomer
CustomRule Account 11,stage5,ChurnCustomer,Onboarding,0,0,12,5,-60,60,Account Name : CustomRule Account 1 Status : ActiveCustomer
CustomRule Account 12,stage6,ActiveCustomer,Up-sell,100,99,78.8,0,-30,30,Account Name : CustomRule Account 1 Status : ActiveCustomer
DcustomRule Account 13,stage1,InactiveCustomer,Active,1000,999,49.5,1000,-15,15,Account Name : CustomRule Account 1 Status : ActiveCustomer
DcustomRule Account 14,stage2,ChurnCustomer,Churned,10000,9999,100000,100,-10,10,Account Name : CustomRule Account 1 Status : ActiveCustomer
DcustomRule Account 15,stage3,ActiveCustomer,Established,100000,99999,199.3,50,0,0,Account Name : CustomRule Account 1 Status : ActiveCustomer
DcustomRule Account 16,stage4,InactiveCustomer,Inactive,0,0,12,10,-60,60,Account Name : CustomRule Account 1 Status : ActiveCustomer
EcustomRule Account 17,stage5,ChurnCustomer,Onboarding,100,99,78.8,5,-30,30,Account Name : CustomRule Account 1 Status : ActiveCustomer
EcustomRule Account 18,stage6,ActiveCustomer,Up-sell,1000,999,49.5,0,-15,15,Account Name : CustomRule Account 1 Status : ActiveCustomer
EcustomRule Account 19,stage1,InactiveCustomer,Active,10000,9999,100000,1000,-10,10,Account Name : CustomRule Account 1 Status : ActiveCustomer
EcustomRule Account 20,stage2,ChurnCustomer,Churned,100000,99999,199.3,100,0,0,Account Name : CustomRule Account 1 Status : ActiveCustomer
FcustomRule Account 21,stage3,ActiveCustomer,Established,0,0,12,50,-60,60,Account Name : CustomRule Account 1 Status : ActiveCustomer
FcustomRule Account 22,stage4,InactiveCustomer,Inactive,100,99,78.8,10,-30,30,Account Name : CustomRule Account 1 Status : ActiveCustomer
FcustomRule Account 23,stage5,ChurnCustomer,Onboarding,1000,999,49.5,5,-15,15,Account Name : CustomRule Account 1 Status : ActiveCustomer
