JBCXM__Account__r.Data_ExternalID__c,JBCXM__Date__c,Page_Visits__c,Page_Views__c,No_of_Report_Run__c,Files_Downloaded__c,Name
Zendesk Account 1,-5,1000,500,600,90,ACCOUNTLEVEL
Zendesk Account 1,-4,900,400,599,85,ACCOUNTLEVEL
Zendesk Account 1,-3,800,300,598,80,ACCOUNTLEVEL
Zendesk Account 1,-2,700,200,597,75,ACCOUNTLEVEL
Zendesk Account 1,-1,600,100,596,70,ACCOUNTLEVEL
Zendesk Account 2,-5,1000,500,595,90,ACCOUNTLEVEL
Zendesk Account 2,-4,900,400,594,85,ACCOUNTLEVEL
Zendesk Account 2,-3,800,300,593,80,ACCOUNTLEVEL
Zendesk Account 2,-2,700,200,592,75,ACCOUNTLEVEL
Zendesk Account 2,-1,600,100,591,70,ACCOUNTLEVEL
Zendesk Account 3,-5,1000,500,590,90,ACCOUNTLEVEL
Zendesk Account 3,-4,900,400,589,85,ACCOUNTLEVEL
Zendesk Account 3,-3,800,300,588,80,ACCOUNTLEVEL
Zendesk Account 3,-2,700,200,587,75,ACCOUNTLEVEL
Zendesk Account 3,-1,600,100,586,70,ACCOUNTLEVEL
Zendesk Account 4,-5,1000,500,585,90,ACCOUNTLEVEL
Zendesk Account 4,-4,900,400,584,85,ACCOUNTLEVEL
Zendesk Account 4,-3,800,300,583,80,ACCOUNTLEVEL
Zendesk Account 4,-2,700,200,582,75,ACCOUNTLEVEL
Zendesk Account 4,-1,600,100,581,70,ACCOUNTLEVEL
Zendesk Account 5,-5,1000,500,580,90,ACCOUNTLEVEL
Zendesk Account 5,-4,900,400,579,85,ACCOUNTLEVEL
Zendesk Account 5,-3,800,300,578,80,ACCOUNTLEVEL
Zendesk Account 5,-2,700,200,577,75,ACCOUNTLEVEL
Zendesk Account 5,-1,600,100,576,70,ACCOUNTLEVEL
