Name,JBCXM__Status__c
Gallo Ernst & Julio Winery,ActiveCustomer
Facts on File Newsletter,InactiveCustomer
PacDevco Inc,ActiveCustomer
UniAmerica Inc,InactiveCustomer
East Coast Traders,ActiveCustomer
UBAF Arab American Bank,InactiveCustomer
Veritas Software,ActiveCustomer
Quinn/Brein Inc,InactiveCustomer
Nardon Mfg Company Incorporated,ActiveCustomer
Abberley Kooiman,InactiveCustomer
IBM Corp Data Systems Div,ActiveCustomer
Via Systems,InactiveCustomer
IBIS Systems Inc.,ActiveCustomer
Galbreath Co,InactiveCustomer
Back Stage Magazine,ActiveCustomer
Cadbury Beverages Div Cadbury,InactiveCustomer
Lafferty RF & Co Inc,ActiveCustomer
O-Cel-O Div General Mills Inc.,InactiveCustomer
Fedder RP Corp,ActiveCustomer
Ferrara Foods & Confections,InactiveCustomer
