"Id","Name","Account_ExternalId__c"
"00128000004IjUPAA0","Gallo Ernst & Julio Winery","0011a000004szheAAA"
"00128000004IjUQAA0","Facts on File Newsletter","0011a000004szhfAAA"
"00128000004IjURAA0","PacDevco Inc","0011a000004szhgAAA"
"00128000004IjUSAA0","UniAmerica Inc","0011a000004szhhAAA"
"00128000004IjUTAA0","East Coast Traders","0011a000004szhiAAA"
"00128000004IjUUAA0","UBAF Arab American Bank","0011a000004szhjAAA"
"00128000004IjUVAA0","Veritas Software","0011a000004szhkAAA"
"00128000004IjUWAA0","Quinn/Brein Inc","0011a000004szhlAAA"
"00128000004IjUXAA0","Nardon Mfg Company Incorporated","0011a000004szhmAAA"
"00128000004IjUYAA0","Abberley Kooiman","0011a000004szhnAAA"
"00128000004IjUZAA0","IBM Corp Data Systems Div","0011a000004szhoAAA"
"00128000004IjUaAAK","Via Systems","0011a000004szhpAAA"
"00128000004IjUbAAK","IBIS Systems Inc.","0011a000004szfzAAA"
"00128000004IjUcAAK","Galbreath Co","0011a000004szg0AAA"
"00128000004IjUdAAK","Back Stage Magazine","0011a000004szg1AAA"
"00128000004IjUeAAK","Cadbury Beverages Div Cadbury","0011a000004szg2AAA"
"00128000004IjUfAAK","Lafferty RF & Co Inc","0011a000004szg3AAA"
"00128000004IjUgAAK","O-Cel-O Div General Mills Inc.","0011a000004szg4AAA"
"00128000004IjUhAAK","Fedder RP Corp","0011a000004szg5AAA"
"00128000004IjUiAAK","Ferrara Foods & Confections","0011a000004szg6AAA"
