Name,Type,Active,AnnualRevenue,Date,CreatedDateTime,Regions,Industry,NoOfCases
Acme1,Prospect,TRUE,100000000,5,,,Agriculture,30
salesforce.com1,Customer,FALSE,,2,5,,Apparel,50
Global Media1,Prospect,TRUE,3456789,1,,India;Usa;China;Europe;Australia,,60
Sunand Account,,FALSE,,,4,,Banking,100
Parthibhan Account,,,,10,,India;Usa;Australia,Biotechnology,300
Sunand Account 1,,,,6,10,,Chemicals,2
Scorecard Account1,Installation Partner,FALSE,,,,,Communications,1
Scorecard Account2,Installation Partner,FALSE,,,20,,Construction,225
Acme,Prospect,TRUE,100000000,5,,,,
salesforce.com,Customer,FALSE,,2,5,,,
Global Media,Prospect,TRUE,3456789,1,,India;Usa;China;Europe;Australia,,
Sunand Acc 1,,FALSE,,,4,,,
Parthibhan 1,,,,10,,India;Usa;Australia,,
Sunand Acc 2,,,,6,10,,,
Scorecard Account 0,Installation Partner,FALSE,,,,,,
Scorecard Account 1,Installation Partner,FALSE,,,,,,
