Name,Industry,Account_ExternalId__c
AAR Corp Hardware Abscoa Division,Distribution,AAR Corp Hardware Abscoa Division
Abacus Programming Corporation,Oil & Gas & Energy,Abacus Programming Corporation
Abberley Kooiman,Technology,Abberley Kooiman
Abbett Electric Corp,Others,Abbett Electric Corp
Abbey Press Inc,Manufacturing,Abbey Press Inc
Bachman Information System Inc.,Finance,Bachman Information System Inc.
Back Stage Magazine,Technology,Back Stage Magazine
Baker & McKenzie,Technology,Baker & McKenzie
Balfour Maclaine International,Healthcare,Balfour Maclaine International
Ball & Socket Mfg Co,Chemicals,Ball & Socket Mfg Co
Burlington Textiles Corp of America,Apparel,Burlington Textiles Corp of America
Caco-Pacific Corp.,Medical Equipment & Supplies,Caco-Pacific Corp.
CADAM Inc.,Manufacturing,CADAM Inc.
Cadbury Beverages Div Cadbury,Healthcare,Cadbury Beverages Div Cadbury
Cahn Instruments Inc,Retail,Cahn Instruments Inc
Cal-Pac Roofing Inc,Energy,Cal-Pac Roofing Inc
Dai-Ichi Kangyo Bank,Manufacturing,Dai-Ichi Kangyo Bank
Daisy of California,Technology,Daisy of California
Daley Business Forms,Chemicals,Daley Business Forms
Dame Belts & Bag Co Inc,Manufacturing,Dame Belts & Bag Co Inc
Dana Marketing Inc,Finance,Dana Marketing Inc
Dickenson plc,Consulting,Dickenson plc
East Bay Brass Foundry,Government,East Bay Brass Foundry
East Coast Traders,Manufacturing,East Coast Traders
East/West Computers Inc,Shipping,East/West Computers Inc
Eastern Municipal Water Distri,Food & Beverage,Eastern Municipal Water Distri
Eastman Kodak Company Health Sciences Division,Healthcare,Eastman Kodak Company Health Sciences Division
Edge Communications,Electronics,Edge Communications
Express Logistics and Transport,Transportation,Express Logistics and Transport
Facts on File Newsletter,Apparel,Facts on File Newsletter
Family Magazine,Service,Family Magazine
Fedder RP Corp,"Television Cable, & Broadcast Network",Fedder RP Corp
Fell David H & Company Inc,Finance,Fell David H & Company Inc
Ferrara Foods & Confections,Manufacturing,Ferrara Foods & Confections
G Group,Manufacturing,G Group
G-L Veneer Co Inc.,Chemicals,G-L Veneer Co Inc.
Galbreath Co,Government,Galbreath Co
Gallo Ernst & Julio Winery,Machinery,Gallo Ernst & Julio Winery
Gamblers Anonymous,Manufacturing,Gamblers Anonymous
GenePoint,Biotechnology,GenePoint
Grand Hotels & Resorts Ltd,Hospitality,Grand Hotels & Resorts Ltd
Halcyon Assoc,Education,Halcyon Assoc
Hambro International Venture F,Medical & Dental Laboratories,Hambro International Venture F
Hardy James G & Co,Medical Products,Hardy James G & Co
Harkavy Information Service,Agriculture,Harkavy Information Service
Harken Marketing Co,Healthcare,Harken Marketing Co
IBIS Systems Inc.,Retail,IBIS Systems Inc.
IBK Capital Inc,Service,IBK Capital Inc
IBM Corp Data Systems Div,Fish & Seafood,IBM Corp Data Systems Div
ICM Corp,Finance,ICM Corp
ImageTek Corp,Education,ImageTek Corp
Jadow B & Sons Inc,Manufacturing,Jadow B & Sons Inc
Jaff Brothers Woodworks Inc,Food & Beverage,Jaff Brothers Woodworks Inc
Jandel Scientific Inc.,Retail,Jandel Scientific Inc.
Japanese American Citizens Lea,Industrial Manufacturing & Services,Japanese American Citizens Lea
K & S Contractors Supply Co,Insurance,K & S Contractors Supply Co
Kahlert Assoc Inc,Healthcare,Kahlert Assoc Inc
Kaiser Steel Resources Inc,Retail,Kaiser Steel Resources Inc
Karabelas Furs Inc,Healthcare,Karabelas Furs Inc
Karpen & Steel Products Inc,Manufacturing,Karpen & Steel Products Inc
La Costa Hotel & Spa,Utilities,La Costa Hotel & Spa
Lafferty RF & Co Inc,Engineering,Lafferty RF & Co Inc
Lake County,Oil & Gas & Energy,Lake County
Lakeland Village,Service,Lakeland Village
Lexidata Corporation,Hospitality,Lexidata Corporation
Madonna Construction Co,Retail,Madonna Construction Co
Magma Power Co,Non-profit,Magma Power Co
Magna Mill Products,Food & Beverage,Magna Mill Products
Majestic Entertainment,Agriculture,Majestic Entertainment
Mall Side Sports,Finance,Mall Side Sports
N/S Corp,Oil & Gas Exploration & Production,N/S Corp
Nardon Mfg Company Incorporated,Manufacturing,Nardon Mfg Company Incorporated
Nash Direct,Manufacturing,Nash Direct
National Assn of Printing Ink,Manufacturing,National Assn of Printing Ink
Nixdorf Computer,Government,Nixdorf Computer
O-Cel-O Div General Mills Inc.,Service,O-Cel-O Div General Mills Inc.
Oakland Carbide Engineering &,Healthcare,Oakland Carbide Engineering &
Ocean Sports,Manufacturing,Ocean Sports
