"ID","AccountName","ProductCode","ProductName","Date","EventTimeStamp","Active","PageViews","PageVisits","FilesDownloaded","NoofReportsRun","NoofRulesTriggered","NoofSchedulesCreated","Industry"
"0016100000PnnIsAAJ","REPORTINGUI Account 1","CODE001","REPORTINGUI Account 1","0","0","TRUE","114","113","64","192","89","99","Distribution"
"0016100000PnnItAAJ","REPORTINGUI Account 2","CODE002","REPORTINGUI Account 2","-1","-1","FALSE","59","161","33","166","50","148","Oil & Gas & Energy"
"0016100000PnnIuAAJ","REPORTINGUI Account 3","CODE003","REPORTINGUI Account 3","-2","-2","TRUE","57","6","58",,"120","124","Technology"
"0016100000PnnIvAAJ","REPORTINGUI Account 4","CODE004","REPORTINGUI Account 4","-3","-3","FALSE","60","175","173","47","151","192","Others"
"0016100000PnnIwAAJ","REPORTINGUI Account 5","CODE005","REPORTINGUI Account 5","-4","-4","TRUE","193","181","156","91","12","9","Manufacturing"
"0016100000PnnIxAAJ","REPORTINGUI Account 6","CODE006","REPORTINGUI Account 6","-5","-5","FALSE","29","179","190","88","196","31","Finance"
"0016100000PnnIyAAJ","REPORTINGUI Account 7",,"REPORTINGUI Account 7","-6","-6","FALSE","24","95",,"130",,"32","Technology"
"0016100000PnnIzAAJ","REPORTINGUI Account 8","CODE008","REPORTINGUI Account 8","-7","-7","TRUE","172","39","103","41","101","42","Technology"
"0016100000PnnJ0AAJ","REPORTINGUI Account 9","CODE009","REPORTINGUI Account 9","-8","-8","FALSE","68","34","51","57","55","80","Healthcare"
"0016100000PnnJ1AAJ","REPORTINGUI Account 10","CODE010","REPORTINGUI Account 10","-9","-9","TRUE",,"196","46","120","168",,"Chemicals"
"0016100000PnnJ2AAJ","REPORTINGUI Account 11","CODE011","REPORTINGUI Account 11","-10","-10","FALSE","48","134","176","102","176","144",
"0016100000PnnJ3AAJ","REPORTINGUI Account 12","CODE012","REPORTINGUI Account 12","-11","-11","TRUE","174","73","161","69","24","95","Medical Equipment & Supplies"
"0016100000PnnJ4AAJ","REPORTINGUI Account 13","CODE013","REPORTINGUI Account 13",,"-12","FALSE","192","21","138","11","8","129","Manufacturing"
"0016100000PnnJ5AAJ","REPORTINGUI Account 14","CODE014","REPORTINGUI Account 14","-13","-13","TRUE","63","65","65","90","183","36","Healthcare"
"0016100000PnnJ6AAJ","REPORTINGUI Account 15","CODE015","REPORTINGUI Account 15","-14","-14","FALSE","135",,"66","181","56","47","Retail"
"0016100000PnnJ7AAJ","REPORTINGUI Account 16","CODE001","REPORTINGUI Account 16","-15","-15","TRUE","40","182","146","110","168","39","Energy"
"0016100000PnnJ8AAJ","REPORTINGUI Account 17","CODE002","REPORTINGUI Account 17","-16","-16","FALSE","196","99","93","143","124","55","Manufacturing"
"0016100000PnnJ9AAJ","REPORTINGUI Account 18","CODE003","REPORTINGUI Account 18","-17","-17","TRUE","200","53","179","110","105","85","Technology"
"0016100000PnnJAAAZ","REPORTINGUI Account 19","CODE004","REPORTINGUI Account 19","-18","-18","FALSE","27","44","185","128","161","56","Chemicals"
