Join2Name1,Join2Name2,Join2Date1,Join2EventTimeStamp1,Join2Boolean,Join2Number1,Join2Number2,Join2Number3,
REPORTINGUI Account 9,CODE001,0,0,TRUE,83,171,5,
REPORTINGUI Account 10,CODE002,0,0,FALSE,37,161,0,
REPORTINGUI Account 11,CODE003,0,0,TRUE,48,114,0,
REPORTINGUI Account 12,CODE004,0,0,FALSE,91,192,5,
REPORTINGUI Account 13,CODE005,0,0,TRUE,29,116,5,
REPORTINGUI Account 14,CODE006,0,0,FALSE,49,191,3,
REPORTINGUI Account 15,CODE007,0,0,FALSE,51,163,2,
REPORTINGUI Account 16,CODE008,0,0,TRUE,22,142,5,
REPORTINGUI Account 17,CODE009,0,0,FALSE,8,112,1,
REPORTINGUI Account 18,CODE010,0,0,TRUE,47,132,3,
REPORTINGUI Account 19,CODE011,0,0,FALSE,77,180,0,
REPORTINGUI Account 20,CODE012,0,0,TRUE,73,115,3,
REPORTINGUI Account 21,CODE013,0,0,FALSE,52,113,1,
REPORTINGUI Account 1,CODE014,0,0,TRUE,19,117,5,
REPORTINGUI Account 2,CODE015,0,0,FALSE,2,185,2,
REPORTINGUI Account 3,CODE001,0,0,TRUE,83,183,5,
REPORTINGUI Account 4,CODE002,0,0,FALSE,31,156,1,
REPORTINGUI Account 5,CODE003,0,0,TRUE,53,140,4,
REPORTINGUI Account 6,CODE004,0,0,FALSE,46,156,1,
REPORTINGUI Account 7,CODE005,0,0,TRUE,14,189,0,
REPORTINGUI Account 8,CODE006,0,0,FALSE,63,174,5,
REPORTINGUI Account 26,CODE007,0,0,TRUE,27,180,2,
REPORTINGUI Account 27,CODE008,0,0,FALSE,15,157,5,
REPORTINGUI Account 28,CODE009,0,0,TRUE,50,120,1,
REPORTINGUI Account 29,CODE010,0,0,FALSE,57,126,5,
REPORTINGUI Account 30,CODE011,0,0,FALSE,51,136,4,
REPORTINGUI Account 31,CODE012,0,0,TRUE,80,186,0,
REPORTINGUI Account 32,CODE013,0,0,FALSE,54,130,3,
REPORTINGUI Account 33,CODE014,0,0,TRUE,97,153,3,
REPORTINGUI Account 34,CODE015,0,0,FALSE,29,175,0,
REPORTINGUI Account 35,CODE001,0,0,TRUE,86,126,3,
REPORTINGUI Account 37,CODE003,0,0,TRUE,59,107,3,
REPORTINGUI Account 38,CODE004,0,0,FALSE,69,184,3,
REPORTINGUI Account 39,CODE005,0,0,TRUE,60,190,5,
REPORTINGUI Account 40,CODE006,0,0,FALSE,57,199,1,
REPORTINGUI Account 41,CODE007,0,0,TRUE,88,177,1,
REPORTINGUI Account 42,CODE008,0,0,FALSE,88,104,5,
REPORTINGUI Account 43,CODE009,0,0,TRUE,75,143,3,
REPORTINGUI Account 44,CODE010,0,0,FALSE,13,126,5,
REPORTINGUI Account 45,CODE011,0,0,TRUE,37,190,0,
REPORTINGUI Account 46,CODE012,0,0,FALSE,72,168,5,
REPORTINGUI Account 47,CODE013,0,0,TRUE,35,150,0,
REPORTINGUI Account 48,CODE014,0,0,FALSE,31,178,0,
REPORTINGUI Account 49,CODE015,0,0,FALSE,57,150,2,
REPORTINGUI Account 22,CODE001,0,0,TRUE,40,186,0,
REPORTINGUI Account 23,CODE002,0,0,FALSE,93,165,2,
REPORTINGUI Account 24,CODE003,0,0,TRUE,39,192,4,
REPORTINGUI Account 25,CODE004,0,0,FALSE,46,103,4,
REPORTINGUI Account 9,CODE005,0,0,TRUE,54,181,3,
Education,CODE006,0,0,FALSE,40,110,0,
Manufacturing,CODE007,0,0,TRUE,62,200,4,
Food & Beverage,CODE008,0,0,FALSE,21,131,4,
Retail,CODE009,0,0,TRUE,97,193,5,
Industrial Manufacturing & Services,CODE010,0,0,FALSE,72,197,3,
Insurance,CODE011,0,0,TRUE,57,171,5,
Healthcare,CODE012,0,0,FALSE,47,187,2,
Retail,CODE013,0,0,TRUE,21,189,2,
Healthcare,CODE014,0,0,FALSE,81,126,5,
Manufacturing,CODE015,0,0,TRUE,29,109,1,
Utilities,CODE001,0,0,FALSE,76,167,2,
Engineering,CODE002,0,0,TRUE,92,182,3,
Oil & Gas & Energy,CODE003,0,0,FALSE,51,116,3,
Service,CODE004,0,0,FALSE,91,152,2,
Hospitality,CODE005,0,0,TRUE,4,194,2,
Retail,CODE006,0,0,FALSE,8,188,5,
Non-profit,CODE007,0,0,TRUE,99,110,4,
Food & Beverage,CODE008,0,0,FALSE,6,166,3,
Agriculture,CODE009,0,0,TRUE,90,160,2,
Finance,CODE010,0,0,FALSE,78,112,0,
Oil & Gas Exploration & Production,CODE011,0,0,TRUE,9,122,5,
Manufacturing,CODE012,0,0,FALSE,39,152,4,
Manufacturing,CODE013,0,0,TRUE,48,181,2,
Manufacturing,CODE014,0,0,FALSE,9,107,2,
Government,CODE015,0,0,TRUE,52,170,2,
Service,CODE001,0,0,FALSE,87,168,3,
Healthcare,CODE002,0,0,TRUE,71,173,2,
Manufacturing,CODE003,0,0,FALSE,71,138,3,
Consumer Services,CODE004,0,0,TRUE,4,172,3,
Manufacturing,CODE005,0,0,FALSE,56,198,4,
Hospitality,CODE006,0,0,TRUE,18,130,4,
Consulting,CODE007,0,0,FALSE,84,131,5,
Telecommunications,CODE008,0,0,FALSE,76,128,0,
Hospitality,CODE009,0,0,TRUE,51,142,2,
Manufacturing,CODE010,0,0,FALSE,58,176,0,
Construction,CODE011,0,0,TRUE,78,151,1,
Telecommunications,CODE012,0,0,FALSE,29,111,3,
Healthcare,CODE013,0,0,TRUE,7,162,0,
Manufacturing,CODE014,0,0,FALSE,15,132,0,
Manufacturing,CODE015,0,0,TRUE,12,190,5,
Construction,CODE001,0,0,FALSE,99,166,2,
Bakery Products,CODE002,0,0,TRUE,96,150,2,
Technology,CODE003,0,0,FALSE,63,123,2,
Manufacturing,CODE004,0,0,TRUE,67,198,3,
Technology,CODE005,0,0,FALSE,10,138,1,
Transportation,CODE006,0,0,TRUE,18,145,5,
Manufacturing,CODE007,0,0,FALSE,31,118,3,
Consulting,CODE008,0,0,TRUE,81,128,1,
Software & Programming,CODE009,0,0,FALSE,34,146,5,
,CODE010,0,0,TRUE,21,191,5,
Food & Beverage,CODE011,0,0,FALSE,29,152,3,
Service,CODE012,0,0,FALSE,78,197,0,
Service,CODE013,0,0,TRUE,11,183,3,
Medical Devices,CODE014,0,0,FALSE,12,104,2,
Service,CODE015,0,0,TRUE,54,102,1,
Biotechnology,CODE001,0,0,FALSE,91,196,3,
Finance,CODE002,0,0,TRUE,40,156,1,
Hospitality,CODE003,0,0,FALSE,18,123,4,
Healthcare,CODE004,0,0,TRUE,96,178,1,
Technology,CODE005,0,0,FALSE,90,152,1,
Service,CODE006,0,0,TRUE,8,168,2,
Government,CODE007,0,0,FALSE,75,147,5,
Energy,CODE008,0,0,TRUE,10,119,2,
 Singapore,Energy,CODE009,0,0,FALSE,66,146,5
 UK,Energy,CODE010,0,0,TRUE,78,105,3
Education,CODE011,0,0,FALSE,92,181,3,
Non-profit,CODE012,0,0,TRUE,24,174,3,
Telecommunications,CODE013,0,0,FALSE,76,172,3,
Non-profit,CODE014,0,0,TRUE,32,138,1,
Technology,CODE015,0,0,FALSE,90,177,4,
Retail,CODE001,0,0,FALSE,54,198,0,
Technology,CODE002,0,0,TRUE,80,158,3,
Service,CODE003,0,0,FALSE,6,156,1,
Manufacturing,CODE004,0,0,TRUE,29,126,2,
Others,CODE005,0,0,FALSE,17,195,2,
Technology,CODE006,0,0,TRUE,56,194,5,
Others,CODE007,0,0,FALSE,76,134,1,
Manufacturing,CODE008,0,0,TRUE,81,192,5,
Manufacturing,CODE009,0,0,FALSE,90,120,0,
Manufacturing,CODE010,0,0,TRUE,20,178,1,
Distribution,CODE011,1,1,FALSE,91,150,4,
Oil & Gas & Energy,CODE012,1,1,TRUE,84,114,4,
Technology,CODE013,1,1,FALSE,10,163,2,
Others,CODE014,1,1,TRUE,91,101,5,
Manufacturing,CODE015,1,1,FALSE,63,127,3,
Finance,CODE001,1,1,TRUE,82,161,1,
Technology,CODE002,1,1,FALSE,20,158,5,
Technology,CODE003,1,1,TRUE,8,116,1,
Healthcare,CODE004,1,1,FALSE,17,115,4,
Chemicals,CODE005,1,1,FALSE,13,193,3,
Apparel,CODE006,1,1,TRUE,81,117,5,
Medical Equipment & Supplies,CODE007,1,1,FALSE,49,155,4,
Manufacturing,CODE008,1,1,TRUE,35,129,1,
Healthcare,CODE009,1,1,FALSE,39,129,3,
Retail,CODE010,1,1,TRUE,35,166,5,
Energy,CODE011,1,1,FALSE,64,153,3,
Manufacturing,CODE012,1,1,TRUE,7,167,3,
Technology,CODE013,1,1,FALSE,80,153,1,
Chemicals,CODE014,1,1,TRUE,51,160,3,
Manufacturing,CODE015,1,1,FALSE,10,110,4,
Finance,CODE001,1,1,TRUE,24,187,1,
Consulting,CODE002,1,1,FALSE,83,177,4,
Government,CODE003,1,1,TRUE,59,162,2,
Manufacturing,CODE004,1,1,FALSE,86,171,4,
Shipping,CODE005,1,1,TRUE,8,128,3,
Food & Beverage,CODE006,1,1,FALSE,22,169,3,
Healthcare,CODE007,1,1,TRUE,77,138,5,
Electronics,CODE008,1,1,FALSE,76,152,3,
Transportation,CODE009,1,1,FALSE,11,158,0,
Apparel,CODE010,1,1,TRUE,86,136,4,
Service,CODE011,1,1,FALSE,27,180,0,
Television Cable, & Broadcast Network,CODE012,1,1,TRUE,23,114,3
Finance,CODE013,1,1,FALSE,86,184,2,
Manufacturing,CODE014,1,1,TRUE,48,104,2,
Manufacturing,CODE015,1,1,FALSE,60,121,0,
Chemicals,CODE001,1,1,TRUE,78,154,4,
Government,CODE002,1,1,FALSE,71,177,2,
Machinery,CODE003,1,1,TRUE,91,116,2,
Manufacturing,CODE004,1,1,FALSE,63,198,1,
Biotechnology,CODE005,1,1,TRUE,32,117,3,
Hospitality,CODE006,1,1,FALSE,44,143,2,
Education,CODE007,1,1,TRUE,3,176,5,
Medical & Dental Laboratories,CODE008,1,1,FALSE,68,114,2,
Medical Products,CODE009,1,1,TRUE,32,143,1,
Agriculture,CODE010,1,1,FALSE,28,106,2,
Healthcare,CODE011,1,1,TRUE,90,179,5,
Retail,CODE012,1,1,FALSE,25,148,2,
Service,CODE013,1,1,FALSE,3,140,4,
Fish & Seafood,CODE014,1,1,TRUE,94,174,1,
Finance,CODE015,1,1,FALSE,57,152,1,
Education,CODE001,1,1,TRUE,63,166,0,
Manufacturing,CODE002,1,1,FALSE,19,178,1,
Food & Beverage,CODE003,1,1,TRUE,33,173,0,
Retail,CODE004,1,1,FALSE,12,113,2,
Industrial Manufacturing & Services,CODE005,1,1,TRUE,37,164,4,
Insurance,CODE006,1,1,FALSE,59,122,1,
Healthcare,CODE007,1,1,TRUE,19,170,1,
Retail,CODE008,1,1,FALSE,42,130,1,
Healthcare,CODE009,1,1,TRUE,47,102,5,
Manufacturing,CODE010,1,1,FALSE,78,149,2,
Utilities,CODE011,1,1,TRUE,74,182,1,
Engineering,CODE012,1,1,FALSE,72,195,4,
Oil & Gas & Energy,CODE013,1,1,TRUE,55,101,1,
Service,CODE014,1,1,FALSE,22,198,3,
Hospitality,CODE015,1,1,TRUE,76,109,3,
Retail,CODE001,1,1,FALSE,74,153,3,
Non-profit,CODE002,1,1,FALSE,72,190,3,
Food & Beverage,CODE003,1,1,TRUE,89,125,4,
Agriculture,CODE004,1,1,FALSE,52,198,2,
Finance,CODE005,1,1,TRUE,76,123,3,
Oil & Gas Exploration & Production,CODE006,1,1,FALSE,55,165,4,
Manufacturing,CODE007,1,1,TRUE,1,158,0,
Manufacturing,CODE008,1,1,FALSE,98,123,3,
Manufacturing,CODE009,1,1,TRUE,6,107,0,
Government,CODE010,1,1,FALSE,62,167,5,
Service,CODE011,1,1,TRUE,42,158,5,
Healthcare,CODE012,1,1,FALSE,38,123,4,
Manufacturing,CODE013,1,1,TRUE,29,138,1,
Consumer Services,CODE014,1,1,FALSE,90,153,1,
Manufacturing,CODE015,1,1,TRUE,80,115,3,
Hospitality,CODE001,1,1,FALSE,63,160,2,
Consulting,CODE002,1,1,TRUE,68,150,2,
Telecommunications,CODE003,1,1,FALSE,83,153,5,
Hospitality,CODE004,1,1,TRUE,48,100,0,
Manufacturing,CODE005,1,1,FALSE,99,107,3,
Construction,CODE006,1,1,FALSE,24,172,5,
Telecommunications,CODE007,1,1,TRUE,6,111,1,
Healthcare,CODE008,1,1,FALSE,67,119,0,
Manufacturing,CODE009,1,1,TRUE,73,200,3,
