"ID","AccountName","ProductCode","ProductName","Date","EventTimeStamp","Date1","EventTimeStamp1","Date2","EventTimeStamp2","Date3","EventTimeStamp3","Active","PageViews","PageVisits","FilesDownloaded","NoofReportsRun","NoofRulesTriggered","NoofSchedulesCreated","Industry","NoofMeetingsAttended"
"0016100000PIgx1AAD","REPORTINGUI Account 1","CODE001","REPORTINGUI Account 1","0","0","-195","-171","-129","-91","-154","-124","TRUE","114","113","64","192","89","99","Distribution","147"
"0016100000PIgx2AAD","REPORTINGUI Account 2","CODE002","REPORTINGUI Account 2","-1","-1","-37","-53","-79","-113","-6","-190","FALSE","59","161","33","166","50","148","Oil & Gas & Energy","83"
"0016100000PIgx3AAD","REPORTINGUI Account 3","CODE003","REPORTINGUI Account 3","-2","-2","-160","-60","-30","-156","-90","-54","TRUE","57","6","58",,"120","124","Technology","123"
"0016100000PIgx4AAD","REPORTINGUI Account 4","CODE004","REPORTINGUI Account 4","-3","-3","-77","-120","-27","-95","-141","-198","FALSE","60","175","173","47","151","192","Others","136"
"0016100000PIgx5AAD","REPORTINGUI Account 5","CODE005","REPORTINGUI Account 5","-4","-4","-55","-139","-128","-1","-193","-70","TRUE","193","181","156","91","12","9","Manufacturing","91"
"0016100000PIgx6AAD","REPORTINGUI Account 6","CODE006","REPORTINGUI Account 6","-5","-5","-139","-50","-199","-16","-49","-146","FALSE","29","179","190","88","196","31","Finance","145"
"0016100000PIgx7AAD","REPORTINGUI Account 7",,"REPORTINGUI Account 7","-6","-6","-143","-155","-109","-61","-81","-199","FALSE","24","95",,"130",,"32","Technology","108"
"0016100000PIgx8AAD","REPORTINGUI Account 8","CODE008","REPORTINGUI Account 8","-7","-7","-178","-113","-133",,"-196","-56","TRUE","172","39","103","41","101","42","Technology",
"0016100000PIgx9AAD","REPORTINGUI Account 9","CODE009","REPORTINGUI Account 9","-8","-8",,"-194","-37","-130","-117","-137","FALSE","68","34","51","57","55","80","Healthcare","189"
"0016100000PIgxAAAT","REPORTINGUI Account 10","CODE010","REPORTINGUI Account 10","-9","-9","-196","-100","-129","-167","-60","-24","TRUE",,"196","46","120","168",,"Chemicals","65"
"0016100000PIgxBAAT","REPORTINGUI Account 11","CODE011","REPORTINGUI Account 11","-10","-10","-53","-3","-9","-140","-20","-38","FALSE","48","134","176","102","176","144",,"179"
"0016100000PIgxCAAT","REPORTINGUI Account 12","CODE012","REPORTINGUI Account 12","-11","-11","-146","-161","-177","-89","-64",,"TRUE","174","73","161","69","24","95","Medical Equipment & Supplies","153"
"0016100000PIgxDAAT","REPORTINGUI Account 13","CODE013","REPORTINGUI Account 13",,"-12","-66","-158","-163","-115","-132","-4","FALSE","192","21","138","11","8","129","Manufacturing","119"
"0016100000PIgxEAAT","REPORTINGUI Account 14","CODE014","REPORTINGUI Account 14","-13","-13","-135",,"-82","-166","-44","-118","TRUE","63","65","65","90","183","36","Healthcare","14"
"0016100000PIgxFAAT","REPORTINGUI Account 15","CODE015","REPORTINGUI Account 15","-14","-14","-56","-127","-98",,"-111","-153","FALSE","135",,"66","181","56","47","Retail","39"
