Industry,ProductCode,ProductName,Date,EventTimeStamp,Active,PageViews,PageVisits,FilesDownloaded,NoofReportsRun,NoofRulesTriggered,NoofSchedulesCreated,Date1,EventTimeStamp1,Date2,EventTimeStamp2,Date3,EventTimeStamp3,NoofMeetingsAttended
Distribution,CODE001,REPORTINGUI Account 1,0,0,TRUE,114,113,64,192,89,99,-195,-171,-129,-91,-154,-124,147
Oil & Gas & Energy,CODE002,REPORTINGUI Account 2,-1,-1,FALSE,59,161,33,166,50,148,-37,-53,-79,-113,-6,-190,83
Technology,CODE003,REPORTINGUI Account 3,-2,-2,TRUE,57,6,58,,120,124,-160,-60,-30,-156,-90,-54,123
Others,CODE004,REPORTINGUI Account 4,-3,-3,FALSE,60,175,173,47,151,192,-77,-120,-27,-95,-141,-198,136
Manufacturing,CODE005,REPORTINGUI Account 5,-4,-4,TRUE,193,181,156,91,12,9,-55,-139,-128,-1,-193,-70,91
Finance,CODE006,REPORTINGUI Account 6,-5,-5,FALSE,29,179,190,88,196,31,-139,-50,-199,-16,-49,-146,145
Technology,,REPORTINGUI Account 7,-6,-6,FALSE,24,95,,130,,32,-143,-155,-109,-61,-81,-199,108
Technology,CODE008,REPORTINGUI Account 8,-7,-7,TRUE,172,39,103,41,101,42,-178,-113,-133,,-196,-56,
Healthcare,CODE009,REPORTINGUI Account 9,-8,-8,FALSE,68,34,51,57,55,80,,-194,-37,-130,-117,-137,189
Chemicals,CODE010,REPORTINGUI Account 10,-9,-9,TRUE,,196,46,120,168,,-196,-100,-129,-167,-60,-24,65
,CODE011,REPORTINGUI Account 11,-10,-10,FALSE,48,134,176,102,176,144,-53,-3,-9,-140,-20,-38,179
Medical Equipment & Supplies,CODE012,REPORTINGUI Account 12,-11,-11,TRUE,174,73,161,69,24,95,-146,-161,-177,-89,-64,,153
Manufacturing,CODE013,REPORTINGUI Account 13,,-12,FALSE,192,21,138,11,8,129,-66,-158,-163,-115,-132,-4,119
