"ID","AccountName","ProductCode","ProductName","Date","EventTimeStamp","Date1","EventTimeStamp1","Date2","EventTimeStamp2","Date3","EventTimeStamp3","Active","PageViews","PageVisits","FilesDownloaded","NoofReportsRun","NoofRulesTriggered","NoofSchedulesCreated","Industry","NoofMeetingsAttended"
"0016100000PIgx1AAD","REPORTINGUI Account 1","CODE001","REPORTINGUI Account 1","01-22-2016","01-22-2016 01:56:49","04-27-2012","10-12-2012 02:56:49","08-02-2013","04-25-2014 02:56:49","02-08-2013","09-06-2013 02:56:49","TRUE","114","113","64","192","89","99","Distribution","147"
"0016100000PIgx2AAD","REPORTINGUI Account 2","CODE002","REPORTINGUI Account 2","01-15-2016","01-15-2016 01:56:49","05-08-2015","01-16-2015 01:56:49","07-18-2014","11-22-2013 01:56:49","12-11-2015","06-01-2012 02:56:49","FALSE","59","161","33","166","50","148","Oil & Gas & Energy","83"
"0016100000PIgx3AAD","REPORTINGUI Account 3","CODE003","REPORTINGUI Account 3","01-08-2016","01-08-2016 01:56:49","12-28-2012","11-28-2014 01:56:49","06-26-2015","01-25-2013 01:56:49","05-02-2014","01-09-2015 01:56:49","TRUE","57","6","58","","120","124","Technology","123"
"0016100000PIgx4AAD","REPORTINGUI Account 4","CODE004","REPORTINGUI Account 4","01-01-2016","01-01-2016 01:56:49","08-01-2014","10-04-2013 02:56:49","07-17-2015","03-28-2014 02:56:49","05-10-2013","04-06-2012 02:56:49","FALSE","60","175","173","47","151","192","Others","136"
"0016100000PIgx5AAD","REPORTINGUI Account 5","CODE005","REPORTINGUI Account 5","12-25-2015","12-25-2015 01:56:49","01-02-2015","05-24-2013 02:56:49","08-09-2013","01-15-2016 01:56:49","05-11-2012","09-19-2014 02:56:49","TRUE","193","181","156","91","12","9","Manufacturing","91"
"0016100000PIgx6AAD","REPORTINGUI Account 6","CODE006","REPORTINGUI Account 6","12-18-2015","12-18-2015 01:56:49","05-24-2013","02-06-2015 01:56:49","03-30-2012","10-02-2015 02:56:49","02-13-2015","04-05-2013 02:56:49","FALSE","29","179","190","88","196","31","Finance","145"
"0016100000PIgx7AAD","REPORTINGUI Account 7","","REPORTINGUI Account 7","12-11-2015","12-11-2015 01:56:49","04-26-2013","02-01-2013 01:56:49","12-20-2013","11-21-2014 01:56:49","07-04-2014","03-30-2012 02:56:49","FALSE","24","95","","130","","32","Technology","108"
"0016100000PIgx8AAD","REPORTINGUI Account 8","CODE008","REPORTINGUI Account 8","12-04-2015","12-04-2015 01:56:49","08-24-2012","11-22-2013 01:56:49","07-05-2013","","04-20-2012","12-26-2014 01:56:49","TRUE","172","39","103","41","101","42","Technology",""
"0016100000PIgx9AAD","REPORTINGUI Account 9","CODE009","REPORTINGUI Account 9","11-27-2015","11-27-2015 01:56:49","","05-04-2012 02:56:49","05-08-2015","07-26-2013 02:56:49","10-25-2013","06-07-2013 02:56:49","FALSE","68","34","51","57","55","80","Healthcare","189"
"0016100000PIgxAAAT","REPORTINGUI Account 10","CODE010","REPORTINGUI Account 10","11-20-2015","11-20-2015 01:56:49","04-20-2012","02-21-2014 01:56:49","08-02-2013","11-09-2012 01:56:49","11-28-2014","08-07-2015 02:56:49","TRUE","","196","46","120","168","","Chemicals","65"
"0016100000PIgxBAAT","REPORTINGUI Account 11","CODE011","REPORTINGUI Account 11","11-13-2015","11-13-2015 01:56:49","01-16-2015","01-01-2016 01:56:49","11-20-2015","05-17-2013 02:56:49","09-04-2015","05-01-2015 02:56:49","FALSE","48","134","176","102","176","144","","179"
"0016100000PIgxCAAT","REPORTINGUI Account 12","CODE012","REPORTINGUI Account 12","11-06-2015","11-06-2015 01:56:49","04-05-2013","12-21-2012 01:56:49","08-31-2012","05-09-2014 02:56:49","10-31-2014","","TRUE","174","73","161","69","24","95","Medical Equipment & Supplies","153"
"0016100000PIgxDAAT","REPORTINGUI Account 13","CODE013","REPORTINGUI Account 13","","10-30-2015 02:56:49","10-17-2014","01-11-2013 01:56:49","12-07-2012","11-08-2013 01:56:49","07-12-2013","12-25-2015 01:56:49","FALSE","192","21","138","11","8","129","Manufacturing","119"
"0016100000PIgxEAAT","REPORTINGUI Account 14","CODE014","REPORTINGUI Account 14","10-23-2015","10-23-2015 02:56:49","06-21-2013","","06-27-2014","11-16-2012 01:56:49","03-20-2015","10-18-2013 02:56:49","TRUE","63","65","65","90","183","36","Healthcare","14"
"0016100000PIgxFAAT","REPORTINGUI Account 15","CODE015","REPORTINGUI Account 15","10-16-2015","10-16-2015 02:56:49","12-26-2014","08-16-2013 02:56:49","03-07-2014","","12-06-2013","02-15-2013 01:56:49","FALSE","135","","66","181","56","47","Retail","39"
"0016100000PIgxGAAT","REPORTINGUI Account 16","CODE001","REPORTINGUI Account 16","10-09-2015","10-09-2015 02:56:49","09-19-2014","11-08-2013 01:56:49","05-31-2013","10-12-2012 02:56:49","04-27-2012","03-20-2015 02:56:49","TRUE","40","182","146","110","168","39","Energy","3"
"0016100000PIgxHAAT","REPORTINGUI Account 17","CODE002","REPORTINGUI Account 17","10-02-2015","10-02-2015 02:56:49","04-11-2014","11-27-2015 01:56:49","05-25-2012","06-01-2012 02:56:49","08-03-2012","05-23-2014 02:56:49","FALSE","196","99","93","143","124","55","Manufacturing","71"
"0016100000PIgxIAAT","REPORTINGUI Account 18","CODE003","REPORTINGUI Account 18","09-25-2015","09-25-2015 02:56:49","09-07-2012","01-16-2015 01:56:49","08-17-2012","11-30-2012 01:56:49","06-21-2013","10-23-2015 02:56:49","TRUE","200","53","179","110","105","85","Technology","92"
"0016100000PIgxJAAT","REPORTINGUI Account 19","CODE004","REPORTINGUI Account 19","09-18-2015","09-18-2015 02:56:49","01-03-2014","05-29-2015 02:56:49","02-20-2015","04-13-2012 02:56:49","05-03-2013","07-10-2015 02:56:49","FALSE","27","44","185","128","161","56","Chemicals","157"
"0016100000PIgxKAAT","REPORTINGUI Account 20","","REPORTINGUI Account 20","09-11-2015","09-11-2015 02:56:49","05-23-2014","05-31-2013 02:56:49","01-23-2015","12-13-2013 01:56:49","","12-06-2013 01:56:49","TRUE","34","65","1","92","162","5","Manufacturing","49"
"0016100000PIgxLAAT","REPORTINGUI Account 21","CODE006","REPORTINGUI Account 21","09-04-2015","09-04-2015 02:56:49","06-13-2014","05-15-2015 02:56:49","01-08-2016","06-27-2014 02:56:49","03-06-2015","05-29-2015 02:56:49","FALSE","","53","19","142","146","30","Finance",""
"0016100000PIgxMAAT","REPORTINGUI Account 22","CODE007","REPORTINGUI Account 22","08-28-2015","08-28-2015 02:56:49","11-29-2013","10-03-2014 02:56:49","","06-14-2013 02:56:49","04-26-2013","05-08-2015 02:56:49","TRUE","48","31","53","","116","163","Consulting","164"
"0016100000PIgxNAAT","REPORTINGUI Account 23","CODE008","REPORTINGUI Account 23","08-21-2015","08-21-2015 02:56:49","01-31-2014","11-20-2015 01:56:49","10-10-2014","11-16-2012 01:56:49","01-18-2013","10-31-2014 02:56:49","FALSE","130","194","137","176","77","121","Government","80"
"0016100000PIgxOAAT","REPORTINGUI Account 24","CODE009","REPORTINGUI Account 24","08-14-2015","08-14-2015 02:56:49","05-22-2015","09-13-2013 02:56:49","07-04-2014","01-23-2015 01:56:49","05-08-2015","12-12-2014 01:56:49","TRUE","79","75","15","40","72","","Manufacturing","148"
"0016100000PIgxPAAT","REPORTINGUI Account 25","CODE010","REPORTINGUI Account 25","08-07-2015","08-07-2015 02:56:49","10-17-2014","02-21-2014 01:56:49","06-13-2014","09-20-2013 02:56:49","02-01-2013","12-28-2012 01:56:49","FALSE","191","45","47","69","26","147","Shipping","69"
"0016100000PIgxQAAT","REPORTINGUI Account 26","CODE011","REPORTINGUI Account 26","07-31-2015","07-31-2015 02:56:49","07-10-2015","12-18-2015 01:56:49","08-01-2014","02-20-2015 01:56:49","05-04-2012","01-16-2015 01:56:49","FALSE","119","22","47","27","24","172","Food & Beverage","129"
"0016100000PIgxRAAT","REPORTINGUI Account 27","CODE012","REPORTINGUI Account 27","07-24-2015","07-24-2015 02:56:49","05-24-2013","05-29-2015 02:56:49","03-15-2013","05-11-2012 02:56:49","","03-21-2014 02:56:49","TRUE","149","179","","165","97","108","Healthcare","96"
"0016100000PIgxSAAT","REPORTINGUI Account 28","CODE013","REPORTINGUI Account 28","07-17-2015","07-17-2015 02:56:49","10-23-2015","10-03-2014 02:56:49","06-19-2015","06-13-2014 02:56:49","01-18-2013","06-29-2012 02:56:49","FALSE","58","79","166","152","","126","Electronics","54"
"0016100000PIgxTAAT","REPORTINGUI Account 29","CODE014","REPORTINGUI Account 29","07-10-2015","07-10-2015 02:56:49","07-20-2012","02-07-2014 01:56:49","09-04-2015","03-27-2015 02:56:49","05-29-2015","06-26-2015 02:56:49","TRUE","39","190","102","171","161","75","Transportation","114"
"0016100000PIgxUAAT","REPORTINGUI Account 30","CODE015","REPORTINGUI Account 30","07-03-2015","","11-13-2015","05-01-2015 02:56:49","12-21-2012","05-29-2015 02:56:49","08-14-2015","07-19-2013 02:56:49","FALSE","36","2","163","187","154","140","Apparel","150"
"0016100000PIgxVAAT","REPORTINGUI Account 31","CODE001","REPORTINGUI Account 31","06-26-2015","06-26-2015 02:56:49","02-15-2013","11-09-2012 01:56:49","03-30-2012","06-13-2014 02:56:49","10-02-2015","04-03-2015 02:56:49","TRUE","124","","128","63","21","16","Service","185"
"0016100000PIgxWAAT","REPORTINGUI Account 32","CODE002","REPORTINGUI Account 32","06-19-2015","06-19-2015 02:56:49","06-28-2013","05-15-2015 02:56:49","10-10-2014","11-20-2015 01:56:49","01-18-2013","","FALSE","139","28","99","83","52","91","","75"
"0016100000PIgxXAAT","REPORTINGUI Account 33","CODE003","REPORTINGUI Account 33","06-12-2015","06-12-2015 02:56:49","02-20-2015","10-02-2015 02:56:49","03-14-2014","01-16-2015 01:56:49","04-04-2014","05-08-2015 02:56:49","TRUE","170","75","129","141","190","91","Finance","49"
"0016100000PIgxYAAT","REPORTINGUI Account 34","CODE004","REPORTINGUI Account 34","06-05-2015","06-05-2015 02:56:49","01-11-2013","09-27-2013 02:56:49","10-02-2015","10-23-2015 02:56:49","07-25-2014","01-18-2013 01:56:49","FALSE","10","67","78","131","168","","Manufacturing","196"
"0016100000PIgxZAAT","REPORTINGUI Account 35","CODE005","REPORTINGUI Account 35","05-29-2015","05-29-2015 02:56:49","12-05-2014","10-05-2012 02:56:49","12-18-2015","","12-07-2012","10-30-2015 02:56:49","TRUE","","132","120","190","185","146","Manufacturing","176"
"0016100000PIgxaAAD","REPORTINGUI Account 36","CODE006","REPORTINGUI Account 36","05-22-2015","05-22-2015 02:56:49","","09-21-2012 02:56:49","08-21-2015","03-06-2015 01:56:49","05-02-2014","08-31-2012 02:56:49","FALSE","23","138","41","162","70","16","Chemicals","143"
"0016100000PIgxbAAD","REPORTINGUI Account 37","CODE007","REPORTINGUI Account 37","05-15-2015","05-15-2015 02:56:49","02-21-2014","09-18-2015 02:56:49","02-27-2015","06-14-2013 02:56:49","01-30-2015","09-11-2015 02:56:49","TRUE","90","97","","130","71","148","Government","17"
"0016100000PIgxcAAD","REPORTINGUI Account 38","CODE008","REPORTINGUI Account 38","05-08-2015","05-08-2015 02:56:49","07-18-2014","01-18-2013 01:56:49","05-22-2015","12-27-2013 01:56:49","03-21-2014","03-08-2013 01:56:49","FALSE","88","45","170","27","50","29","Machinery","77"
"0016100000PIgxdAAD","REPORTINGUI Account 39","CODE009","REPORTINGUI Account 39","05-01-2015","05-01-2015 02:56:49","01-25-2013","09-05-2014 02:56:49","","04-04-2014 02:56:49","08-10-2012","09-06-2013 02:56:49","TRUE","166","188","59","34","21","78","Manufacturing","195"
"0016100000PIgxeAAD","REPORTINGUI Account 40","CODE010","REPORTINGUI Account 40","04-24-2015","04-24-2015 02:56:49","03-06-2015","10-04-2013 02:56:49","05-18-2012","01-31-2014 01:56:49","07-17-2015","06-20-2014 02:56:49","FALSE","24","168","158","16","82","33","Biotechnology","168"
"0016100000PIgxfAAD","REPORTINGUI Account 41","CODE011","REPORTINGUI Account 41","04-17-2015","04-17-2015 02:56:49","11-27-2015","04-03-2015 02:56:49","11-02-2012","10-31-2014 02:56:49","01-16-2015","11-20-2015 01:56:49","TRUE","155","144","20","","188","48","Hospitality","152"
"0016100000PIgxgAAD","REPORTINGUI Account 42","CODE012","REPORTINGUI Account 42","04-10-2015","04-10-2015 02:56:49","01-04-2013","02-07-2014 01:56:49","04-19-2013","10-17-2014 02:56:49","10-12-2012","06-01-2012 02:56:49","FALSE","85","74","27","149","118","142","Education","99"
"0016100000PIgxhAAD","REPORTINGUI Account 43","CODE013","REPORTINGUI Account 43","04-03-2015","04-03-2015 02:56:49","04-25-2014","","11-22-2013","10-04-2013 02:56:49","10-25-2013","08-30-2013 02:56:49","TRUE","89","","123","159","160","181","Medical & Dental Laboratories","182"
"0016100000PIgxiAAD","REPORTINGUI Account 44","CODE014","REPORTINGUI Account 44","03-27-2015","03-27-2015 02:56:49","10-24-2014","11-29-2013 01:56:49","08-24-2012","08-28-2015 02:56:49","01-30-2015","11-07-2014 01:56:49","FALSE","68","117","48","122","","78","Medical Products","181"
