"ID","AccountName","ProductCode","ProductName","Date","EventTimeStamp","Active","PageViews","PageVisits","FilesDownloaded","NoofReportsRun","NoofRulesTriggered","NoofSchedulesCreated","Industry"
"0016100000PnnIsAAJ","REPORTINGUI Account 1","CODE001","REPORTINGUI Account 1","01-25-2016","01-25-2016 02:50:31","TRUE","114","113","64","192","89","99","Distribution"
"0016100000PnnItAAJ","REPORTINGUI Account 2","CODE002","REPORTINGUI Account 2","01-18-2016","01-18-2016 02:50:31","FALSE","59","161","33","166","50","148","Oil & Gas & Energy"
"0016100000PnnIuAAJ","REPORTINGUI Account 3","CODE003","REPORTINGUI Account 3","01-11-2016","01-11-2016 02:50:31","TRUE","57","6","58","","120","124","Technology"
"0016100000PnnIvAAJ","REPORTINGUI Account 4","CODE004","REPORTINGUI Account 4","01-04-2016","01-04-2016 02:50:31","FALSE","60","175","173","47","151","192","Others"
"0016100000PnnIwAAJ","REPORTINGUI Account 5","CODE005","REPORTINGUI Account 5","12-28-2015","12-28-2015 02:50:31","TRUE","193","181","156","91","12","9","Manufacturing"
"0016100000PnnIxAAJ","REPORTINGUI Account 6","CODE006","REPORTINGUI Account 6","12-21-2015","12-21-2015 02:50:31","FALSE","29","179","190","88","196","31","Finance"
"0016100000PnnIyAAJ","REPORTINGUI Account 7","","REPORTINGUI Account 7","12-14-2015","12-14-2015 02:50:31","FALSE","24","95","","130","","32","Technology"
"0016100000PnnIzAAJ","REPORTINGUI Account 8","CODE008","REPORTINGUI Account 8","12-07-2015","12-07-2015 02:50:31","TRUE","172","39","103","41","101","42","Technology"
"0016100000PnnJ0AAJ","REPORTINGUI Account 9","CODE009","REPORTINGUI Account 9","11-30-2015","11-30-2015 02:50:31","FALSE","68","34","51","57","55","80","Healthcare"
"0016100000PnnJ1AAJ","REPORTINGUI Account 10","CODE010","REPORTINGUI Account 10","11-23-2015","11-23-2015 02:50:31","TRUE","","196","46","120","168","","Chemicals"
"0016100000PnnJ2AAJ","REPORTINGUI Account 11","CODE011","REPORTINGUI Account 11","11-16-2015","11-16-2015 02:50:31","FALSE","48","134","176","102","176","144",""
"0016100000PnnJ3AAJ","REPORTINGUI Account 12","CODE012","REPORTINGUI Account 12","11-09-2015","11-09-2015 02:50:31","TRUE","174","73","161","69","24","95","Medical Equipment & Supplies"
"0016100000PnnJ4AAJ","REPORTINGUI Account 13","CODE013","REPORTINGUI Account 13","","11-02-2015 02:50:31","FALSE","192","21","138","11","8","129","Manufacturing"
"0016100000PnnJ5AAJ","REPORTINGUI Account 14","CODE014","REPORTINGUI Account 14","10-26-2015","10-26-2015 03:50:31","TRUE","63","65","65","90","183","36","Healthcare"
"0016100000PnnJ6AAJ","REPORTINGUI Account 15","CODE015","REPORTINGUI Account 15","10-19-2015","10-19-2015 03:50:31","FALSE","135","","66","181","56","47","Retail"
"0016100000PnnJ7AAJ","REPORTINGUI Account 16","CODE001","REPORTINGUI Account 16","10-12-2015","10-12-2015 03:50:31","TRUE","40","182","146","110","168","39","Energy"
"0016100000PnnJ8AAJ","REPORTINGUI Account 17","CODE002","REPORTINGUI Account 17","10-05-2015","10-05-2015 03:50:31","FALSE","196","99","93","143","124","55","Manufacturing"
"0016100000PnnJ9AAJ","REPORTINGUI Account 18","CODE003","REPORTINGUI Account 18","09-28-2015","09-28-2015 03:50:31","TRUE","200","53","179","110","105","85","Technology"
"0016100000PnnJAAAZ","REPORTINGUI Account 19","CODE004","REPORTINGUI Account 19","09-21-2015","09-21-2015 03:50:31","FALSE","27","44","185","128","161","56","Chemicals"
"0016100000PnnJBAAZ","REPORTINGUI Account 20","","REPORTINGUI Account 20","09-14-2015","09-14-2015 03:50:31","TRUE","34","65","1","92","162","5","Manufacturing"
"0016100000PnnJCAAZ","REPORTINGUI Account 21","CODE006","REPORTINGUI Account 21","09-07-2015","09-07-2015 03:50:31","FALSE","","53","19","142","146","30","Finance"
"0016100000PnnJDAAZ","REPORTINGUI Account 22","CODE007","REPORTINGUI Account 22","08-31-2015","08-31-2015 03:50:31","TRUE","48","31","53","","116","163","Consulting"
"0016100000PnnJEAAZ","REPORTINGUI Account 23","CODE008","REPORTINGUI Account 23","08-24-2015","08-24-2015 03:50:31","FALSE","130","194","137","176","77","121","Government"
"0016100000PnnJFAAZ","REPORTINGUI Account 24","CODE009","REPORTINGUI Account 24","08-17-2015","08-17-2015 03:50:31","TRUE","79","75","15","40","72","","Manufacturing"
"0016100000PnnJGAAZ","REPORTINGUI Account 25","CODE010","REPORTINGUI Account 25","08-10-2015","08-10-2015 03:50:31","FALSE","191","45","47","69","26","147","Shipping"
"0016100000PnnJHAAZ","REPORTINGUI Account 26","CODE011","REPORTINGUI Account 26","08-03-2015","08-03-2015 03:50:31","FALSE","119","22","47","27","24","172","Food & Beverage"
"0016100000PnnJIAAZ","REPORTINGUI Account 27","CODE012","REPORTINGUI Account 27","07-27-2015","07-27-2015 03:50:31","TRUE","149","179","","165","97","108","Healthcare"
"0016100000PnnJJAAZ","REPORTINGUI Account 28","CODE013","REPORTINGUI Account 28","07-20-2015","07-20-2015 03:50:31","FALSE","58","79","166","152","","126","Electronics"
"0016100000PnnJKAAZ","REPORTINGUI Account 29","CODE014","REPORTINGUI Account 29","07-13-2015","07-13-2015 03:50:31","TRUE","39","190","102","171","161","75","Transportation"
"0016100000PnnJLAAZ","REPORTINGUI Account 30","CODE015","REPORTINGUI Account 30","07-06-2015","","FALSE","36","2","163","187","154","140","Apparel"
"0016100000PnnJMAAZ","REPORTINGUI Account 31","CODE001","REPORTINGUI Account 31","06-29-2015","06-29-2015 03:50:31","TRUE","124","","128","63","21","16","Service"
"0016100000PnnJNAAZ","REPORTINGUI Account 32","CODE002","REPORTINGUI Account 32","06-22-2015","06-22-2015 03:50:31","FALSE","139","28","99","83","52","91",""
"0016100000PnnJOAAZ","REPORTINGUI Account 33","CODE003","REPORTINGUI Account 33","06-15-2015","06-15-2015 03:50:31","TRUE","170","75","129","141","190","91","Finance"
"0016100000PnnJPAAZ","REPORTINGUI Account 34","CODE004","REPORTINGUI Account 34","06-08-2015","06-08-2015 03:50:31","FALSE","10","67","78","131","168","","Manufacturing"
"0016100000PnnJQAAZ","REPORTINGUI Account 35","CODE005","REPORTINGUI Account 35","06-01-2015","06-01-2015 03:50:31","TRUE","","132","120","190","185","146","Manufacturing"
"0016100000PnnJRAAZ","REPORTINGUI Account 36","CODE006","REPORTINGUI Account 36","05-25-2015","05-25-2015 03:50:31","FALSE","23","138","41","162","70","16","Chemicals"
"0016100000PnnJSAAZ","REPORTINGUI Account 37","CODE007","REPORTINGUI Account 37","05-18-2015","05-18-2015 03:50:31","TRUE","90","97","","130","71","148","Government"
"0016100000PnnJTAAZ","REPORTINGUI Account 38","CODE008","REPORTINGUI Account 38","05-11-2015","05-11-2015 03:50:31","FALSE","88","45","170","27","50","29","Machinery"
"0016100000PnnJUAAZ","REPORTINGUI Account 39","CODE009","REPORTINGUI Account 39","05-04-2015","05-04-2015 03:50:31","TRUE","166","188","59","34","21","78","Manufacturing"
"0016100000PnnJVAAZ","REPORTINGUI Account 40","CODE010","REPORTINGUI Account 40","04-27-2015","04-27-2015 03:50:31","FALSE","24","168","158","16","82","33","Biotechnology"
"0016100000PnnJWAAZ","REPORTINGUI Account 41","CODE011","REPORTINGUI Account 41","04-20-2015","04-20-2015 03:50:31","TRUE","155","144","20","","188","48","Hospitality"
"0016100000PnnJXAAZ","REPORTINGUI Account 42","CODE012","REPORTINGUI Account 42","04-13-2015","04-13-2015 03:50:31","FALSE","85","74","27","149","118","142","Education"
"0016100000PnnJYAAZ","REPORTINGUI Account 43","CODE013","REPORTINGUI Account 43","04-06-2015","04-06-2015 03:50:31","TRUE","89","","123","159","160","181","Medical & Dental Laboratories"
"0016100000PnnJZAAZ","REPORTINGUI Account 44","CODE014","REPORTINGUI Account 44","03-30-2015","03-30-2015 03:50:31","FALSE","68","117","48","122","","78","Medical Products"
"0016100000PnnJaAAJ","REPORTINGUI Account 45","CODE015","REPORTINGUI Account 45","03-23-2015","03-23-2015 03:50:31","FALSE","197","103","35","67","92","72","Agriculture"
"0016100000PnnJbAAJ","REPORTINGUI Account 46","CODE001","REPORTINGUI Account 46","03-16-2015","03-16-2015 03:50:31","TRUE","81","36","151","119","181","188","Healthcare"
"0016100000PnnJcAAJ","REPORTINGUI Account 47","CODE002","REPORTINGUI Account 47","03-09-2015","03-09-2015 03:50:31","FALSE","151","85","106","111","83","9","Retail"
"0016100000PnnJdAAJ","REPORTINGUI Account 48","CODE003","REPORTINGUI Account 48","03-02-2015","03-02-2015 02:50:31","TRUE","119","19","73","176","121","","Service"
"0016100000PnnJeAAJ","REPORTINGUI Account 49","CODE004","REPORTINGUI Account 49","02-23-2015","02-23-2015 02:50:31","FALSE","1","97","","54","141","50",""
"0016100000PnnJfAAJ","REPORTINGUI Account 50","CODE005","REPORTINGUI Account 50","02-16-2015","02-16-2015 02:50:31","TRUE","2","141","141","24","15","37","Finance"
"0016100000PnnJgAAJ","REPORTINGUI Account 51","CODE006","REPORTINGUI Account 51","02-09-2015","02-09-2015 02:50:31","FALSE","189","17","66","13","23","4","Education"
"0016100000PnnJhAAJ","REPORTINGUI Account 52","CODE007","REPORTINGUI Account 52","02-02-2015","02-02-2015 02:50:31","TRUE","","148","27","179","80","17","Manufacturing"
