"Customer","Stage","Status","Comments","OriginalContractDate__c","NextRenewalDate__c"
"AAR Corp Hardware Abscoa Division","stage1","InactiveCustomer","AAR Corp Hardware Abscoa Division - stage1 - InactiveCustomer",,
"Abacus Programming Corporation","stage2","ActiveCustomer","Abacus Programming Corporation - stage2 - ActiveCustomer",,
"Abberley Kooiman","stage3","InactiveCustomer","Abberley Kooiman - stage3 - InactiveCustomer",,
"Abbett Electric Corp","stage4","ActiveCustomer","Abbett Electric Corp - stage4 - ActiveCustomer",,
"Abbey Press Inc","stage5","InactiveCustomer","Abbey Press Inc - stage5 - InactiveCustomer",,
"Bachman Information System Inc.","stage6","ActiveCustomer","Bachman Information System Inc. - stage6 - ActiveCustomer",,
"Back Stage Magazine","stage1","InactiveCustomer","Back Stage Magazine - stage1 - InactiveCustomer",,
"Baker & McKenzie","stage2","ActiveCustomer","Baker & McKenzie - stage2 - ActiveCustomer",,
"Balfour Maclaine International","stage3","InactiveCustomer","Balfour Maclaine International - stage3 - InactiveCustomer",,
"Ball & Socket Mfg Co","stage4","ActiveCustomer","Ball & Socket Mfg Co - stage4 - ActiveCustomer",,
"Caco-Pacific Corp.","stage5","InactiveCustomer","Caco-Pacific Corp. - stage5 - InactiveCustomer",,
"CADAM Inc.","stage6","ActiveCustomer","CADAM Inc. - stage6 - ActiveCustomer",,
"Cadbury Beverages Div Cadbury","stage1","InactiveCustomer","Cadbury Beverages Div Cadbury - stage1 - InactiveCustomer",,
"Cahn Instruments Inc","stage2","ActiveCustomer","Cahn Instruments Inc - stage2 - ActiveCustomer",,
"Cal-Pac Roofing Inc","stage3","InactiveCustomer","Cal-Pac Roofing Inc - stage3 - InactiveCustomer",,
"Dai-Ichi Kangyo Bank","stage4","ActiveCustomer","Dai-Ichi Kangyo Bank - stage4 - ActiveCustomer",,
"Daisy of California","stage5","InactiveCustomer","Daisy of California - stage5 - InactiveCustomer",,
"Daley Business Forms","stage6","ActiveCustomer","Daley Business Forms - stage6 - ActiveCustomer",,
"Dame Belts & Bag Co Inc","stage1","InactiveCustomer","Dame Belts & Bag Co Inc - stage1 - InactiveCustomer",,
"Dana Marketing Inc","stage2","ActiveCustomer","Dana Marketing Inc - stage2 - ActiveCustomer",,
"East Bay Brass Foundry","stage3","InactiveCustomer","East Bay Brass Foundry - stage3 - InactiveCustomer",,
"East Coast Traders","stage4","ActiveCustomer","East Coast Traders - stage4 - ActiveCustomer",,
"East/West Computers Inc","stage5","InactiveCustomer","East/West Computers Inc - stage5 - InactiveCustomer",,
"Eastern Municipal Water Distri","stage6","ActiveCustomer","Eastern Municipal Water Distri - stage6 - ActiveCustomer",,
"Eastman Kodak Company Health Sciences Division","stage1","InactiveCustomer","Eastman Kodak Company Health Sciences Division - stage1 - InactiveCustomer",,
"Facts on File Newsletter","stage2","ActiveCustomer","Facts on File Newsletter - stage2 - ActiveCustomer",,
"Family Magazine","stage3","InactiveCustomer","Family Magazine - stage3 - InactiveCustomer",,
"Fedder RP Corp","stage4","ActiveCustomer","Fedder RP Corp - stage4 - ActiveCustomer",,
"Fell David H & Company Inc","stage5","InactiveCustomer","Fell David H & Company Inc - stage5 - InactiveCustomer",,
"Ferrara Foods & Confections","stage6","ActiveCustomer","Ferrara Foods & Confections - stage6 - ActiveCustomer",,
"G Group","stage1","InactiveCustomer","G Group - stage1 - InactiveCustomer",,
"G-L Veneer Co Inc.","stage2","ActiveCustomer","G-L Veneer Co Inc. - stage2 - ActiveCustomer",,
"Galbreath Co","stage3","InactiveCustomer","Galbreath Co - stage3 - InactiveCustomer",,
"Gallo Ernst & Julio Winery","stage4","ActiveCustomer","Gallo Ernst & Julio Winery - stage4 - ActiveCustomer",,
"Gamblers Anonymous","stage5","InactiveCustomer","Gamblers Anonymous - stage5 - InactiveCustomer",,
"Halcyon Assoc","stage6","ActiveCustomer","Halcyon Assoc - stage6 - ActiveCustomer",,
"Hambro International Venture F","stage1","InactiveCustomer","Hambro International Venture F - stage1 - InactiveCustomer",,
"Hardy James G & Co","stage2","ActiveCustomer","Hardy James G & Co - stage2 - ActiveCustomer",,
"Harkavy Information Service","stage3","InactiveCustomer","Harkavy Information Service - stage3 - InactiveCustomer",,
"Harken Marketing Co","stage4","ActiveCustomer","Harken Marketing Co - stage4 - ActiveCustomer",,
"IBIS Systems Inc.","stage5","InactiveCustomer","IBIS Systems Inc. - stage5 - InactiveCustomer",,
"IBK Capital Inc","stage6","ActiveCustomer","IBK Capital Inc - stage6 - ActiveCustomer",,
"IBM Corp Data Systems Div","stage1","InactiveCustomer","IBM Corp Data Systems Div - stage1 - InactiveCustomer",,
"ICM Corp","stage2","ActiveCustomer","ICM Corp - stage2 - ActiveCustomer",,
"ImageTek Corp","stage3","InactiveCustomer","ImageTek Corp - stage3 - InactiveCustomer",,
"Jadow B & Sons Inc","stage4","ActiveCustomer","Jadow B & Sons Inc - stage4 - ActiveCustomer",,
"Jaff Brothers Woodworks Inc","stage5","InactiveCustomer","Jaff Brothers Woodworks Inc - stage5 - InactiveCustomer",,
"Jandel Scientific Inc.","stage6","ActiveCustomer","Jandel Scientific Inc. - stage6 - ActiveCustomer",,
"Japanese American Citizens Lea","stage1","InactiveCustomer","Japanese American Citizens Lea - stage1 - InactiveCustomer",,
"K & S Contractors Supply Co","stage2","ActiveCustomer","K & S Contractors Supply Co - stage2 - ActiveCustomer",,
"Kahlert Assoc Inc","stage3","InactiveCustomer","Kahlert Assoc Inc - stage3 - InactiveCustomer",,
"Kaiser Steel Resources Inc","stage4","ActiveCustomer","Kaiser Steel Resources Inc - stage4 - ActiveCustomer",,
"Karabelas Furs Inc","stage5","InactiveCustomer","Karabelas Furs Inc - stage5 - InactiveCustomer",,
"Karpen & Steel Products Inc","stage6","ActiveCustomer","Karpen & Steel Products Inc - stage6 - ActiveCustomer",,
"La Costa Hotel & Spa","stage1","InactiveCustomer","La Costa Hotel & Spa - stage1 - InactiveCustomer",,
"Lafferty RF & Co Inc","stage2","ActiveCustomer","Lafferty RF & Co Inc - stage2 - ActiveCustomer",,
"Lake County","stage3","InactiveCustomer","Lake County - stage3 - InactiveCustomer",,
"Lakeland Village","stage4","ActiveCustomer","Lakeland Village - stage4 - ActiveCustomer",,
"Lexidata Corporation","stage5","InactiveCustomer","Lexidata Corporation - stage5 - InactiveCustomer",,
"Madonna Construction Co","stage6","ActiveCustomer","Madonna Construction Co - stage6 - ActiveCustomer",,
"Magma Power Co","stage1","InactiveCustomer","Magma Power Co - stage1 - InactiveCustomer",,
"Magna Mill Products","stage2","ActiveCustomer","Magna Mill Products - stage2 - ActiveCustomer",,
"Majestic Entertainment","stage3","InactiveCustomer","Majestic Entertainment - stage3 - InactiveCustomer",,
"Mall Side Sports","stage4","ActiveCustomer","Mall Side Sports - stage4 - ActiveCustomer",,
"N/S Corp","stage5","InactiveCustomer","N/S Corp - stage5 - InactiveCustomer",,
"Nardon Mfg Company Incorporated","stage6","ActiveCustomer","Nardon Mfg Company Incorporated - stage6 - ActiveCustomer",,
"Nash Direct","stage1","InactiveCustomer","Nash Direct - stage1 - InactiveCustomer",,
"National Assn of Printing Ink","stage2","ActiveCustomer","National Assn of Printing Ink - stage2 - ActiveCustomer",,
"Nixdorf Computer","stage3","InactiveCustomer","Nixdorf Computer - stage3 - InactiveCustomer",,
"O-Cel-O Div General Mills Inc.","stage4","ActiveCustomer","O-Cel-O Div General Mills Inc. - stage4 - ActiveCustomer",,
"Oakland Carbide Engineering &","stage5","InactiveCustomer","Oakland Carbide Engineering & - stage5 - InactiveCustomer",,
"Ocean Sports","stage6","ActiveCustomer","Ocean Sports - stage6 - ActiveCustomer",,
"Ocean Sports Wear","stage1","InactiveCustomer","Ocean Sports Wear - stage1 - InactiveCustomer",,
"OKeeffes Inc","stage2","ActiveCustomer","OKeeffes Inc - stage2 - ActiveCustomer",,
"P & C Food Markets Inc","stage3","InactiveCustomer","P & C Food Markets Inc - stage3 - InactiveCustomer",,
"P.S.C.","stage4","ActiveCustomer","P.S.C. - stage4 - ActiveCustomer",,
"PacDevco Inc","stage5","InactiveCustomer","PacDevco Inc - stage5 - InactiveCustomer",,
"Pace Press Inc","stage6","ActiveCustomer","Pace Press Inc - stage6 - ActiveCustomer",,
"Purity-Supreme Inc.","stage1","InactiveCustomer","Purity-Supreme Inc. - stage1 - InactiveCustomer",,
"Quadrex Corp","stage2","ActiveCustomer","Quadrex Corp - stage2 - ActiveCustomer",,
"Quaker Fashions","stage3","InactiveCustomer","Quaker Fashions - stage3 - InactiveCustomer",,
"Queensborough Public Library","stage4","ActiveCustomer","Queensborough Public Library - stage4 - ActiveCustomer",,
"Quinn/Brein Inc","stage5","InactiveCustomer","Quinn/Brein Inc - stage5 - InactiveCustomer",,
"Quota Systems Inc.","stage6","ActiveCustomer","Quota Systems Inc. - stage6 - ActiveCustomer",,
"R-F Industries Inc","stage1","InactiveCustomer","R-F Industries Inc - stage1 - InactiveCustomer",,
"Raceway Engines","stage2","ActiveCustomer","Raceway Engines - stage2 - ActiveCustomer",,
"Raleigh Active Wear","stage3","InactiveCustomer","Raleigh Active Wear - stage3 - InactiveCustomer",,
"Raleigh Co.","stage4","ActiveCustomer","Raleigh Co. - stage4 - ActiveCustomer",,
"Ralston Inc.","stage5","InactiveCustomer","Ralston Inc. - stage5 - InactiveCustomer",,
"Sabena-Belgian World Airlines","stage6","ActiveCustomer","Sabena-Belgian World Airlines - stage6 - ActiveCustomer",,
"Safeway Plumbing & Heating Inc","stage1","InactiveCustomer","Safeway Plumbing & Heating Inc - stage1 - InactiveCustomer",,
"Saint Johns University Staten","stage2","ActiveCustomer","Saint Johns University Staten - stage2 - ActiveCustomer",,
"Star Markets","stage3","InactiveCustomer","Star Markets - stage3 - InactiveCustomer",,
"State House Active Wear","stage4","ActiveCustomer","State House Active Wear - stage4 - ActiveCustomer",,
"Tapecon Inc","stage5","InactiveCustomer","Tapecon Inc - stage5 - InactiveCustomer",,
"TDA Industries Inc","stage6","ActiveCustomer","TDA Industries Inc - stage6 - ActiveCustomer",,
"TEAC Corp. of America","stage1","InactiveCustomer","TEAC Corp. of America - stage1 - InactiveCustomer",,
"Tech Fire & Safety Company","stage2","ActiveCustomer","Tech Fire & Safety Company - stage2 - ActiveCustomer",,
"Teradyne","stage3","InactiveCustomer","Teradyne - stage3 - InactiveCustomer",,
"UBAF Arab American Bank","stage4","ActiveCustomer","UBAF Arab American Bank - stage4 - ActiveCustomer",,
"UniAmerica Inc","stage5","InactiveCustomer","UniAmerica Inc - stage5 - InactiveCustomer",,
"Union Flights","stage6","ActiveCustomer","Union Flights - stage6 - ActiveCustomer",,
"United Artists Theater Circuit","stage1","InactiveCustomer","United Artists Theater Circuit - stage1 - InactiveCustomer",,
"United Can Co.","stage2","ActiveCustomer","United Can Co. - stage2 - ActiveCustomer",,
"Veritas Software","stage3","InactiveCustomer","Veritas Software - stage3 - InactiveCustomer",,
"Via Systems","stage4","ActiveCustomer","Via Systems - stage4 - ActiveCustomer",,
"Vicor","stage5","InactiveCustomer","Vicor - stage5 - InactiveCustomer",,
"Volga Boats","stage6","ActiveCustomer","Volga Boats - stage6 - ActiveCustomer",,
