Name,Data_ExternalId__c,AccountNumber,Employees
Rule Account 1,Rule Account 1,RulesAccount,1000
Rule Account 2,Rule Account 2,RulesAccount,1000
Rule Account 3,Rule Account 3,RulesAccount,1000
Rule Account 4,Rule Account 4,RulesAccount,1000
Rule Account 5,Rule Account 5,RulesAccount,1600
Rule Account 6,Rule Account 6,RulesAccount,1600
Rule Account 7,Rule Account 7,RulesAccount,1600
Rule Account 8,Rule Account 8,RulesAccount,1600
Rule Account 9,Rule Account 9,RulesAccount,555
Rule Account 10,Rule Account 10,RulesAccount,555
Rule Account 11,Rule Account 11,RulesAccount,555
Rule Account 12,Rule Account 12,RulesAccount,555
Rule Account 13,Rule Account 13,RulesAccount,300
Rule Account 14,Rule Account 14,RulesAccount,0
Rule Account 15,Rule Account 15,RulesAccount,0
Rule Account 16,Rule Account 16,RulesAccount,0
Rule Account 17,Rule Account 17,RulesAccount,0
Rule Account 18,Rule Account 18,RulesAccount,0
Rule Account 19,Rule Account 19,RulesAccount,0
Rule Account 20,Rule Account 20,RulesAccount,0
Rule Account 21,Rule Account 21,RulesAccount,0
Rule Account 22,Rule Account 22,RulesAccount,0
Rule Account 23,Rule Account 23,RulesAccount,0
Rule Account 24,Rule Account 24,RulesAccount,0
Rule Account 25,Rule Account 25,RulesAccount,0
Rule Account 26,Rule Account 26,RulesAccount,0
Rule Account 27,Rule Account 27,RulesAccount,0
Rule Account 28,Rule Account 28,RulesAccount,0
Rule Account 29,Rule Account 29,RulesAccount,0
Rule Account 30,Rule Account 30,RulesAccount,0
Rule Account 31,Rule Account 31,RulesAccount,0
Rule Account 32,Rule Account 32,RulesAccount,0
Rule Account 33,Rule Account 33,RulesAccount,0
Rule Account 34,Rule Account 34,RulesAccount,0
Rule Account 35,Rule Account 35,RulesAccount,0
Rule Account 36,Rule Account 36,RulesAccount,0
Rule Account 37,Rule Account 37,RulesAccount,0
Rule Account 38,Rule Account 38,RulesAccount,0
Rule Account 39,Rule Account 39,RulesAccount,0
Rule Account 40,Rule Account 40,RulesAccount,0
Rule Account 41,Rule Account 41,RulesAccount,0
Rule Account 42,Rule Account 42,RulesAccount,0
Rule Account 43,Rule Account 43,RulesAccount,0
Rule Account 44,Rule Account 44,RulesAccount,0
Rule Account 45,Rule Account 45,RulesAccount,0
Rule Account 46,Rule Account 46,RulesAccount,0
Rule Account 47,Rule Account 47,RulesAccount,0
Rule Account 48,Rule Account 48,RulesAccount,0
Rule Account 49,Rule Account 49,RulesAccount,0
Rule Account 50,Rule Account 50,RulesAccount,0
