JBCXM__Account__r.Data_ExternalId__c,JBCXM__Status__r.JBCXM__SystemName__c,JBCXM__Stage__r.JBCXM__SystemName__c,JBCXM__Comments__c
Rule Account 1,ActiveCustomer,stage1,Account Name : Rule Account 1 Status : ActiveCustomer
Rule Account 2,InactiveCustomer,stage2,Account Name : Rule Account 2 Status : InactiveCustomer
Rule Account 3,ActiveCustomer,stage3,Account Name : Rule Account 3 Status : ActiveCustomer
Rule Account 4,InactiveCustomer,stage4,Account Name : Rule Account 4 Status : InactiveCustomer
Rule Account 5,ActiveCustomer,stage5,Account Name : Rule Account 5 Status : ActiveCustomer
Rule Account 6,InactiveCustomer,stage6,Account Name : Rule Account 6 Status : InactiveCustomer
Rule Account 7,ActiveCustomer,stage1,Account Name : Rule Account 7 Status : ActiveCustomer
Rule Account 8,InactiveCustomer,stage2,Account Name : Rule Account 8 Status : InactiveCustomer
Rule Account 9,ActiveCustomer,stage3,Account Name : Rule Account 9 Status : ActiveCustomer
Rule Account 10,InactiveCustomer,stage4,Account Name : Rule Account 10 Status : InactiveCustomer
Rule Account 11,ActiveCustomer,stage5,Account Name : Rule Account 11 Status : ActiveCustomer
Rule Account 12,InactiveCustomer,stage6,Account Name : Rule Account 12 Status : InactiveCustomer
Rule Account 13,ActiveCustomer,stage1,Account Name : Rule Account 13 Status : ActiveCustomer
Rule Account 14,InactiveCustomer,stage2,Account Name : Rule Account 14 Status : InactiveCustomer
Rule Account 15,ActiveCustomer,stage3,Account Name : Rule Account 15 Status : ActiveCustomer
Rule Account 16,InactiveCustomer,stage4,Account Name : Rule Account 16 Status : InactiveCustomer
Rule Account 17,ActiveCustomer,stage5,Account Name : Rule Account 17 Status : ActiveCustomer
Rule Account 18,InactiveCustomer,stage6,Account Name : Rule Account 18 Status : InactiveCustomer
Rule Account 19,ActiveCustomer,stage1,Account Name : Rule Account 19 Status : ActiveCustomer
Rule Account 20,InactiveCustomer,stage2,Account Name : Rule Account 20 Status : InactiveCustomer
Rule Account 21,ActiveCustomer,stage3,Account Name : Rule Account 21 Status : ActiveCustomer
Rule Account 22,InactiveCustomer,stage4,Account Name : Rule Account 22 Status : InactiveCustomer
Rule Account 23,ActiveCustomer,stage5,Account Name : Rule Account 23 Status : ActiveCustomer
Rule Account 24,InactiveCustomer,stage6,Account Name : Rule Account 24 Status : InactiveCustomer
Rule Account 25,ActiveCustomer,stage1,Account Name : Rule Account 25 Status : ActiveCustomer
Rule Account 26,InactiveCustomer,stage2,Account Name : Rule Account 26 Status : InactiveCustomer
Rule Account 27,ActiveCustomer,stage3,Account Name : Rule Account 27 Status : ActiveCustomer
Rule Account 28,InactiveCustomer,stage4,Account Name : Rule Account 28 Status : InactiveCustomer
Rule Account 29,ActiveCustomer,stage5,Account Name : Rule Account 29 Status : ActiveCustomer
Rule Account 30,InactiveCustomer,stage6,Account Name : Rule Account 30 Status : InactiveCustomer
Rule Account 31,ActiveCustomer,stage1,Account Name : Rule Account 31 Status : ActiveCustomer
Rule Account 32,InactiveCustomer,stage2,Account Name : Rule Account 32 Status : InactiveCustomer
Rule Account 33,ActiveCustomer,stage3,Account Name : Rule Account 33 Status : ActiveCustomer
Rule Account 34,InactiveCustomer,stage4,Account Name : Rule Account 34 Status : InactiveCustomer
Rule Account 35,ActiveCustomer,stage5,Account Name : Rule Account 35 Status : ActiveCustomer
Rule Account 36,InactiveCustomer,stage6,Account Name : Rule Account 36 Status : InactiveCustomer
Rule Account 37,ActiveCustomer,stage1,Account Name : Rule Account 37 Status : ActiveCustomer
Rule Account 38,InactiveCustomer,stage2,Account Name : Rule Account 38 Status : InactiveCustomer
Rule Account 39,ActiveCustomer,stage3,Account Name : Rule Account 39 Status : ActiveCustomer
Rule Account 40,InactiveCustomer,stage4,Account Name : Rule Account 40 Status : InactiveCustomer
Rule Account 41,ActiveCustomer,stage5,Account Name : Rule Account 41 Status : ActiveCustomer
Rule Account 42,InactiveCustomer,stage6,Account Name : Rule Account 42 Status : InactiveCustomer
Rule Account 43,ActiveCustomer,stage1,Account Name : Rule Account 43 Status : ActiveCustomer
Rule Account 44,InactiveCustomer,stage2,Account Name : Rule Account 44 Status : InactiveCustomer
Rule Account 45,ActiveCustomer,stage3,Account Name : Rule Account 45 Status : ActiveCustomer
Rule Account 46,InactiveCustomer,stage4,Account Name : Rule Account 46 Status : InactiveCustomer
Rule Account 47,ActiveCustomer,stage5,Account Name : Rule Account 47 Status : ActiveCustomer
Rule Account 48,InactiveCustomer,stage6,Account Name : Rule Account 48 Status : InactiveCustomer
Rule Account 49,ActiveCustomer,stage1,Account Name : Rule Account 49 Status : ActiveCustomer
Rule Account 50,InactiveCustomer,stage2,Account Name : Rule Account 50 Status : InactiveCustomer
