JBCXM__Account__r.Data_ExternalID__c,JBCXM__Date__c,Page_Visits__c,Page_Views__c,No_of_Report_Run__c,Files_Downloaded__c,Name
AAR Corp Hardware Abscoa Division,-4,5000,690,746,1000,ACCOUNTLEVEL
AAR Corp Hardware Abscoa Division,-3,2400,359,684,1000,ACCOUNTLEVEL
AAR Corp Hardware Abscoa Division,-2,1100,247,839,1000,ACCOUNTLEVEL
AAR Corp Hardware Abscoa Division,-1,400,208,609,1000,ACCOUNTLEVEL
Abacus Programming Corporation,-4,790,290,120,563,ACCOUNTLEVEL
Abacus Programming Corporation,-3,720,670,124,593,ACCOUNTLEVEL
Abacus Programming Corporation,-2,670,700,130,799,ACCOUNTLEVEL
Abacus Programming Corporation,-1,590,710,145,761,ACCOUNTLEVEL
Abberley Kooiman,-4,520,211,548,400,ACCOUNTLEVEL
Abberley Kooiman,-3,590,566,591,400,ACCOUNTLEVEL
Abberley Kooiman,-2,430,663,750,400,ACCOUNTLEVEL
Abberley Kooiman,-1,490,474,691,400,ACCOUNTLEVEL
Abbett Electric Corp,-4,577,424,400,476,ACCOUNTLEVEL
Abbett Electric Corp,-3,508,254,900,629,ACCOUNTLEVEL
Abbett Electric Corp,-2,698,403,1900,600,ACCOUNTLEVEL
Abbett Electric Corp,-1,513,523,4000,405,ACCOUNTLEVEL
Abbey Press Inc,-4,675,574,614,1800,ACCOUNTLEVEL
Abbey Press Inc,-3,245,446,312,1600,ACCOUNTLEVEL
Abbey Press Inc,-2,607,546,662,1200,ACCOUNTLEVEL
Abbey Press Inc,-1,566,456,585,1100,ACCOUNTLEVEL
Bachman Information System Inc.,-4,1760,1700,700,620,ACCOUNTLEVEL
Bachman Information System Inc.,-3,1760,1800,1000,346,ACCOUNTLEVEL
Bachman Information System Inc.,-2,1760,1900,2000,561,ACCOUNTLEVEL
Bachman Information System Inc.,-1,1760,2000,3000,505,ACCOUNTLEVEL
