JBCXM__Account__r.Data_ExternalID__c,JBCXM__InstanceId__c,JBCXM__InstanceName__c,JBCXM__Date__c,Page_Visits__c,Page_Views__c,No_of_Report_Run__c,Files_Downloaded__c,Name
Rule Account 1,Rule Account 1 - Production 1,Rule Account 1 - Production 1,-1,1000,2000,900,1100,INSTANCELEVEL
Rule Account 2,Rule Account 2 - Production 1,Rule Account 2 - Production 1,-1,500,600,490,510,INSTANCELEVEL
Rule Account 3,Rule Account 3 - Production 1,Rule Account 3 - Production 1,-5,800,700,,500,INSTANCELEVEL
Rule Account 3,Rule Account 3 - Production 1,Rule Account 3 - Production 1,-4,700,500,400,600,INSTANCELEVEL
Rule Account 3,Rule Account 3 - Production 1,Rule Account 3 - Production 1,-3,600,400,600,700,INSTANCELEVEL
Rule Account 3,Rule Account 3 - Production 1,Rule Account 3 - Production 1,-2,500,600,500,800,INSTANCELEVEL
Rule Account 3,Rule Account 3 - Production 1,Rule Account 3 - Production 1,-1,410,390,280,900,INSTANCELEVEL
Rule Account 4,Rule Account 4 - Production 1,Rule Account 4 - Production 1,-5,800,700,400,500,INSTANCELEVEL
Rule Account 4,Rule Account 4 - Production 1,Rule Account 4 - Production 1,-4,700,500,,600,INSTANCELEVEL
Rule Account 4,Rule Account 4 - Production 1,Rule Account 4 - Production 1,-3,600,400,600,700,INSTANCELEVEL
Rule Account 4,Rule Account 4 - Production 1,Rule Account 4 - Production 1,-2,500,600,500,800,INSTANCELEVEL
Rule Account 4,Rule Account 4 - Production 1,Rule Account 4 - Production 1,-1,850,700,745,900,INSTANCELEVEL
Rule Account 5,Rule Account 5 - Production 1,Rule Account 5 - Production 1,-5,400,345,456,323,INSTANCELEVEL
Rule Account 5,Rule Account 5 - Production 1,Rule Account 5 - Production 1,-4,500,345,456,666,INSTANCELEVEL
Rule Account 5,Rule Account 5 - Production 1,Rule Account 5 - Production 1,-3,600,345,46,777,INSTANCELEVEL
Rule Account 5,Rule Account 5 - Production 1,Rule Account 5 - Production 1,-2,450,23,45,444,INSTANCELEVEL
Rule Account 5,Rule Account 5 - Production 1,Rule Account 5 - Production 1,-1,550,565,547,656,INSTANCELEVEL
Rule Account 6,Rule Account 6 - Production 1,Rule Account 6 - Production 1,-5,400,345,456,323,INSTANCELEVEL
Rule Account 6,Rule Account 6 - Production 1,Rule Account 6 - Production 1,-4,500,345,456,666,INSTANCELEVEL
Rule Account 6,Rule Account 6 - Production 1,Rule Account 6 - Production 1,-3,600,345,46,777,INSTANCELEVEL
Rule Account 6,Rule Account 6 - Production 1,Rule Account 6 - Production 1,-2,450,23,45,444,INSTANCELEVEL
Rule Account 6,Rule Account 6 - Production 1,Rule Account 6 - Production 1,-1,550,565,547,656,INSTANCELEVEL
Rule Account 7,Rule Account 7 - Production 1,Rule Account 7 - Production 1,-5,400,345,456,323,INSTANCELEVEL
Rule Account 7,Rule Account 7 - Production 1,Rule Account 7 - Production 1,-4,500,345,456,666,INSTANCELEVEL
Rule Account 7,Rule Account 7 - Production 1,Rule Account 7 - Production 1,-3,700,,46,,INSTANCELEVEL
Rule Account 7,Rule Account 7 - Production 1,Rule Account 7 - Production 1,-2,,1,,,INSTANCELEVEL
Rule Account 7,Rule Account 7 - Production 1,Rule Account 7 - Production 1,-1,900,550,547,655,INSTANCELEVEL
Rule Account 8,Rule Account 8 - Production 1,Rule Account 8 - Production 1,-5,400,345,456,323,INSTANCELEVEL
Rule Account 8,Rule Account 8 - Production 1,Rule Account 8 - Production 1,-4,500,345,456,666,INSTANCELEVEL
Rule Account 8,Rule Account 8 - Production 1,Rule Account 8 - Production 1,-3,700,,46,,INSTANCELEVEL
Rule Account 8,Rule Account 8 - Production 1,Rule Account 8 - Production 1,-2,,,,,INSTANCELEVEL
Rule Account 8,Rule Account 8 - Production 1,Rule Account 8 - Production 1,-1,900,565,547,656,INSTANCELEVEL
Rule Account 9,Rule Account 9 - Production 1,Rule Account 9 - Production 1,-5,345,345,234,345,INSTANCELEVEL
Rule Account 9,Rule Account 9 - Production 1,Rule Account 9 - Production 1,-4,564,453,2432,22,INSTANCELEVEL
Rule Account 9,Rule Account 9 - Production 1,Rule Account 9 - Production 1,-3,765,564,567,645,INSTANCELEVEL
Rule Account 9,Rule Account 9 - Production 1,Rule Account 9 - Production 1,-2,345,342,22,435,INSTANCELEVEL
Rule Account 9,Rule Account 9 - Production 1,Rule Account 9 - Production 1,-1,765,645,343,888,INSTANCELEVEL
Rule Account 10,Rule Account 10 - Production 1,Rule Account 10 - Production 1,-5,345,345,234,345,INSTANCELEVEL
Rule Account 10,Rule Account 10 - Production 1,Rule Account 10 - Production 1,-4,564,453,2432,22,INSTANCELEVEL
Rule Account 10,Rule Account 10 - Production 1,Rule Account 10 - Production 1,-3,765,564,567,645,INSTANCELEVEL
Rule Account 10,Rule Account 10 - Production 1,Rule Account 10 - Production 1,-2,345,342,22,435,INSTANCELEVEL
Rule Account 10,Rule Account 10 - Production 1,Rule Account 10 - Production 1,-1,765,645,343,888,INSTANCELEVEL
Rule Account 11,Rule Account 11 - Production 1,Rule Account 11 - Production 1,-5,345,345,234,345,INSTANCELEVEL
Rule Account 11,Rule Account 11 - Production 1,Rule Account 11 - Production 1,-4,564,453,2432,22,INSTANCELEVEL
Rule Account 11,Rule Account 11 - Production 1,Rule Account 11 - Production 1,-3,765,,567,,INSTANCELEVEL
Rule Account 11,Rule Account 11 - Production 1,Rule Account 11 - Production 1,-2,,,,790,INSTANCELEVEL
Rule Account 11,Rule Account 11 - Production 1,Rule Account 11 - Production 1,-1,555,500,455,888,INSTANCELEVEL
Rule Account 12 ,Rule Account 12  - Production 1,Rule Account 12  - Production 1,-5,345,345,234,345,INSTANCELEVEL
Rule Account 12 ,Rule Account 12  - Production 1,Rule Account 12  - Production 1,-4,564,453,2432,22,INSTANCELEVEL
Rule Account 12 ,Rule Account 12  - Production 1,Rule Account 12  - Production 1,-3,765,,567,,INSTANCELEVEL
Rule Account 12 ,Rule Account 12  - Production 1,Rule Account 12  - Production 1,-2,,,,790,INSTANCELEVEL
Rule Account 12 ,Rule Account 12  - Production 1,Rule Account 12  - Production 1,-1,555,601,350,890,INSTANCELEVEL
Rule Account 13,Rule Account 13 - Production 1,Rule Account 13 - Production 1,-5,300,345,4233,200,INSTANCELEVEL
Rule Account 13,Rule Account 13 - Production 1,Rule Account 13 - Production 1,-4,300,345,199,301,INSTANCELEVEL
Rule Account 13,Rule Account 13 - Production 1,Rule Account 13 - Production 1,-3,300,654,299,299,INSTANCELEVEL
Rule Account 13,Rule Account 13 - Production 1,Rule Account 13 - Production 1,-2,300,345,289,499,INSTANCELEVEL
Rule Account 13,Rule Account 13 - Production 1,Rule Account 13 - Production 1,-1,300,324,99,302,INSTANCELEVEL
Rule Account 14,Rule Account 14 - Production 1,Rule Account 14 - Production 1,-5,300,345,4233,200,INSTANCELEVEL
Rule Account 14,Rule Account 14 - Production 1,Rule Account 14 - Production 1,-4,300,345,199,301,INSTANCELEVEL
Rule Account 14,Rule Account 14 - Production 1,Rule Account 14 - Production 1,-3,300,654,299,399,INSTANCELEVEL
Rule Account 14,Rule Account 14 - Production 1,Rule Account 14 - Production 1,-2,300,345,289,499,INSTANCELEVEL
Rule Account 14,Rule Account 14 - Production 1,Rule Account 14 - Production 1,-1,300,324,99,302,INSTANCELEVEL
