JBCXM__Account__r.Data_ExternalID__c,Name,JBCXM__Date__c,Page_Visits__c,Page_Views__c,No_of_Report_Run__c,Files_Downloaded__c
Rules Engine Account1,ACCOUNTLEVEL,-3,5000,690,746,200
Rules Engine Account1,ACCOUNTLEVEL,-2,2400,359,684,250
Rules Engine Account1,ACCOUNTLEVEL,-1,1100,247,839,300
Rules Engine Account1,ACCOUNTLEVEL,0,400,208,609,375
Rules Engine Account2,ACCOUNTLEVEL,-3,790,290,120,563
Rules Engine Account2,ACCOUNTLEVEL,-2,720,670,124,593
Rules Engine Account2,ACCOUNTLEVEL,-1,670,700,130,799
Rules Engine Account2,ACCOUNTLEVEL,0,590,710,145,761
Rules Engine Account3,ACCOUNTLEVEL,-3,520,211,548,400
Rules Engine Account3,ACCOUNTLEVEL,-2,590,566,591,400
Rules Engine Account3,ACCOUNTLEVEL,-1,430,663,750,400
Rules Engine Account3,ACCOUNTLEVEL,0,490,474,691,400
Rules Engine Account4,ACCOUNTLEVEL,-3,577,424,400,476
Rules Engine Account4,ACCOUNTLEVEL,-2,508,254,900,629
Rules Engine Account4,ACCOUNTLEVEL,-1,698,403,1900,600
Rules Engine Account4,ACCOUNTLEVEL,0,513,523,4000,405
Rules Engine Account5,ACCOUNTLEVEL,-3,675,574,614,1800
Rules Engine Account5,ACCOUNTLEVEL,-2,245,446,312,1600
Rules Engine Account5,ACCOUNTLEVEL,-1,607,546,662,1200
Rules Engine Account5,ACCOUNTLEVEL,0,566,456,585,1100
Rules Engine Account6,ACCOUNTLEVEL,-3,1760,1700,700,620
Rules Engine Account6,ACCOUNTLEVEL,-2,1760,1800,1000,346
Rules Engine Account6,ACCOUNTLEVEL,-1,1760,1900,2000,561
Rules Engine Account6,ACCOUNTLEVEL,0,1760,2000,3000,505
