JBCXM__Account__r.Data_ExternalID__c,Name,JBCXM__Date__c,JBCXM__InstanceId__c,JBCXM__InstanceName__c,Page_Visits__c,Page_Views__c,No_of_Report_Run__c,Files_Downloaded__c
Rules Engine Account1,INSTANCELEVEL,-3,Instance 1,Rules Engine Account1 - Instance 1,100,207,214,500
Rules Engine Account1,INSTANCELEVEL,-2,Instance 1,Rules Engine Account1 - Instance 1,120,170,222,200
Rules Engine Account1,INSTANCELEVEL,-1,Instance 1,Rules Engine Account1 - Instance 1,130,185,178,100
Rules Engine Account1,INSTANCELEVEL,0,Instance 1,Rules Engine Account1 - Instance 1,140,206,210,50
Rules Engine Account1,INSTANCELEVEL,-3,Instance 2,Rules Engine Account1 - Instance 2,98,198,200,200
Rules Engine Account1,INSTANCELEVEL,-2,Instance 2,Rules Engine Account1 - Instance 2,103,202,187,150
Rules Engine Account1,INSTANCELEVEL,-1,Instance 2,Rules Engine Account1 - Instance 2,107,175,271,140
Rules Engine Account1,INSTANCELEVEL,0,Instance 2,Rules Engine Account1 - Instance 2,110,201,209,120
Rules Engine Account1,INSTANCELEVEL,-3,Instance 3,Rules Engine Account1 - Instance 3,123,174,180,160
Rules Engine Account1,INSTANCELEVEL,-2,Instance 3,Rules Engine Account1 - Instance 3,126,192,246,159
Rules Engine Account1,INSTANCELEVEL,-1,Instance 3,Rules Engine Account1 - Instance 3,128,178,224,150
Rules Engine Account1,INSTANCELEVEL,0,Instance 3,Rules Engine Account1 - Instance 3,130,198,290,150
Rules Engine Account2,INSTANCELEVEL,-3,Instance 1,Rules Engine Account2 - Instance 1,101,280,160,151
Rules Engine Account2,INSTANCELEVEL,-2,Instance 1,Rules Engine Account2 - Instance 1,188,260,107,197
Rules Engine Account2,INSTANCELEVEL,-1,Instance 1,Rules Engine Account2 - Instance 1,162,250,239,179
Rules Engine Account2,INSTANCELEVEL,0,Instance 1,Rules Engine Account2 - Instance 1,171,260,249,165
Rules Engine Account2,INSTANCELEVEL,-3,Instance 2,Rules Engine Account2 - Instance 2,171,280,262,172
Rules Engine Account2,INSTANCELEVEL,-2,Instance 2,Rules Engine Account2 - Instance 2,152,190,90,185
Rules Engine Account2,INSTANCELEVEL,-1,Instance 2,Rules Engine Account2 - Instance 2,146,100,223,150
Rules Engine Account2,INSTANCELEVEL,0,Instance 2,Rules Engine Account2 - Instance 2,91,50,108,177
Rules Engine Account2,INSTANCELEVEL,-3,Instance 3,Rules Engine Account2 - Instance 3,249,190,195,188
Rules Engine Account2,INSTANCELEVEL,-2,Instance 3,Rules Engine Account2 - Instance 3,195,189,127,160
Rules Engine Account2,INSTANCELEVEL,-1,Instance 3,Rules Engine Account2 - Instance 3,252,180,90,174
Rules Engine Account2,INSTANCELEVEL,0,Instance 3,Rules Engine Account2 - Instance 3,200,190,208,159
Rules Engine Account3,INSTANCELEVEL,-3,Instance 1,Rules Engine Account3 - Instance 1,205,116,137,169
Rules Engine Account3,INSTANCELEVEL,-2,Instance 1,Rules Engine Account3 - Instance 1,189,116,189,121
Rules Engine Account3,INSTANCELEVEL,-1,Instance 1,Rules Engine Account3 - Instance 1,258,118,177,155
Rules Engine Account3,INSTANCELEVEL,0,Instance 1,Rules Engine Account3 - Instance 1,100,134,125,168
Rules Engine Account3,INSTANCELEVEL,-3,Instance 2,Rules Engine Account3 - Instance 2,211,109,119,154
Rules Engine Account3,INSTANCELEVEL,-2,Instance 2,Rules Engine Account3 - Instance 2,159,100,154,159
Rules Engine Account3,INSTANCELEVEL,-1,Instance 2,Rules Engine Account3 - Instance 2,224,106,108,160
Rules Engine Account3,INSTANCELEVEL,0,Instance 2,Rules Engine Account3 - Instance 2,170,120,110,159
Rules Engine Account3,INSTANCELEVEL,-3,Instance 3,Rules Engine Account3 - Instance 3,245,147,165,141
Rules Engine Account3,INSTANCELEVEL,-2,Instance 3,Rules Engine Account3 - Instance 3,250,143,185,124
Rules Engine Account3,INSTANCELEVEL,-1,Instance 3,Rules Engine Account3 - Instance 3,267,100,205,124
Rules Engine Account3,INSTANCELEVEL,0,Instance 3,Rules Engine Account3 - Instance 3,224,135,225,143
Rules Engine Account4,INSTANCELEVEL,-3,Instance 1,Rules Engine Account4 - Instance 1,162,245,157,120
Rules Engine Account4,INSTANCELEVEL,-2,Instance 1,Rules Engine Account4 - Instance 1,144,245,171,130
Rules Engine Account4,INSTANCELEVEL,-1,Instance 1,Rules Engine Account4 - Instance 1,138,245,151,145
Rules Engine Account4,INSTANCELEVEL,0,Instance 1,Rules Engine Account4 - Instance 1,155,245,187,160
Rules Engine Account4,INSTANCELEVEL,-3,Instance 2,Rules Engine Account4 - Instance 2,152,174,185,180
Rules Engine Account4,INSTANCELEVEL,-2,Instance 2,Rules Engine Account4 - Instance 2,159,153,175,179
Rules Engine Account4,INSTANCELEVEL,-1,Instance 2,Rules Engine Account4 - Instance 2,141,123,157,165
Rules Engine Account4,INSTANCELEVEL,0,Instance 2,Rules Engine Account4 - Instance 2,167,177,180,170
Rules Engine Account5,INSTANCELEVEL,-3,Instance 1,Rules Engine Account5 - Instance 1,500,219,122,120
Rules Engine Account5,INSTANCELEVEL,-2,Instance 1,Rules Engine Account5 - Instance 1,200,225,183,110
Rules Engine Account5,INSTANCELEVEL,-1,Instance 1,Rules Engine Account5 - Instance 1,100,209,167,113
Rules Engine Account5,INSTANCELEVEL,0,Instance 1,Rules Engine Account5 - Instance 1,50,246,145,128
Rules Engine Account5,INSTANCELEVEL,-3,Instance 2,Rules Engine Account5 - Instance 2,500,266,263,130
Rules Engine Account5,INSTANCELEVEL,-2,Instance 2,Rules Engine Account5 - Instance 2,200,196,160,109
Rules Engine Account5,INSTANCELEVEL,-1,Instance 2,Rules Engine Account5 - Instance 2,100,144,245,115
