JBCXM__Account__r.Data_ExternalID__c,Name,JBCXM__Date__c,JBCXM__User__c,Page_Visits__c,Page_Views__c,No_of_Report_Run__c,Files_Downloaded__c
Rules Engine Account1,USERLEVEL,-4,User 1,16312,7727,10056,18456
Rules Engine Account1,USERLEVEL,-4,User 2,16312,7727,10056,18456
Rules Engine Account1,USERLEVEL,-4,User 3,16312,7727,10056,18456
Rules Engine Account1,USERLEVEL,-3,User 1,5020,4014,5583,16857
Rules Engine Account1,USERLEVEL,-3,User 2,5020,4014,5583,16857
Rules Engine Account1,USERLEVEL,-3,User 3,5020,4014,5583,16857
Rules Engine Account1,USERLEVEL,-2,User 1,5595,1311,14366,9312
Rules Engine Account1,USERLEVEL,-2,User 2,5595,1311,14366,9312
Rules Engine Account1,USERLEVEL,-2,User 3,5595,1311,14366,9312
Rules Engine Account1,USERLEVEL,-1,User 1,1167,138,2790,16639
Rules Engine Account1,USERLEVEL,-1,User 2,1167,138,2790,16639
Rules Engine Account1,USERLEVEL,-1,User 3,1167,138,2790,16639
