JBCXM__Account__r.Data_ExternalID__c,Name,JBCXM__Date__c,JBCXM__InstanceId__c,JBCXM__InstanceName__c,Page_Visits__c,Page_Views__c,No_of_Report_Run__c,Files_Downloaded__c
Rules Engine Account1,INSTANCELEVEL,-4,Instance 1,Rules Engine Account1 - Instance 1,16312,7727,10056,18456
Rules Engine Account1,INSTANCELEVEL,-4,Instance 2,Rules Engine Account1 - Instance 2,16312,7727,10056,18456
Rules Engine Account1,INSTANCELEVEL,-4,Instance 3,Rules Engine Account1 - Instance 3,16312,7727,10056,18456
Rules Engine Account1,INSTANCELEVEL,-3,Instance 1,Rules Engine Account1 - Instance 1,5020,4014,5583,16857
Rules Engine Account1,INSTANCELEVEL,-3,Instance 2,Rules Engine Account1 - Instance 2,5020,4014,5583,16857
Rules Engine Account1,INSTANCELEVEL,-3,Instance 3,Rules Engine Account1 - Instance 3,5020,4014,5583,16857
Rules Engine Account1,INSTANCELEVEL,-2,Instance 1,Rules Engine Account1 - Instance 1,5595,13114,14366,9312
Rules Engine Account1,INSTANCELEVEL,-2,Instance 2,Rules Engine Account1 - Instance 2,5595,13114,14366,9312
Rules Engine Account1,INSTANCELEVEL,-2,Instance 3,Rules Engine Account1 - Instance 3,5595,13114,14366,9312
Rules Engine Account1,INSTANCELEVEL,-1,Instance 1,Rules Engine Account1 - Instance 1,1167,13894,2790,16639
Rules Engine Account1,INSTANCELEVEL,-1,Instance 2,Rules Engine Account1 - Instance 2,1167,13894,2790,16639
Rules Engine Account1,INSTANCELEVEL,-1,Instance 3,Rules Engine Account1 - Instance 3,1167,13894,2790,16639
Rules Engine Account2,INSTANCELEVEL,-4,Instance 1,Rules Engine Account2 - Instance 1,13114,14707,11246,18801
Rules Engine Account2,INSTANCELEVEL,-4,Instance 2,Rules Engine Account2 - Instance 2,13114,14707,11246,18801
Rules Engine Account2,INSTANCELEVEL,-4,Instance 3,Rules Engine Account2 - Instance 3,13114,14707,11246,18801
Rules Engine Account2,INSTANCELEVEL,-3,Instance 1,Rules Engine Account2 - Instance 1,17216,6258,8252,17600
Rules Engine Account2,INSTANCELEVEL,-3,Instance 2,Rules Engine Account2 - Instance 2,17216,6258,8252,17600
Rules Engine Account2,INSTANCELEVEL,-3,Instance 3,Rules Engine Account2 - Instance 3,17216,6258,8252,17600
Rules Engine Account2,INSTANCELEVEL,-2,Instance 1,Rules Engine Account2 - Instance 1,9873,17756,4076,2465
Rules Engine Account2,INSTANCELEVEL,-2,Instance 2,Rules Engine Account2 - Instance 2,9873,17756,4076,2465
Rules Engine Account2,INSTANCELEVEL,-2,Instance 3,Rules Engine Account2 - Instance 3,9873,17756,4076,2465
Rules Engine Account2,INSTANCELEVEL,-1,Instance 1,Rules Engine Account2 - Instance 1,16698,9665,6081,14522
Rules Engine Account2,INSTANCELEVEL,-1,Instance 2,Rules Engine Account2 - Instance 2,16698,9665,6081,14522
Rules Engine Account2,INSTANCELEVEL,-1,Instance 3,Rules Engine Account2 - Instance 3,16698,9665,6081,14522
Rules Engine Account3,INSTANCELEVEL,-4,Instance 1,Rules Engine Account3 - Instance 1,10346,12675,17413,1298
Rules Engine Account3,INSTANCELEVEL,-4,Instance 2,Rules Engine Account3 - Instance 2,10346,12675,17413,1298
Rules Engine Account3,INSTANCELEVEL,-4,Instance 3,Rules Engine Account3 - Instance 3,10346,12675,17413,1298
Rules Engine Account3,INSTANCELEVEL,-3,Instance 1,Rules Engine Account3 - Instance 1,3245,11956,13580,2035
Rules Engine Account3,INSTANCELEVEL,-3,Instance 2,Rules Engine Account3 - Instance 2,3245,11956,13580,2035
Rules Engine Account3,INSTANCELEVEL,-3,Instance 3,Rules Engine Account3 - Instance 3,3245,11956,13580,2035
Rules Engine Account3,INSTANCELEVEL,-2,Instance 1,Rules Engine Account3 - Instance 1,15333,13539,1380,9685
Rules Engine Account3,INSTANCELEVEL,-2,Instance 2,Rules Engine Account3 - Instance 2,15333,13539,1380,9685
Rules Engine Account3,INSTANCELEVEL,-2,Instance 3,Rules Engine Account3 - Instance 3,15333,13539,1380,9685
Rules Engine Account3,INSTANCELEVEL,-1,Instance 1,Rules Engine Account3 - Instance 1,592,17239,14666,10295
Rules Engine Account3,INSTANCELEVEL,-1,Instance 2,Rules Engine Account3 - Instance 2,592,17239,14666,10295
Rules Engine Account3,INSTANCELEVEL,-1,Instance 3,Rules Engine Account3 - Instance 3,592,17239,14666,10295
