Name,ActiveAccount__c,InputDate__c,InputDateTime__c,NumberOfEmployees,AccPercentage__c,AnnualRevenue,AccountSource,Industry,Type,InRegions__c,Data_ExternalId__c,AccountNumber
Survey Rule Account 1,TRUE,1,-5,,,,Web,,Prospect,India,Survey Rule Account 1,RulesAccount
Survey Rule Account 2,FALSE,2,5,,,,Phone Inquiry,,Customer - Direct,America,Survey Rule Account 2,RulesAccount
Survey Rule Account 3,TRUE,4,10,,,,Partner Referral,,Customer - Channel,England,Survey Rule Account 3,RulesAccount
Survey Rule Account 4,,5,30,,,,Purchased List,,Channel Partner / Reseller,France,Survey Rule Account 4,RulesAccount
Survey Rule Account 5,,6,40,,,,Other,,Installation Partner,Italy,Survey Rule Account 5,RulesAccount
Survey Rule Account 6,,-1,0,,,,,,Technology Partner,Germany,Survey Rule Account 6,RulesAccount
Survey Rule Account 7,,-2,-3,,,,,,Other,Japan,Survey Rule Account 7,RulesAccount
Survey Rule Account 8,,-5,-5,,,,,,,China,Survey Rule Account 8,RulesAccount
Survey Rule Account 9,,-9,-40,,,,,,,Australia,Survey Rule Account 9,RulesAccount
Survey Rule Account 10,,0,,,,,,,,Russia,Survey Rule Account 10,RulesAccount
Survey Rule Account 11,,,,,,,,,,Africa,Survey Rule Account 11,RulesAccount
Survey Rule Account 12,,,,,,,,,,Arab ,Survey Rule Account 12,RulesAccount
Survey Rule Account 13,,,,,,,,,,,Survey Rule Account 13,RulesAccount
Survey Rule Account 14,,,,,,,,,,,Survey Rule Account 14,RulesAccount
Survey Rule Account 15,,,,,,,,,,,Survey Rule Account 15,RulesAccount
Survey Rule Account 16,,,,,,,,,,,Survey Rule Account 16,RulesAccount
Survey Rule Account 17,,,,,,,,,,,Survey Rule Account 17,RulesAccount
Survey Rule Account 18,,,,,,,,,,,Survey Rule Account 18,RulesAccount
Survey Rule Account 19,,,,,,,,,,,Survey Rule Account 19,RulesAccount
Survey Rule Account 20,,,,,,,,,,,Survey Rule Account 20,RulesAccount
