Account,Name,Date,Page_Visits__c,Page_Views__c,No_of_Report_Run__c,Files_Downloaded__c,Emails_Sent_Count__c,No_of_Campaigns__c,Active_Users__c,DB_Size__c,Leads__c
A and T unlimit Limited,ACCOUNTLEVEL,-25,16312,7727,10056,18456,362,846,72,1466,2077
Sienna Gold Ltd,ACCOUNTLEVEL,-25,5020,4014,5583,16857,528,722,418,1720,1896
COLD EXPRESS SA DE CV,ACCOUNTLEVEL,-25,5595,13114,14366,9312,676,880,353,1467,1515
Murex N.A. Ltd,ACCOUNTLEVEL,-25,1167,13894,2790,16639,766,651,465,1953,1891
Via Systems,ACCOUNTLEVEL,-25,13114,14707,11246,18801,545,700,59,1859,2357
DAKTEL COMUNICACIONES SA DE CV,ACCOUNTLEVEL,-25,17216,6258,8252,17600,691,715,312,1554,1815
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,ACCOUNTLEVEL,-25,9873,17756,4076,2465,339,881,90,1780,1582
OBED GERARDO ARELLANO GUTIERREZ,ACCOUNTLEVEL,-25,16698,9665,6081,14522,439,667,228,1780,1858
REFRIGERACION COMER AGROPECU,ACCOUNTLEVEL,-25,10346,12675,17413,1298,713,674,17,1640,2332
Anunay Fab Ltd,ACCOUNTLEVEL,-25,3245,11956,13580,2035,590,909,382,1740,1681
SUPER URECOAT INDUSTRIES,ACCOUNTLEVEL,-25,15333,13539,1380,968,728,807,500,1941,1761
Jadow B & Sons Inc,ACCOUNTLEVEL,-25,592,17239,14666,10295,562,970,317,1120,2269
Republic of Nauru Phosphate (RONPHOS) Corporation,ACCOUNTLEVEL,-25,12225,386,16058,2933,685,1058,81,1617,1981
CARHLUC CARROCERIAS Y REMOLQUES SA DE CV,ACCOUNTLEVEL,-25,10903,9707,9711,11016,373,990,306,1756,1849
Alltech Automotive LLC,ACCOUNTLEVEL,-25,7159,15604,10511,6927,796,748,475,1287,1902
DALE VALOR A MEXICO SC,ACCOUNTLEVEL,-25,5156,10976,2541,7810,381,790,472,1933,1815
SPIN MASTER MEXICO SA DE CV,ACCOUNTLEVEL,-25,9575,4140,16507,2955,762,983,114,1374,1897
ATTEBURY GRAIN,ACCOUNTLEVEL,-25,867,13099,7564,18140,423,1009,164,1610,1821
Vicor,ACCOUNTLEVEL,-25,3328,5879,8428,4473,482,1069,334,1661,1835
Baja Inc,ACCOUNTLEVEL,-25,18436,17778,4763,11707,729,947,253,1950,1937
National Assn of Printing Ink,ACCOUNTLEVEL,-25,11188,11452,4605,9583,523,745,120,1860,1953
MA PATRICIA ROSALES HERNANDEZ,ACCOUNTLEVEL,-25,578,4621,5700,13691,344,607,19,1128,1833
