Account,Name,Date,Page_Visits__c,Page_Views__c,No_of_Report_Run__c,Files_Downloaded__c,Emails_Sent_Count__c,No_of_Campaigns__c,Active_Users__c,DB_Size__c,Leads__c
A and T unlimit Limited,ACCOUNTLEVEL,-25,3837,5969,8520,9692,362,846,72,1466,2077
Sienna Gold Ltd,ACCOUNTLEVEL,-25,8774,5769,8841,7653,528,722,418,1720,1896
COLD EXPRESS SA DE CV,ACCOUNTLEVEL,-25,3042,13980,5873,2948,676,880,353,1467,1515
Murex N.A. Ltd,ACCOUNTLEVEL,-25,8213,6288,10784,12023,766,651,465,1953,1891
Via Systems,ACCOUNTLEVEL,-25,8900,2004,921,11042,545,700,59,1859,2357
DAKTEL COMUNICACIONES SA DE CV,ACCOUNTLEVEL,-25,12293,14943,3862,3289,691,715,312,1554,1815
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,ACCOUNTLEVEL,-25,7247,14715,776,9594,339,881,90,1780,1582
OBED GERARDO ARELLANO GUTIERREZ,ACCOUNTLEVEL,-25,14300,2073,12478,13350,439,667,228,1780,1858
REFRIGERACION COMER AGROPECU,ACCOUNTLEVEL,-25,1299,7006,535,4073,713,674,17,1640,2332
Anunay Fab Ltd,ACCOUNTLEVEL,-25,5406,12150,5814,9129,590,909,382,1740,1681
SUPER URECOAT INDUSTRIES,ACCOUNTLEVEL,-25,13752,7665,2949,10945,728,807,500,1941,1761
Jadow B & Sons Inc,ACCOUNTLEVEL,-25,3576,14013,5071,2815,562,970,317,1120,2269
Republic of Nauru Phosphate (RONPHOS) Corporation,ACCOUNTLEVEL,-25,14595,3485,11167,10313,685,1058,81,1617,1981
CARHLUC CARROCERIAS Y REMOLQUES SA DE CV,ACCOUNTLEVEL,-25,5923,12573,2839,14325,373,990,306,1756,1849
Alltech Automotive LLC,ACCOUNTLEVEL,-25,7405,10988,11477,2927,796,748,475,1287,1902
DALE VALOR A MEXICO SC,ACCOUNTLEVEL,-25,4321,14145,9568,12206,381,790,472,1933,1815
SPIN MASTER MEXICO SA DE CV,ACCOUNTLEVEL,-25,6263,9197,5348,8784,762,983,114,1374,1897
ATTEBURY GRAIN,ACCOUNTLEVEL,-25,11031,8622,9170,3403,423,1009,164,1610,1821
Vicor,ACCOUNTLEVEL,-25,8604,11772,10189,9617,482,1069,334,1661,1835
Baja Inc,ACCOUNTLEVEL,-25,6981,14462,14417,12537,729,947,253,1950,1937
National Assn of Printing Ink,ACCOUNTLEVEL,-25,3317,5816,6183,4994,523,745,120,1860,1953
MA PATRICIA ROSALES HERNANDEZ,ACCOUNTLEVEL,-25,796,142,12156,4979,344,607,19,1128,1833
EVERTIS DE MEXICO SA DE CV,ACCOUNTLEVEL,-25,14955,12283,8834,13263,591,618,293,1166,1619
GENERAL DE CERAMICA S A DE C V,ACCOUNTLEVEL,-25,9639,8145,12905,3040,436,657,351,1112,2316
GRUPO VACTREK SA DE CV,ACCOUNTLEVEL,-25,7934,13003,3916,3761,447,613,152,1130,1649
JUAN ANGEL FLORES AGUIRRE,ACCOUNTLEVEL,-25,6098,1854,1081,3219,789,785,230,1401,1934
Triumph Tool NC Inc,ACCOUNTLEVEL,-25,12718,12580,2592,14296,512,801,204,1540,2421
Darta NV,ACCOUNTLEVEL,-25,7236,2457,1819,818,738,929,175,1743,2218
