JBCXM__Account__r.Data_ExternalId__c,JBCXM__Users__c,JBCXM__Stage__r.JBCXM__SystemName__c,JBCXM__Status__r.JBCXM__SystemName__c,JBCXM__Comments__c
Adoption Test - Account 1,51,stage1,InactiveCustomer,Adoption Test - Account 1 - stage1 - InactiveCustomer
Adoption Test - Account 2,60,stage2,ActiveCustomer,Adoption Test - Account 2 - stage2 - ActiveCustomer
Adoption Test - Account 3,113,stage3,InactiveCustomer,Adoption Test - Account 3 - stage3 - InactiveCustomer
Adoption Test - Account 4,26,stage4,ActiveCustomer,Adoption Test - Account 4 - stage4 - ActiveCustomer
Adoption Test - Account 5,55,stage5,InactiveCustomer,Adoption Test - Account 5 - stage5 - InactiveCustomer
Adoption Test - Account 6,,stage6,ActiveCustomer,Adoption Test - Account 6 - stage6 - ActiveCustomer
Adoption Test - Account 7,,stage1,InactiveCustomer,Adoption Test - Account 7 - stage1 - InactiveCustomer
Adoption Test - Account 8,,stage2,ActiveCustomer,Adoption Test - Account 8 - stage2 - ActiveCustomer
Adoption Test - Account 9,,stage3,InactiveCustomer,Adoption Test - Account 9 - stage3 - InactiveCustomer
Adoption Test - Account 10,,stage4,ActiveCustomer,Adoption Test - Account 10 - stage4 - ActiveCustomer
Adoption Test - Account 11,0,stage5,InactiveCustomer,Adoption Test - Account 11 - stage5 - InactiveCustomer
Adoption Test - Account 12,0,stage6,ActiveCustomer,Adoption Test - Account 12 - stage6 - ActiveCustomer
Adoption Test - Account 13,0,stage1,InactiveCustomer,Adoption Test - Account 13 - stage1 - InactiveCustomer
Adoption Test - Account 14,0,stage2,ActiveCustomer,Adoption Test - Account 14 - stage2 - ActiveCustomer
Adoption Test - Account 15,0,stage3,InactiveCustomer,Adoption Test - Account 15 - stage3 - InactiveCustomer
Adoption Test - Account 16,16,stage4,ActiveCustomer,Adoption Test - Account 16 - stage4 - ActiveCustomer
Adoption Test - Account 17,57,stage5,InactiveCustomer,Adoption Test - Account 17 - stage5 - InactiveCustomer
Adoption Test - Account 18,119,stage6,ActiveCustomer,Adoption Test - Account 18 - stage6 - ActiveCustomer
Adoption Test - Account 19,62,stage1,InactiveCustomer,Adoption Test - Account 19 - stage1 - InactiveCustomer
Adoption Test - Account 20,75,stage2,ActiveCustomer,Adoption Test - Account 20 - stage2 - ActiveCustomer
Adoption Test - Account 21,139,stage3,InactiveCustomer,Adoption Test - Account 21 - stage3 - InactiveCustomer
Adoption Test - Account 22,64,stage4,ActiveCustomer,Adoption Test - Account 22 - stage4 - ActiveCustomer
Adoption Test - Account 23,143,stage5,InactiveCustomer,Adoption Test - Account 23 - stage5 - InactiveCustomer
Adoption Test - Account 24,58,stage6,ActiveCustomer,Adoption Test - Account 24 - stage6 - ActiveCustomer
Adoption Test - Account 25,103,stage1,InactiveCustomer,Adoption Test - Account 25 - stage1 - InactiveCustomer
Adoption Test - Account 26,28,stage2,ActiveCustomer,Adoption Test - Account 26 - stage2 - ActiveCustomer
Adoption Test - Account 27,34,stage3,InactiveCustomer,Adoption Test - Account 27 - stage3 - InactiveCustomer
Adoption Test - Account 28,72,stage4,ActiveCustomer,Adoption Test - Account 28 - stage4 - ActiveCustomer
Adoption Test - Account 29,92,stage5,InactiveCustomer,Adoption Test - Account 29 - stage5 - InactiveCustomer
Adoption Test - Account 30,61,stage6,ActiveCustomer,Adoption Test - Account 30 - stage6 - ActiveCustomer
Adoption Test - Account 31,115,stage1,InactiveCustomer,Adoption Test - Account 31 - stage1 - InactiveCustomer
Adoption Test - Account 32,149,stage2,ActiveCustomer,Adoption Test - Account 32 - stage2 - ActiveCustomer
Adoption Test - Account 33,7,stage3,InactiveCustomer,Adoption Test - Account 33 - stage3 - InactiveCustomer
Adoption Test - Account 34,81,stage4,ActiveCustomer,Adoption Test - Account 34 - stage4 - ActiveCustomer
Adoption Test - Account 35,112,stage5,InactiveCustomer,Adoption Test - Account 35 - stage5 - InactiveCustomer
Adoption Test - Account 36,34,stage6,ActiveCustomer,Adoption Test - Account 36 - stage6 - ActiveCustomer
Adoption Test - Account 37,53,stage1,InactiveCustomer,Adoption Test - Account 37 - stage1 - InactiveCustomer
Adoption Test - Account 38,108,stage2,ActiveCustomer,Adoption Test - Account 38 - stage2 - ActiveCustomer
Adoption Test - Account 39,31,stage3,InactiveCustomer,Adoption Test - Account 39 - stage3 - InactiveCustomer
Adoption Test - Account 40,89,stage4,ActiveCustomer,Adoption Test - Account 40 - stage4 - ActiveCustomer
Adoption Test - Account 41,36,stage5,InactiveCustomer,Adoption Test - Account 41 - stage5 - InactiveCustomer
Adoption Test - Account 42,82,stage6,ActiveCustomer,Adoption Test - Account 42 - stage6 - ActiveCustomer
Adoption Test - Account 43,136,stage1,InactiveCustomer,Adoption Test - Account 43 - stage1 - InactiveCustomer
Adoption Test - Account 44,82,stage2,ActiveCustomer,Adoption Test - Account 44 - stage2 - ActiveCustomer
Adoption Test - Account 45,62,stage3,InactiveCustomer,Adoption Test - Account 45 - stage3 - InactiveCustomer
Adoption Test - Account 46,13,stage4,ActiveCustomer,Adoption Test - Account 46 - stage4 - ActiveCustomer
Adoption Test - Account 47,17,stage5,InactiveCustomer,Adoption Test - Account 47 - stage5 - InactiveCustomer
Adoption Test - Account 48,41,stage6,ActiveCustomer,Adoption Test - Account 48 - stage6 - ActiveCustomer
Adoption Test - Account 49,23,stage1,InactiveCustomer,Adoption Test - Account 49 - stage1 - InactiveCustomer
Adoption Test - Account 50,97,stage2,ActiveCustomer,Adoption Test - Account 50 - stage2 - ActiveCustomer
Adoption Test - Account 51,62,stage3,InactiveCustomer,Adoption Test - Account 51 - stage3 - InactiveCustomer
Adoption Test - Account 52,37,stage4,ActiveCustomer,Adoption Test - Account 52 - stage4 - ActiveCustomer
Adoption Test - Account 53,47,stage5,InactiveCustomer,Adoption Test - Account 53 - stage5 - InactiveCustomer
Adoption Test - Account 54,48,stage6,ActiveCustomer,Adoption Test - Account 54 - stage6 - ActiveCustomer
Adoption Test - Account 55,107,stage1,InactiveCustomer,Adoption Test - Account 55 - stage1 - InactiveCustomer
Adoption Test - Account 56,8,stage2,ActiveCustomer,Adoption Test - Account 56 - stage2 - ActiveCustomer
Adoption Test - Account 57,111,stage3,InactiveCustomer,Adoption Test - Account 57 - stage3 - InactiveCustomer
Adoption Test - Account 58,36,stage4,ActiveCustomer,Adoption Test - Account 58 - stage4 - ActiveCustomer
Adoption Test - Account 59,150,stage5,InactiveCustomer,Adoption Test - Account 59 - stage5 - InactiveCustomer
Adoption Test - Account 60,45,stage6,ActiveCustomer,Adoption Test - Account 60 - stage6 - ActiveCustomer
Adoption Test - Account 61,29,stage1,InactiveCustomer,Adoption Test - Account 61 - stage1 - InactiveCustomer
Adoption Test - Account 62,39,stage2,ActiveCustomer,Adoption Test - Account 62 - stage2 - ActiveCustomer
Adoption Test - Account 63,1,stage3,InactiveCustomer,Adoption Test - Account 63 - stage3 - InactiveCustomer
Adoption Test - Account 64,140,stage4,ActiveCustomer,Adoption Test - Account 64 - stage4 - ActiveCustomer
Adoption Test - Account 65,62,stage5,InactiveCustomer,Adoption Test - Account 65 - stage5 - InactiveCustomer
Adoption Test - Account 66,69,stage6,ActiveCustomer,Adoption Test - Account 66 - stage6 - ActiveCustomer
Adoption Test - Account 67,140,stage1,InactiveCustomer,Adoption Test - Account 67 - stage1 - InactiveCustomer
Adoption Test - Account 68,127,stage2,ActiveCustomer,Adoption Test - Account 68 - stage2 - ActiveCustomer
Adoption Test - Account 69,141,stage3,InactiveCustomer,Adoption Test - Account 69 - stage3 - InactiveCustomer
Adoption Test - Account 70,150,stage4,ActiveCustomer,Adoption Test - Account 70 - stage4 - ActiveCustomer
Adoption Test - Account 71,84,stage5,InactiveCustomer,Adoption Test - Account 71 - stage5 - InactiveCustomer
Adoption Test - Account 72,104,stage6,ActiveCustomer,Adoption Test - Account 72 - stage6 - ActiveCustomer
Adoption Test - Account 73,62,stage1,InactiveCustomer,Adoption Test - Account 73 - stage1 - InactiveCustomer
Adoption Test - Account 74,64,stage2,ActiveCustomer,Adoption Test - Account 74 - stage2 - ActiveCustomer
