JBCXM__Account__r.Data_ExternalId__c,Name,JBCXM__Date__c,JBCXM__InstanceId__c,JBCXM__InstanceName__c,Page_Visits__c,Page_Views__c,No_of_Report_Run__c,Files_Downloaded__c,Emails_Sent_Count__c,No_of_Campaigns__c,Active_Users__c,DB_Size__c,Leads__c
Adoption Test - Account 1,INSTANCELEVEL,-27,Production Instance -1,AAR Corp Hardware Abscoa Division - Production Instance -1,35,47,74,110,167,32,400,7915,10189
Adoption Test - Account 2,INSTANCELEVEL,-27,Production Instance -1,Abacus Programming Corporation - Production Instance -1,86,41,194,28,223,24,455,4393,16016
Adoption Test - Account 3,INSTANCELEVEL,-27,Production Instance -1,Abberley Kooiman - Production Instance -1,53,49,93,101,146,49,965,7426,3878
Adoption Test - Account 4,INSTANCELEVEL,-27,Production Instance -1,Abbett Electric Corp - Production Instance -1,1,38,158,65,248,17,94,8295,9729
Adoption Test - Account 5,INSTANCELEVEL,-27,Production Instance -1,Abbey Press Inc - Production Instance -1,91,35,111,115,152,27,658,3114,15319
Adoption Test - Account 6,INSTANCELEVEL,-27,Production Instance -1,Bachman Information System Inc. - Production Instance -1,76,17,95,125,195,11,159,4038,12585
Adoption Test - Account 7,INSTANCELEVEL,-27,Production Instance -1,Back Stage Magazine - Production Instance -1,48,44,164,56,103,33,532,3545,18034
Adoption Test - Account 8,INSTANCELEVEL,-27,Production Instance -1,Baker & McKenzie - Production Instance -1,23,36,67,105,165,19,61,1218,5904
Adoption Test - Account 9,INSTANCELEVEL,-27,Production Instance -1,Balfour Maclaine International - Production Instance -1,12,48,57,74,249,33,827,7653,13483
Adoption Test - Account 10,INSTANCELEVEL,-27,Production Instance -1,Ball & Socket Mfg Co - Production Instance -1,13,28,111,109,166,44,334,3436,10854
Adoption Test - Account 11,INSTANCELEVEL,-27,Production Instance -1,Caco-Pacific Corp. - Production Instance -1,53,26,142,108,137,40,680,9191,12326
Adoption Test - Account 12,INSTANCELEVEL,-27,Production Instance -1,CADAM Inc. - Production Instance -1,36,19,170,91,213,44,889,6286,14517
Adoption Test - Account 13,INSTANCELEVEL,-27,Production Instance -1,Cadbury Beverages Div Cadbury - Production Instance -1,7,48,107,11,213,19,900,9515,8342
Adoption Test - Account 14,INSTANCELEVEL,-27,Production Instance -1,Cahn Instruments Inc - Production Instance -1,21,26,71,111,173,22,747,9439,9911
